Date,Count,Unnamed: 0.1
2013-09-24,78,9.0
2013-09-25,93,8.0
2013-09-26,153,
2013-09-27,170,
2013-09-28,221,
2013-09-29,104,
2013-09-30,127,
2013-10-01,52,
2013-10-02,81,
2013-10-03,28,
2013-10-04,96,3.0
2013-10-05,91,2.0
2013-10-06,80,1.0
2013-10-07,60,0.0
2013-10-08,110,7.0
2013-10-09,78,6.0
2013-10-10,71,4.0
2013-10-11,75,5.0
2013-10-12,69,
2013-10-13,58,
2013-10-14,107,
2013-10-15,1,
2013-10-18,110,
2013-10-19,83,
2013-10-20,83,
2013-10-21,91,
2013-10-22,89,
2013-10-23,144,
2013-10-24,38,
2013-10-25,139,
2013-10-26,142,
2013-10-27,73,
2013-10-28,66,
2013-10-29,79,
2013-10-30,48,
2013-10-31,51,
2013-11-01,83,
2013-11-02,82,
2013-11-03,35,
2013-11-04,118,
2013-11-05,17,
2013-11-06,70,
2013-11-07,91,
2013-11-08,105,
2013-11-09,90,
2013-11-10,92,
2013-11-11,87,
2013-11-12,108,
2013-11-13,71,
2013-11-14,85,
2013-11-15,55,
2013-11-16,62,
2013-11-17,39,
2013-11-18,1,
2013-11-19,56,
2013-11-20,85,
2013-11-22,41,
2013-11-23,76,
2013-11-24,96,
2013-11-25,65,
2013-11-26,71,
2013-11-27,55,
2013-11-28,86,
2013-11-29,98,
2013-11-30,99,
2013-12-01,40,
2013-12-02,88,
2013-12-03,63,
2013-12-04,104,
2013-12-05,93,
2013-12-06,92,
2013-12-07,85,
2013-12-08,74,
2013-12-09,102,
2013-12-10,88,
2013-12-11,93,
2013-12-12,101,
2013-12-13,238,
2013-12-14,97,
2013-12-15,194,
2013-12-16,113,
2013-12-17,227,
2013-12-18,480,
2013-12-19,108,
2013-12-20,3,
2013-12-22,3,
2013-12-23,90,
2013-12-24,92,
2013-12-25,52,
2013-12-26,114,
2013-12-27,57,
2014-01-03,74,
2014-01-04,65,
2014-01-05,177,
2014-01-06,159,
2014-01-07,199,
2014-01-08,85,
2014-01-09,84,
2014-01-10,85,
2014-01-11,52,
2014-01-12,84,
2014-01-13,59,
2014-01-14,85,
2014-01-15,81,
2014-01-16,81,
2014-01-20,67,
2014-01-21,103,
2014-01-22,118,
2014-01-23,117,
2014-01-24,112,
2014-01-25,16,
2014-01-27,66,
2014-01-28,48,
2014-01-29,158,
2014-01-30,93,
2014-01-31,94,
2014-02-01,104,
2014-02-02,58,
2014-02-03,206,
2014-02-04,155,
2014-02-05,272,
2014-02-06,599,
2014-02-07,128,
2014-02-08,72,
2014-02-10,146,
2014-02-11,395,
2014-02-12,356,
2014-02-13,143,
2014-02-14,215,
2014-02-15,150,
2014-02-16,102,
2014-02-17,14,
2014-02-19,21,
2014-02-20,33,
2014-02-21,73,
2014-02-22,69,
2014-02-23,67,
2014-02-24,74,
2014-02-25,72,
2014-02-26,65,
2014-02-27,4,
2014-02-28,67,
2014-03-01,129,
2014-03-02,121,
2014-03-03,73,
2014-03-04,76,
2014-03-05,102,
2014-03-06,82,
2014-03-07,61,
2014-03-09,22,
2014-03-10,202,
2014-03-11,156,
2014-03-12,166,
2014-03-13,200,
2014-03-14,154,
2014-03-15,182,
2014-03-16,112,
2014-03-17,240,
2014-03-18,51,
2014-03-21,91,
2014-03-22,86,
2014-03-23,94,
2014-03-24,96,
2014-03-25,130,
2014-03-26,108,
2014-03-27,115,
2014-03-28,163,
2014-03-29,102,
2014-03-30,50,
2014-03-31,69,
2014-04-01,178,
2014-04-02,213,
2014-04-03,130,
2014-04-04,133,
2014-04-05,185,
2014-04-06,82,
2014-04-08,90,
2014-04-09,119,
2014-04-10,111,
2014-04-11,99,
2014-04-14,58,
2014-04-16,144,
2014-04-17,311,
2014-04-18,459,
2014-04-19,30,
2014-04-23,385,
2014-04-24,478,
2014-04-25,463,
2014-04-26,337,
2014-04-27,411,
2014-04-28,455,
2014-04-29,557,
2014-04-30,540,
2014-05-01,443,
2014-05-02,664,
2014-05-03,424,
2014-05-04,366,
2014-05-05,437,
2014-05-06,398,
2014-05-07,385,
2014-05-08,405,
2014-05-09,207,
2014-05-13,32,
2014-05-14,30,
2014-05-16,2,
2014-05-18,4,
2014-05-19,2,
2014-05-20,53,
2014-05-22,302,
2014-05-23,439,
2014-05-24,602,
2014-05-25,1003,
2014-05-26,920,
2014-05-27,642,
2014-05-28,743,
2014-05-29,548,
2014-05-30,466,
2014-05-31,530,
2014-06-01,360,
2014-06-02,638,
2014-06-03,434,
2014-06-04,224,
2014-06-05,135,
2014-06-06,410,
2014-06-07,465,
2014-06-08,740,
2014-06-09,825,
2014-06-10,1526,
2014-06-11,1118,
2014-06-12,1062,
2014-06-13,686,
2014-06-14,586,
2014-06-15,499,
2014-06-16,122,
2014-06-17,58,
2014-06-18,6,
2014-09-15,336,
2014-09-16,325,
2014-09-17,426,
2014-09-18,424,
2014-09-19,708,
2014-09-20,43,
2014-09-23,301,
2014-09-24,368,
2014-09-25,514,
2014-09-26,378,
2014-09-27,397,
2014-09-28,450,
2014-09-29,360,
2014-09-30,237,
2014-10-01,192,
2014-10-07,234,
2014-10-08,427,
2014-10-09,130,
