Date,Count,Unnamed: 0.1
2013-09-24,6,0.0
2013-09-25,1,
2013-09-27,1,
2013-09-28,1,
2013-09-29,2,
2013-10-02,1,
2013-10-13,1,
2013-10-14,5,
2013-10-19,1,
2013-10-21,1,
2013-10-23,1,
2013-10-25,1,
2013-10-26,1,
2013-10-29,1,
2013-10-31,1,
2013-11-01,1,
2013-11-02,1,
2013-11-03,1,
2013-11-04,1,
2013-11-07,1,
2013-11-08,1,
2013-11-11,1,
2013-11-12,2,
2013-11-15,2,
2013-11-19,3,
2013-11-20,4,
2013-11-25,1,
2013-11-26,1,
2013-11-27,12,
2013-11-28,1,
2013-12-05,23,
2013-12-06,1,
2013-12-07,1,
2013-12-08,1,
2013-12-09,2,
2013-12-10,20,
2013-12-11,4,
2013-12-15,17,
2013-12-16,11,
2013-12-17,3,
2013-12-18,2,
2013-12-19,2,
2013-12-23,8,
2013-12-24,2,
2013-12-25,1,
2013-12-26,5,
2013-12-27,1,
2014-01-03,3,
2014-01-05,1,
2014-01-06,1,
2014-01-07,1,
2014-01-08,2,
2014-01-10,1,
2014-01-11,2,
2014-01-12,3,
2014-01-13,1,
2014-01-15,1,
2014-01-16,1,
2014-01-21,57,
2014-01-22,11,
2014-01-23,2,
2014-01-24,3,
2014-01-27,1,
2014-01-29,1,
2014-01-31,1,
2014-02-04,2,
2014-02-05,3,
2014-02-06,5,
2014-02-07,2,
2014-02-08,1,
2014-02-10,2,
2014-02-12,1,
2014-02-14,3,
2014-02-16,5,
2014-02-17,1,
2014-02-20,1,
2014-02-26,1,
2014-02-27,2,
2014-03-05,1,
2014-03-07,3,
2014-03-11,4,
2014-03-12,2,
2014-03-14,2,
2014-03-15,2,
2014-03-21,2,
2014-03-24,2,
2014-03-28,2,
2014-03-30,46,
2014-03-31,14,
2014-04-01,2,
2014-04-02,3,
2014-04-03,1,
2014-04-04,1,
2014-04-05,30,
2014-04-06,2,
2014-04-08,1,
2014-04-09,1,
2014-04-10,1,
2014-04-17,2,
2014-04-18,3,
2014-04-23,10,
2014-04-24,2,
2014-04-25,1,
2014-04-26,9,
2014-04-27,6,
2014-04-28,7,
2014-04-29,3,
2014-05-02,2,
2014-05-03,10,
2014-05-04,6,
2014-05-05,5,
2014-05-06,4,
2014-05-07,1,
2014-05-08,9,
2014-05-16,2,
2014-05-20,1,
2014-05-22,1,
2014-05-23,18,
2014-05-24,8,
2014-05-27,6,
2014-05-28,7,
2014-05-29,8,
2014-05-30,61,
2014-05-31,55,
2014-06-01,18,
2014-06-02,6,
2014-06-03,4,
2014-06-05,1,
2014-06-06,65,
2014-06-07,15,
2014-06-08,40,
2014-06-09,248,
2014-06-10,38,
2014-06-11,116,
2014-06-12,28,
2014-06-13,13,
2014-06-14,37,
2014-06-15,80,
2014-06-16,176,
2014-06-17,8,
2014-09-15,2,
2014-09-16,1,
2014-09-17,18,
2014-09-18,8,
2014-09-19,4,
2014-09-23,5,
2014-09-24,2,
2014-09-25,2,
2014-09-26,10,
2014-09-27,3,
2014-09-29,7,
2014-09-30,2,
2014-10-01,4,
2014-10-08,5,
2014-10-09,11,
2014-10-10,4,
2014-10-11,10,
2014-10-14,4,
2014-10-15,6,
2014-10-16,8,
2014-10-17,2,
2014-10-18,2,
2014-10-22,36,
2014-10-23,3,
2014-10-24,1,
2014-10-25,4,
2014-10-26,8,
2014-10-27,3,
2014-10-28,41,
