Date,Count,Unnamed: 0.1
2013-09-24,4,9.0
2013-09-25,22,8.0
2013-09-26,26,
2013-09-27,22,
2013-09-28,20,
2013-09-29,21,
2013-09-30,11,
2013-10-01,5,
2013-10-02,15,
2013-10-03,5,
2013-10-04,21,3.0
2013-10-05,13,2.0
2013-10-06,12,1.0
2013-10-07,18,0.0
2013-10-08,17,7.0
2013-10-09,6,6.0
2013-10-10,13,4.0
2013-10-11,27,5.0
2013-10-12,8,
2013-10-13,5,
2013-10-14,9,
2013-10-18,6,
2013-10-19,11,
2013-10-20,14,
2013-10-21,22,
2013-10-22,29,
2013-10-23,18,
2013-10-24,6,
2013-10-25,18,
2013-10-26,15,
2013-10-27,15,
2013-10-28,24,
2013-10-29,12,
2013-10-30,18,
2013-10-31,20,
2013-11-01,15,
2013-11-02,25,
2013-11-03,12,
2013-11-04,43,
2013-11-05,14,
2013-11-06,20,
2013-11-07,26,
2013-11-08,16,
2013-11-09,307,
2013-11-10,12,
2013-11-11,54,
2013-11-12,146,
2013-11-13,606,
2013-11-14,161,
2013-11-15,218,
2013-11-16,309,
2013-11-17,25,
2013-11-19,10,
2013-11-20,12,
2013-11-22,4,
2013-11-23,3,
2013-11-24,9,
2013-11-25,12,
2013-11-26,19,
2013-11-27,7,
2013-11-28,10,
2013-11-29,10,
2013-11-30,74,
2013-12-01,6,
2013-12-02,7,
2013-12-03,14,
2013-12-04,17,
2013-12-05,17,
2013-12-06,8,
2013-12-07,11,
2013-12-08,15,
2013-12-09,21,
2013-12-10,164,
2013-12-11,20,
2013-12-12,13,
2013-12-13,13,
2013-12-14,13,
2013-12-15,3,
2013-12-16,9,
2013-12-17,15,
2013-12-18,7,
2013-12-19,10,
2013-12-23,9,
2013-12-24,17,
2013-12-25,28,
2013-12-26,16,
2013-12-27,24,
2014-01-03,6,
2014-01-04,11,
2014-01-05,8,
2014-01-06,14,
2014-01-07,15,
2014-01-08,40,
2014-01-09,43,
2014-01-10,28,
2014-01-11,12,
2014-01-12,7,
2014-01-13,8,
2014-01-14,14,
2014-01-15,16,
2014-01-16,8,
2014-01-20,9,
2014-01-21,11,
2014-01-22,5,
2014-01-23,5,
2014-01-24,9,
2014-01-25,7,
2014-01-27,14,
2014-01-28,9,
2014-01-29,9,
2014-01-30,8,
2014-01-31,8,
2014-02-01,11,
2014-02-02,8,
2014-02-03,11,
2014-02-04,9,
2014-02-05,17,
2014-02-06,17,
2014-02-07,12,
2014-02-08,23,
2014-02-10,12,
2014-02-11,16,
2014-02-12,42,
2014-02-13,32,
2014-02-14,38,
2014-02-15,12,
2014-02-16,12,
2014-02-17,7,
2014-02-20,13,
2014-02-21,17,
2014-02-22,17,
2014-02-23,16,
2014-02-24,15,
2014-02-25,45,
2014-02-26,5,
2014-02-27,4,
2014-02-28,16,
2014-03-01,16,
2014-03-02,12,
2014-03-03,17,
2014-03-04,37,
2014-03-05,34,
2014-03-06,237,
2014-03-07,33,
2014-03-09,4,
2014-03-10,30,
2014-03-11,26,
2014-03-12,36,
2014-03-13,34,
2014-03-14,42,
2014-03-15,56,
2014-03-16,1518,
2014-03-17,44,
2014-03-18,3,
2014-03-21,11,
2014-03-22,7,
2014-03-23,14,
2014-03-24,17,
2014-03-25,15,
2014-03-26,9,
2014-03-27,14,
2014-03-28,10,
2014-03-29,11,
2014-03-30,12,
2014-03-31,12,
2014-04-01,11,
2014-04-02,36,
2014-04-03,22,
2014-04-04,55,
2014-04-05,18,
2014-04-06,31,
2014-04-08,27,
2014-04-09,27,
2014-04-10,23,
2014-04-11,12,
2014-04-14,8,
2014-04-16,59,
2014-04-17,65,
2014-04-18,36,
2014-04-19,1,
2014-04-23,38,
2014-04-24,60,
2014-04-25,62,
2014-04-26,100,
2014-04-27,93,
2014-04-28,72,
2014-04-29,41,
2014-04-30,44,
2014-05-01,49,
2014-05-02,50,
2014-05-03,32,
2014-05-04,42,
2014-05-05,62,
2014-05-06,37,
2014-05-07,65,
2014-05-08,131,
2014-05-09,54,
2014-05-13,2,
2014-05-14,2,
2014-05-16,4,
2014-05-20,2,
2014-05-22,71,
2014-05-23,134,
2014-05-24,79,
2014-05-25,36,
2014-05-26,27,
2014-05-27,45,
2014-05-28,45,
2014-05-29,112,
2014-05-30,216,
2014-05-31,116,
2014-06-01,501,
2014-06-02,182,
2014-06-03,156,
2014-06-04,44,
2014-06-05,73,
2014-06-06,164,
2014-06-07,88,
2014-06-08,54,
2014-06-09,73,
2014-06-10,88,
2014-06-11,60,
2014-06-12,86,
2014-06-13,45,
2014-06-14,54,
2014-06-15,26,
2014-06-16,5,
2014-06-17,4,
2014-06-18,1,
2014-09-15,35,
2014-09-16,53,
2014-09-17,51,
2014-09-18,47,
2014-09-19,61,
2014-09-20,3,
2014-09-23,28,
2014-09-24,47,
2014-09-25,82,
2014-09-26,91,
2014-09-27,154,
2014-09-28,57,
2014-09-29,70,
2014-09-30,74,
2014-10-01,32,
2014-10-07,48,
2014-10-08,76,
2014-10-09,21,
