Date,Count,Unnamed: 0.1
2013-09-25,2,6.0
2013-09-26,1,
2013-09-27,7,
2013-09-28,2,
2013-09-29,8,
2013-09-30,22,
2013-10-01,23,
2013-10-02,299,
2013-10-03,59,
2013-10-04,24,3.0
2013-10-05,13,2.0
2013-10-06,7,1.0
2013-10-07,1,0.0
2013-10-08,1,5.0
2013-10-11,3,4.0
2013-10-13,4,
2013-10-14,2,
2013-10-18,2,
2013-10-19,1,
2013-10-22,3,
2013-10-23,3,
2013-10-27,1,
2013-10-29,1,
2013-10-30,1,
2013-10-31,1,
2013-11-01,1,
2013-11-03,16,
2013-11-04,14,
2013-11-05,2,
2013-11-06,3,
2013-11-07,4,
2013-11-08,1,
2013-11-09,1,
2013-11-13,2,
2013-11-14,1,
2013-11-19,6,
2013-11-20,7,
2013-11-23,1,
2013-11-25,2,
2013-11-26,1,
2013-11-27,7,
2013-11-28,20,
2013-11-29,2,
2013-11-30,3,
2013-12-01,1,
2013-12-03,1,
2013-12-04,1,
2013-12-09,67,
2013-12-10,366,
2013-12-11,238,
2013-12-12,69,
2013-12-13,7,
2013-12-14,3,
2013-12-15,2,
2013-12-16,1,
2013-12-24,1,
2013-12-27,3,
2014-01-07,1,
2014-01-09,1,
2014-01-11,1,
2014-01-12,1,
2014-01-16,1,
2014-01-20,1,
2014-01-21,1,
2014-01-22,9,
2014-01-23,1,
2014-01-27,4,
2014-01-28,5,
2014-01-29,2,
2014-01-30,2,
2014-01-31,6,
2014-02-01,2,
2014-02-02,9,
2014-02-03,4,
2014-02-04,5,
2014-02-05,16,
2014-02-06,3,
2014-02-08,4148,
2014-02-10,8,
2014-02-11,4,
2014-02-12,2,
2014-02-13,18,
2014-02-14,4,
2014-02-15,208,
2014-02-16,11,
2014-02-17,1,
2014-02-20,70,
2014-02-21,21,
2014-02-22,18,
2014-02-23,3,
2014-02-24,37,
2014-02-25,155,
2014-02-26,5,
2014-03-01,415,
2014-03-02,48,
2014-03-03,78,
2014-03-04,28,
2014-03-05,192,
2014-03-06,88,
2014-03-07,15,
2014-03-09,12,
2014-03-10,24,
2014-03-11,10,
2014-03-12,4,
2014-03-13,216,
2014-03-14,140,
2014-03-15,340,
2014-03-16,568,
2014-03-17,92,
2014-03-18,4,
2014-03-21,1,
2014-03-22,35,
2014-03-23,25,
2014-03-24,22,
2014-03-25,43,
2014-03-26,66,
2014-03-27,1,
2014-03-28,8,
2014-03-29,12,
2014-03-30,9,
2014-04-02,3,
2014-04-04,9,
2014-04-05,14,
2014-04-06,118,
2014-04-08,217,
2014-04-09,136,
2014-04-10,115,
2014-04-11,34,
2014-04-14,54,
2014-04-16,405,
2014-04-17,2449,
2014-04-18,1165,
2014-04-19,17,
2014-04-23,294,
2014-04-24,727,
2014-04-25,172,
2014-04-26,123,
2014-04-27,1067,
2014-04-28,1548,
2014-04-29,243,
2014-04-30,71,
2014-05-01,826,
2014-05-02,104,
2014-05-03,147,
2014-05-04,230,
2014-05-05,329,
2014-05-06,301,
2014-05-07,327,
2014-05-08,191,
2014-05-09,639,
2014-05-11,2,
2014-05-12,3,
2014-05-13,9,
2014-05-14,30,
2014-05-20,17,
2014-05-22,127,
2014-05-23,336,
2014-05-24,295,
2014-05-25,1202,
2014-05-26,1635,
2014-05-27,1486,
2014-05-28,593,
2014-05-29,779,
2014-05-30,1414,
2014-05-31,300,
2014-06-01,152,
2014-06-02,286,
2014-06-03,123,
2014-06-04,34,
2014-06-05,24,
2014-06-06,72,
2014-06-07,273,
2014-06-08,146,
2014-06-09,91,
2014-06-10,112,
2014-06-11,142,
2014-06-12,310,
2014-06-13,267,
2014-06-14,63,
2014-06-15,36,
2014-06-16,1,
2014-06-17,17,
2014-09-15,368,
2014-09-16,231,
2014-09-17,114,
2014-09-18,375,
2014-09-19,119,
2014-09-20,9,
2014-09-23,139,
2014-09-24,275,
2014-09-25,239,
2014-09-26,111,
2014-09-27,455,
2014-09-28,148,
2014-09-29,420,
2014-09-30,279,
2014-10-01,235,
2014-10-07,204,
2014-10-08,521,
2014-10-09,902,
2014-10-10,586,
2014-10-11,308,
2014-10-14,152,
2014-10-15,231,
2014-10-16,608,
2014-10-17,275,
2014-10-18,653,
2014-10-19,121,
2014-10-21,724,
2014-10-22,265,
2014-10-23,210,
2014-10-24,21,
2014-10-25,104,
2014-10-26,320,
2014-10-27,174,
2014-10-28,117,
2014-10-29,38,
