Date,Count,Unnamed: 0.1
2013-09-24,236,9.0
2013-09-25,651,8.0
2013-09-26,328,
2013-09-27,374,
2013-09-28,605,
2013-09-29,349,
2013-09-30,361,
2013-10-01,104,
2013-10-02,284,
2013-10-03,115,
2013-10-04,328,3.0
2013-10-05,448,2.0
2013-10-06,279,1.0
2013-10-07,251,0.0
2013-10-08,292,7.0
2013-10-09,481,6.0
2013-10-10,328,4.0
2013-10-11,303,5.0
2013-10-12,254,
2013-10-13,248,
2013-10-14,215,
2013-10-15,6,
2013-10-18,270,
2013-10-19,284,
2013-10-20,374,
2013-10-21,376,
2013-10-22,400,
2013-10-23,379,
2013-10-24,113,
2013-10-25,231,
2013-10-26,232,
2013-10-27,188,
2013-10-28,500,
2013-10-29,380,
2013-10-30,416,
2013-10-31,402,
2013-11-01,316,
2013-11-02,201,
2013-11-03,561,
2013-11-04,343,
2013-11-05,203,
2013-11-06,360,
2013-11-07,353,
2013-11-08,276,
2013-11-09,257,
2013-11-10,260,
2013-11-11,236,
2013-11-12,486,
2013-11-13,307,
2013-11-14,408,
2013-11-15,170,
2013-11-16,384,
2013-11-17,141,
2013-11-18,18,
2013-11-19,134,
2013-11-20,709,
2013-11-22,181,
2013-11-23,322,
2013-11-24,256,
2013-11-25,283,
2013-11-26,388,
2013-11-27,209,
2013-11-28,308,
2013-11-29,190,
2013-11-30,213,
2013-12-01,101,
2013-12-02,270,
2013-12-03,435,
2013-12-04,482,
2013-12-05,427,
2013-12-06,535,
2013-12-07,253,
2013-12-08,434,
2013-12-09,514,
2013-12-10,394,
2013-12-11,300,
2013-12-12,307,
2013-12-13,312,
2013-12-14,253,
2013-12-15,172,
2013-12-16,345,
2013-12-17,277,
2013-12-18,268,
2013-12-19,497,
2013-12-20,7,
2013-12-22,7,
2013-12-23,202,
2013-12-24,139,
2013-12-25,119,
2013-12-26,109,
2013-12-27,143,
2014-01-03,223,
2014-01-04,167,
2014-01-05,210,
2014-01-06,299,
2014-01-07,190,
2014-01-08,300,
2014-01-09,566,
2014-01-10,322,
2014-01-11,390,
2014-01-12,230,
2014-01-13,223,
2014-01-14,388,
2014-01-15,368,
2014-01-16,275,
2014-01-20,177,
2014-01-21,258,
2014-01-22,399,
2014-01-23,371,
2014-01-24,205,
2014-01-25,47,
2014-01-27,1119,
2014-01-28,301,
2014-01-29,218,
2014-01-30,246,
2014-01-31,248,
2014-02-01,187,
2014-02-02,304,
2014-02-03,253,
2014-02-04,249,
2014-02-05,169,
2014-02-06,346,
2014-02-07,334,
2014-02-08,150,
2014-02-10,277,
2014-02-11,347,
2014-02-12,277,
2014-02-13,277,
2014-02-14,168,
2014-02-15,211,
2014-02-16,212,
2014-02-17,26,
2014-02-19,43,
2014-02-20,184,
2014-02-21,295,
2014-02-22,525,
2014-02-23,289,
2014-02-24,318,
2014-02-25,308,
2014-02-26,195,
2014-02-27,33,
2014-02-28,123,
2014-03-01,231,
2014-03-02,213,
2014-03-03,191,
2014-03-04,205,
2014-03-05,298,
2014-03-06,323,
2014-03-07,291,
2014-03-09,96,
2014-03-10,858,
2014-03-11,1312,
2014-03-12,1394,
2014-03-13,1194,
2014-03-14,1002,
2014-03-15,856,
2014-03-16,876,
2014-03-17,1640,
2014-03-18,299,
2014-03-21,287,
2014-03-22,281,
2014-03-23,380,
2014-03-24,722,
2014-03-25,694,
2014-03-26,499,
2014-03-27,363,
2014-03-28,343,
2014-03-29,283,
2014-03-30,262,
2014-03-31,322,
2014-04-01,609,
2014-04-02,454,
2014-04-03,363,
2014-04-04,314,
2014-04-05,170,
2014-04-06,188,
2014-04-08,245,
2014-04-09,259,
2014-04-10,275,
2014-04-11,242,
2014-04-14,404,
2014-04-16,534,
2014-04-17,1132,
2014-04-18,1079,
2014-04-19,54,
2014-04-23,1093,
2014-04-24,1171,
2014-04-25,953,
2014-04-26,901,
2014-04-27,1337,
2014-04-28,993,
2014-04-29,1318,
2014-04-30,917,
2014-05-01,2182,
2014-05-02,1245,
2014-05-03,965,
2014-05-04,1133,
2014-05-05,1105,
2014-05-06,1193,
2014-05-07,1453,
2014-05-08,1485,
2014-05-09,952,
2014-05-10,2,
2014-05-12,6,
2014-05-13,40,
2014-05-14,18,
2014-05-15,4,
2014-05-16,30,
2014-05-17,2,
2014-05-18,2,
2014-05-20,151,
2014-05-22,1120,
2014-05-23,13905,
2014-05-24,47534,
2014-05-25,36479,
2014-05-26,20367,
2014-05-27,3318,
2014-05-28,4106,
2014-05-29,2571,
2014-05-30,1820,
2014-05-31,1259,
2014-06-01,1196,
2014-06-02,2992,
2014-06-03,1029,
2014-06-04,529,
2014-06-05,428,
2014-06-06,1041,
2014-06-07,822,
2014-06-08,1401,
2014-06-09,4060,
2014-06-10,2960,
2014-06-11,2096,
2014-06-12,2018,
2014-06-13,1764,
2014-06-14,1287,
2014-06-15,894,
2014-06-16,108,
2014-06-17,87,
2014-06-18,39,
2014-09-15,1656,
2014-09-16,757,
2014-09-17,779,
2014-09-18,1998,
2014-09-19,2109,
2014-09-20,61,
2014-09-21,1,
2014-09-23,704,
2014-09-24,688,
2014-09-25,935,
2014-09-26,981,
2014-09-27,979,
2014-09-28,617,
2014-09-29,911,
2014-09-30,876,
2014-10-01,525,
2014-10-07,1480,
2014-10-08,748,
2014-10-09,1151,
2014-10-10,1508,
2014-10-11,3118,
2014-10-14,782,
2014-10-15,1870,
2014-10-16,2972,
2014-10-17,1279,
2014-10-18,2007,
2014-10-19,832,
2014-10-21,760,
2014-10-22,1117,
2014-10-23,1771,
2014-10-24,398,
2014-10-25,692,
2014-10-26,637,
2014-10-27,1184,
2014-10-28,639,
2014-10-29,196,
