Date,Count,Unnamed: 0.1
2013-09-24,8,9.0
2013-09-25,25,8.0
2013-09-26,13,
2013-09-27,14,
2013-09-28,52,
2013-09-29,44,
2013-09-30,19,
2013-10-01,22,
2013-10-02,21,
2013-10-03,7,
2013-10-04,35,3.0
2013-10-05,39,2.0
2013-10-06,24,1.0
2013-10-07,36,0.0
2013-10-08,31,7.0
2013-10-09,83,6.0
2013-10-10,30,4.0
2013-10-11,35,5.0
2013-10-12,30,
2013-10-13,18,
2013-10-14,24,
2013-10-18,20,
2013-10-19,99,
2013-10-20,42,
2013-10-21,15,
2013-10-22,39,
2013-10-23,28,
2013-10-24,23,
2013-10-25,22,
2013-10-26,36,
2013-10-27,23,
2013-10-28,18,
2013-10-29,27,
2013-10-30,40,
2013-10-31,26,
2013-11-01,24,
2013-11-02,39,
2013-11-03,13,
2013-11-04,42,
2013-11-05,5,
2013-11-06,21,
2013-11-07,33,
2013-11-08,26,
2013-11-09,15,
2013-11-10,27,
2013-11-11,18,
2013-11-12,37,
2013-11-13,39,
2013-11-14,26,
2013-11-15,23,
2013-11-16,32,
2013-11-17,16,
2013-11-18,2,
2013-11-19,5,
2013-11-20,25,
2013-11-22,12,
2013-11-23,13,
2013-11-24,9,
2013-11-25,16,
2013-11-26,27,
2013-11-27,9,
2013-11-28,7,
2013-11-29,28,
2013-11-30,128,
2013-12-01,40,
2013-12-02,33,
2013-12-03,40,
2013-12-04,158,
2013-12-05,254,
2013-12-06,69,
2013-12-07,80,
2013-12-08,24,
2013-12-09,60,
2013-12-10,17,
2013-12-11,28,
2013-12-12,30,
2013-12-13,54,
2013-12-14,49,
2013-12-15,38,
2013-12-16,105,
2013-12-17,25,
2013-12-18,64,
2013-12-19,45,
2013-12-20,3,
2013-12-22,3,
2013-12-23,92,
2013-12-24,25,
2013-12-25,11,
2013-12-26,19,
2013-12-27,27,
2014-01-03,28,
2014-01-04,57,
2014-01-05,24,
2014-01-06,37,
2014-01-07,21,
2014-01-08,30,
2014-01-09,96,
2014-01-10,60,
2014-01-11,36,
2014-01-12,47,
2014-01-13,28,
2014-01-14,88,
2014-01-15,109,
2014-01-16,40,
2014-01-20,15,
2014-01-21,38,
2014-01-22,32,
2014-01-23,30,
2014-01-24,43,
2014-01-25,2,
2014-01-27,14,
2014-01-28,27,
2014-01-29,11,
2014-01-30,31,
2014-01-31,50,
2014-02-01,22,
2014-02-02,137,
2014-02-03,19,
2014-02-04,37,
2014-02-05,40,
2014-02-06,39,
2014-02-07,54,
2014-02-08,7,
2014-02-10,23,
2014-02-11,23,
2014-02-12,15,
2014-02-13,86,
2014-02-14,70,
2014-02-15,69,
2014-02-16,56,
2014-02-17,6,
2014-02-19,7,
2014-02-20,24,
2014-02-21,74,
2014-02-22,34,
2014-02-23,98,
2014-02-24,12,
2014-02-25,49,
2014-02-26,27,
2014-02-27,10,
2014-02-28,19,
2014-03-01,34,
2014-03-02,39,
2014-03-03,16,
2014-03-04,32,
2014-03-05,46,
2014-03-06,33,
2014-03-07,83,
2014-03-09,30,
2014-03-10,108,
2014-03-11,450,
2014-03-12,54,
2014-03-13,98,
2014-03-14,150,
2014-03-15,292,
2014-03-16,52,
2014-03-17,162,
2014-03-18,53,
2014-03-21,112,
2014-03-22,95,
2014-03-23,63,
2014-03-24,58,
2014-03-25,31,
2014-03-26,55,
2014-03-27,33,
2014-03-28,42,
2014-03-29,49,
2014-03-30,48,
2014-03-31,70,
2014-04-01,53,
2014-04-02,38,
2014-04-03,53,
2014-04-04,58,
2014-04-05,63,
2014-04-06,106,
2014-04-08,31,
2014-04-09,96,
2014-04-10,86,
2014-04-11,52,
2014-04-14,88,
2014-04-16,442,
2014-04-17,599,
2014-04-18,228,
2014-04-19,22,
2014-04-23,292,
2014-04-24,368,
2014-04-25,425,
2014-04-26,371,
2014-04-27,289,
2014-04-28,472,
2014-04-29,669,
2014-04-30,951,
2014-05-01,356,
2014-05-02,414,
2014-05-03,509,
2014-05-04,394,
2014-05-05,263,
2014-05-06,131,
2014-05-07,221,
2014-05-08,371,
2014-05-09,82,
2014-05-14,8,
2014-05-16,6,
2014-05-17,2,
2014-05-20,37,
2014-05-22,101,
2014-05-23,322,
2014-05-24,411,
2014-05-25,402,
2014-05-26,284,
2014-05-27,149,
2014-05-28,239,
2014-05-29,355,
2014-05-30,210,
2014-05-31,147,
2014-06-01,274,
2014-06-02,189,
2014-06-03,415,
2014-06-04,216,
2014-06-05,55,
2014-06-06,553,
2014-06-07,90,
2014-06-08,654,
2014-06-09,969,
2014-06-10,584,
2014-06-11,320,
2014-06-12,204,
2014-06-13,264,
2014-06-14,533,
2014-06-15,290,
2014-06-16,55,
2014-06-17,55,
2014-06-18,14,
2014-09-15,196,
2014-09-16,205,
2014-09-17,121,
2014-09-18,176,
2014-09-19,253,
2014-09-20,24,
2014-09-23,156,
2014-09-24,152,
2014-09-25,528,
2014-09-26,240,
2014-09-27,109,
2014-09-28,50,
2014-09-29,87,
2014-09-30,324,
2014-10-01,205,
2014-10-07,92,
2014-10-08,125,
2014-10-09,351,
2014-10-10,710,
2014-10-11,430,
2014-10-14,230,
2014-10-15,304,
2014-10-16,546,
2014-10-17,519,
2014-10-18,156,
2014-10-19,117,
2014-10-21,61,
2014-10-22,113,
2014-10-23,1151,
2014-10-24,58,
2014-10-25,133,
2014-10-26,46,
2014-10-27,105,
2014-10-28,156,
2014-10-29,35,
