Date,Count,Unnamed: 0.1
2013-09-24,22,9.0
2013-09-25,93,8.0
2013-09-26,56,
2013-09-27,30,
2013-09-28,49,
2013-09-29,35,
2013-09-30,135,
2013-10-01,12,
2013-10-02,23,
2013-10-03,13,
2013-10-04,34,3.0
2013-10-05,29,2.0
2013-10-06,22,1.0
2013-10-07,20,0.0
2013-10-08,35,7.0
2013-10-09,19,6.0
2013-10-10,66,4.0
2013-10-11,81,5.0
2013-10-12,41,
2013-10-13,40,
2013-10-14,55,
2013-10-15,2,
2013-10-18,21,
2013-10-19,22,
2013-10-20,22,
2013-10-21,34,
2013-10-22,108,
2013-10-23,34,
2013-10-24,12,
2013-10-25,28,
2013-10-26,87,
2013-10-27,83,
2013-10-28,62,
2013-10-29,30,
2013-10-30,29,
2013-10-31,15,
2013-11-01,50,
2013-11-02,44,
2013-11-03,55,
2013-11-04,28,
2013-11-05,6,
2013-11-06,37,
2013-11-07,137,
2013-11-08,243,
2013-11-09,136,
2013-11-10,85,
2013-11-11,82,
2013-11-12,79,
2013-11-13,275,
2013-11-14,265,
2013-11-15,24,
2013-11-16,36,
2013-11-17,211,
2013-11-18,4,
2013-11-19,34,
2013-11-20,89,
2013-11-22,38,
2013-11-23,133,
2013-11-24,439,
2013-11-25,114,
2013-11-26,89,
2013-11-27,112,
2013-11-28,89,
2013-11-29,56,
2013-11-30,67,
2013-12-01,39,
2013-12-02,32,
2013-12-03,35,
2013-12-04,109,
2013-12-05,86,
2013-12-06,72,
2013-12-07,56,
2013-12-08,41,
2013-12-09,291,
2013-12-10,63,
2013-12-11,43,
2013-12-12,55,
2013-12-13,221,
2013-12-14,56,
2013-12-15,41,
2013-12-16,40,
2013-12-17,146,
2013-12-18,46,
2013-12-19,59,
2013-12-22,1,
2013-12-23,20,
2013-12-24,72,
2013-12-25,25,
2013-12-26,123,
2013-12-27,21,
2014-01-03,8,
2014-01-04,23,
2014-01-05,19,
2014-01-06,34,
2014-01-07,55,
2014-01-08,37,
2014-01-09,12,
2014-01-10,30,
2014-01-11,24,
2014-01-12,26,
2014-01-13,71,
2014-01-14,75,
2014-01-15,59,
2014-01-16,78,
2014-01-20,134,
2014-01-21,332,
2014-01-22,315,
2014-01-23,121,
2014-01-24,119,
2014-01-25,16,
2014-01-27,76,
2014-01-28,108,
2014-01-29,64,
2014-01-30,42,
2014-01-31,77,
2014-02-01,39,
2014-02-02,173,
2014-02-03,83,
2014-02-04,25,
2014-02-05,25,
2014-02-06,29,
2014-02-07,52,
2014-02-08,25,
2014-02-10,58,
2014-02-11,89,
2014-02-12,78,
2014-02-13,105,
2014-02-14,65,
2014-02-15,56,
2014-02-16,69,
2014-02-17,441,
2014-02-19,8,
2014-02-20,44,
2014-02-21,102,
2014-02-22,77,
2014-02-23,59,
2014-02-24,172,
2014-02-25,187,
2014-02-26,74,
2014-02-27,18,
2014-02-28,48,
2014-03-01,108,
2014-03-02,89,
2014-03-03,307,
2014-03-04,1136,
2014-03-05,568,
2014-03-06,222,
2014-03-07,221,
2014-03-09,34,
2014-03-10,480,
2014-03-11,520,
2014-03-12,210,
2014-03-13,274,
2014-03-14,172,
2014-03-15,86,
2014-03-16,90,
2014-03-17,234,
2014-03-18,27,
2014-03-21,48,
2014-03-22,28,
2014-03-23,36,
2014-03-24,55,
2014-03-25,77,
2014-03-26,73,
2014-03-27,77,
2014-03-28,73,
2014-03-29,42,
2014-03-30,26,
2014-03-31,37,
2014-04-01,61,
2014-04-02,49,
2014-04-03,34,
2014-04-04,68,
2014-04-05,37,
2014-04-06,31,
2014-04-08,40,
2014-04-09,48,
2014-04-10,35,
2014-04-11,42,
2014-04-14,28,
2014-04-16,143,
2014-04-17,878,
2014-04-18,305,
2014-04-19,32,
2014-04-23,252,
2014-04-24,311,
2014-04-25,346,
2014-04-26,150,
2014-04-27,196,
2014-04-28,150,
2014-04-29,260,
2014-04-30,255,
2014-05-01,127,
2014-05-02,195,
2014-05-03,180,
2014-05-04,186,
2014-05-05,240,
2014-05-06,225,
2014-05-07,308,
2014-05-08,256,
2014-05-09,140,
2014-05-13,2,
2014-05-14,22,
2014-05-16,4,
2014-05-18,2,
2014-05-20,31,
2014-05-22,110,
2014-05-23,106,
2014-05-24,340,
2014-05-25,365,
2014-05-26,391,
2014-05-27,339,
2014-05-28,329,
2014-05-29,278,
2014-05-30,259,
2014-05-31,319,
2014-06-01,304,
2014-06-02,366,
2014-06-03,260,
2014-06-04,162,
2014-06-05,116,
2014-06-06,334,
2014-06-07,391,
2014-06-08,592,
2014-06-09,370,
2014-06-10,596,
2014-06-11,742,
2014-06-12,508,
2014-06-13,1295,
2014-06-14,291,
2014-06-15,211,
2014-06-16,56,
2014-06-17,37,
2014-06-18,6,
2014-09-15,137,
2014-09-16,201,
2014-09-17,159,
2014-09-18,132,
2014-09-19,330,
2014-09-20,17,
2014-09-23,90,
2014-09-24,111,
2014-09-25,165,
2014-09-26,191,
2014-09-27,170,
2014-09-28,120,
2014-09-29,224,
2014-09-30,189,
2014-10-01,180,
2014-10-07,129,
2014-10-08,127,
2014-10-09,322,
2014-10-10,504,
2014-10-11,302,
2014-10-14,186,
2014-10-15,289,
2014-10-16,370,
2014-10-17,291,
2014-10-18,410,
2014-10-19,453,
2014-10-21,121,
2014-10-22,366,
2014-10-23,326,
2014-10-24,153,
2014-10-25,170,
2014-10-26,88,
2014-10-27,125,
2014-10-28,150,
2014-10-29,190,
