Date,Count,Unnamed: 0.1
2013-09-24,22,8.0
2013-09-25,64,7.0
2013-09-26,13,
2013-09-27,2,
2013-09-28,10,
2013-09-29,33,
2013-09-30,13,
2013-10-02,17,
2013-10-03,2,
2013-10-04,3,2.0
2013-10-06,3,1.0
2013-10-07,11,0.0
2013-10-08,7,6.0
2013-10-09,2,5.0
2013-10-10,5,3.0
2013-10-11,2,4.0
2013-10-12,15,
2013-10-13,13,
2013-10-14,7,
2013-10-18,2,
2013-10-19,3,
2013-10-20,10,
2013-10-21,6,
2013-10-22,21,
2013-10-23,14,
2013-10-24,10,
2013-10-25,279,
2013-10-26,218,
2013-10-27,42,
2013-10-28,16,
2013-10-29,82,
2013-10-30,6,
2013-10-31,19,
2013-11-01,38,
2013-11-02,11,
2013-11-03,9,
2013-11-04,16,
2013-11-05,1,
2013-11-06,2,
2013-11-07,3,
2013-11-08,5,
2013-11-09,173,
2013-11-10,12,
2013-11-11,29,
2013-11-12,10,
2013-11-13,17,
2013-11-14,7,
2013-11-15,3,
2013-11-16,16,
2013-11-17,7,
2013-11-18,1,
2013-11-19,8,
2013-11-20,41,
2013-11-22,6,
2013-11-23,28,
2013-11-24,27,
2013-11-25,37,
2013-11-26,34,
2013-11-27,13,
2013-11-28,14,
2013-11-29,36,
2013-11-30,19,
2013-12-01,6,
2013-12-02,9,
2013-12-03,4,
2013-12-04,6,
2013-12-05,14,
2013-12-06,16,
2013-12-07,8,
2013-12-08,4,
2013-12-09,16,
2013-12-10,6,
2013-12-11,127,
2013-12-12,24,
2013-12-13,15,
2013-12-14,73,
2013-12-15,61,
2013-12-16,93,
2013-12-17,245,
2013-12-18,79,
2013-12-19,17,
2013-12-23,6,
2013-12-24,25,
2013-12-25,13,
2013-12-26,50,
2013-12-27,16,
2014-01-04,2,
2014-01-05,5,
2014-01-06,6,
2014-01-07,5,
2014-01-08,7,
2014-01-09,11,
2014-01-10,7,
2014-01-11,3,
2014-01-12,7,
2014-01-13,11,
2014-01-14,15,
2014-01-15,3,
2014-01-16,6,
2014-01-20,1,
2014-01-21,13,
2014-01-22,14,
2014-01-23,7,
2014-01-24,16,
2014-01-25,4,
2014-01-27,19,
2014-01-28,5,
2014-01-29,748,
2014-01-30,37,
2014-01-31,34,
2014-02-01,27,
2014-02-02,32,
2014-02-03,619,
2014-02-04,119,
2014-02-05,20,
2014-02-06,19,
2014-02-07,77,
2014-02-08,5,
2014-02-10,6,
2014-02-11,6,
2014-02-12,5,
2014-02-13,11,
2014-02-14,55,
2014-02-15,118,
2014-02-16,19,
2014-02-17,2,
2014-02-19,2,
2014-02-20,17,
2014-02-21,5,
2014-02-22,46,
2014-02-23,15,
2014-02-24,219,
2014-02-25,131,
2014-02-26,43,
2014-02-27,11,
2014-02-28,6,
2014-03-01,15,
2014-03-02,9,
2014-03-03,14,
2014-03-04,55,
2014-03-05,15,
2014-03-06,11,
2014-03-07,11,
2014-03-10,22,
2014-03-11,2,
2014-03-12,56,
2014-03-13,22,
2014-03-14,8,
2014-03-15,8,
2014-03-17,16,
2014-03-18,1,
2014-03-21,2,
2014-03-22,3,
2014-03-23,5,
2014-03-24,4,
2014-03-25,3,
2014-03-26,3,
2014-03-27,8,
2014-03-28,19,
2014-03-29,1,
2014-03-30,4,
2014-03-31,4,
2014-04-01,3,
2014-04-02,18,
2014-04-03,380,
2014-04-04,53,
2014-04-05,466,
2014-04-06,27,
2014-04-08,3,
2014-04-09,77,
2014-04-10,5,
2014-04-11,6,
2014-04-14,58,
2014-04-16,17,
2014-04-17,9,
2014-04-18,16,
2014-04-23,19,
2014-04-24,18,
2014-04-25,70,
2014-04-26,20,
2014-04-27,15,
2014-04-28,11,
2014-04-29,48,
2014-04-30,14,
2014-05-01,16,
2014-05-02,18,
2014-05-03,14,
2014-05-04,17,
2014-05-05,57,
2014-05-06,143,
2014-05-07,73,
2014-05-08,299,
2014-05-09,68,
2014-05-13,6,
2014-05-14,54,
2014-05-16,2,
2014-05-20,24,
2014-05-22,15,
2014-05-23,91,
2014-05-24,172,
2014-05-25,249,
2014-05-26,56,
2014-05-27,24,
2014-05-28,56,
2014-05-29,180,
2014-05-30,282,
2014-05-31,2468,
2014-06-01,677,
2014-06-02,160,
2014-06-03,369,
2014-06-04,130,
2014-06-05,3,
2014-06-06,118,
2014-06-07,481,
2014-06-08,259,
2014-06-09,1266,
2014-06-10,508,
2014-06-11,394,
2014-06-12,332,
2014-06-13,1028,
2014-06-14,429,
2014-06-15,1216,
2014-06-16,57,
2014-06-17,20,
2014-06-18,7,
2014-09-15,160,
2014-09-16,1217,
2014-09-17,988,
2014-09-18,544,
2014-09-19,698,
2014-09-20,498,
2014-09-23,653,
2014-09-24,1474,
2014-09-25,965,
2014-09-26,2011,
2014-09-27,854,
2014-09-28,850,
2014-09-29,930,
2014-09-30,251,
2014-10-01,315,
2014-10-07,69,
2014-10-08,314,
2014-10-09,471,
2014-10-10,607,
2014-10-11,2598,
2014-10-14,179,
2014-10-15,222,
2014-10-16,140,
2014-10-17,179,
2014-10-18,370,
2014-10-19,411,
2014-10-21,89,
2014-10-22,234,
2014-10-23,67,
2014-10-24,35,
2014-10-25,296,
2014-10-26,545,
2014-10-27,485,
2014-10-28,235,
2014-10-29,65,
