Date,Count,Unnamed: 0.1
2013-09-24,6,9.0
2013-09-25,8,8.0
2013-09-26,20,
2013-09-27,8,
2013-09-28,19,
2013-09-29,10,
2013-09-30,10,
2013-10-01,4,
2013-10-02,108,
2013-10-03,10,
2013-10-04,8,3.0
2013-10-05,21,2.0
2013-10-06,60,1.0
2013-10-07,38,0.0
2013-10-08,25,7.0
2013-10-09,5,6.0
2013-10-10,12,4.0
2013-10-11,31,5.0
2013-10-12,8,
2013-10-13,17,
2013-10-14,7,
2013-10-15,1,
2013-10-18,27,
2013-10-19,47,
2013-10-20,17,
2013-10-21,14,
2013-10-22,11,
2013-10-23,17,
2013-10-24,4,
2013-10-25,4,
2013-10-26,14,
2013-10-27,8,
2013-10-28,9,
2013-10-29,9,
2013-10-30,9,
2013-10-31,5,
2013-11-01,5,
2013-11-02,5,
2013-11-03,12,
2013-11-04,13,
2013-11-05,4,
2013-11-06,7,
2013-11-07,10,
2013-11-08,12,
2013-11-09,11,
2013-11-10,9,
2013-11-11,38,
2013-11-12,15,
2013-11-13,8,
2013-11-14,9,
2013-11-15,6,
2013-11-16,2,
2013-11-17,1,
2013-11-18,1,
2013-11-19,5,
2013-11-20,32,
2013-11-22,1,
2013-11-23,15,
2013-11-24,11,
2013-11-25,10,
2013-11-26,4,
2013-11-27,3,
2013-11-28,14,
2013-11-29,11,
2013-11-30,7,
2013-12-01,4,
2013-12-02,2,
2013-12-03,4,
2013-12-04,35,
2013-12-05,25,
2013-12-06,5,
2013-12-07,5,
2013-12-08,3,
2013-12-09,9,
2013-12-10,17,
2013-12-11,17,
2013-12-12,8,
2013-12-13,18,
2013-12-14,4,
2013-12-15,6,
2013-12-16,42,
2013-12-17,105,
2013-12-18,39,
2013-12-19,31,
2013-12-20,2,
2013-12-23,9,
2013-12-24,7,
2013-12-25,1,
2013-12-26,13,
2013-12-27,4,
2014-01-03,6,
2014-01-04,10,
2014-01-05,10,
2014-01-06,13,
2014-01-07,2,
2014-01-08,18,
2014-01-09,13,
2014-01-10,51,
2014-01-11,120,
2014-01-12,37,
2014-01-13,11,
2014-01-14,10,
2014-01-15,14,
2014-01-16,21,
2014-01-20,6,
2014-01-21,1,
2014-01-22,6,
2014-01-23,46,
2014-01-24,11,
2014-01-25,2,
2014-01-27,11,
2014-01-28,8,
2014-01-29,14,
2014-01-30,1,
2014-01-31,2,
2014-02-01,8,
2014-02-02,4,
2014-02-03,3,
2014-02-04,7,
2014-02-05,1,
2014-02-06,15,
2014-02-07,8,
2014-02-08,11,
2014-02-10,8,
2014-02-11,10,
2014-02-12,12,
2014-02-13,10,
2014-02-14,5,
2014-02-15,2,
2014-02-16,7,
2014-02-17,5,
2014-02-20,6,
2014-02-21,20,
2014-02-22,13,
2014-02-23,18,
2014-02-24,9,
2014-02-25,35,
2014-02-26,48,
2014-02-27,11,
2014-03-01,11,
2014-03-02,4,
2014-03-03,38,
2014-03-04,3,
2014-03-05,8,
2014-03-06,7,
2014-03-07,6,
2014-03-10,2,
2014-03-11,2,
2014-03-12,8,
2014-03-13,6,
2014-03-14,12,
2014-03-15,16,
2014-03-16,14,
2014-03-17,10,
2014-03-21,7,
2014-03-22,2,
2014-03-23,2,
2014-03-24,8,
2014-03-25,4,
2014-03-26,5,
2014-03-27,23,
2014-03-28,2,
2014-03-29,3,
2014-03-30,2,
2014-03-31,5,
2014-04-01,13,
2014-04-03,13,
2014-04-04,5,
2014-04-05,3,
2014-04-06,4,
2014-04-08,2,
2014-04-09,5,
2014-04-10,6,
2014-04-14,4,
2014-04-16,32,
2014-04-17,56,
2014-04-18,85,
2014-04-19,1,
2014-04-23,4,
2014-04-24,13,
2014-04-25,14,
2014-04-26,22,
2014-04-27,21,
2014-04-28,20,
2014-04-29,36,
2014-04-30,14,
2014-05-01,12,
2014-05-02,13,
2014-05-03,21,
2014-05-04,72,
2014-05-05,27,
2014-05-06,12,
2014-05-07,28,
2014-05-08,17,
2014-05-09,24,
2014-05-14,8,
2014-05-20,5,
2014-05-22,30,
2014-05-23,94,
2014-05-24,72,
2014-05-25,34,
2014-05-26,40,
2014-05-27,163,
2014-05-28,161,
2014-05-29,86,
2014-05-30,41,
2014-05-31,153,
2014-06-01,560,
2014-06-02,506,
2014-06-03,482,
2014-06-04,69,
2014-06-05,38,
2014-06-06,86,
2014-06-07,51,
2014-06-08,57,
2014-06-09,368,
2014-06-10,124,
2014-06-11,146,
2014-06-12,86,
2014-06-13,35,
2014-06-14,65,
2014-06-15,18,
2014-06-16,10,
2014-06-17,7,
2014-06-18,4,
2014-09-15,21,
2014-09-16,62,
2014-09-17,24,
2014-09-18,37,
2014-09-19,16,
2014-09-20,2,
2014-09-23,48,
2014-09-24,105,
2014-09-25,56,
2014-09-26,12,
2014-09-27,75,
2014-09-28,10,
2014-09-29,131,
2014-09-30,169,
2014-10-01,122,
2014-10-07,90,
2014-10-08,35,
2014-10-09,43,
