Date,Count,Unnamed: 0.1
2013-09-25,2,5.0
2013-09-26,15,
2013-09-28,13,
2013-09-29,2,
2013-09-30,2,
2013-10-03,2,
2013-10-04,14,3.0
2013-10-05,1,2.0
2013-10-06,1,1.0
2013-10-07,1,0.0
2013-10-10,2,4.0
2013-10-11,1,
2013-10-12,1,
2013-10-14,3,
2013-10-20,1,
2013-10-21,1,
2013-10-22,1,
2013-10-25,3,
2013-10-26,2,
2013-10-28,6,
2013-11-01,2,
2013-11-03,2,
2013-11-04,4,
2013-11-07,33,
2013-11-08,17,
2013-11-09,5,
2013-11-10,4,
2013-11-11,1,
2013-11-13,2,
2013-11-14,1,
2013-11-16,1,
2013-11-17,2,
2013-11-20,2,
2013-11-25,3,
2013-11-26,2,
2013-11-27,1,
2013-11-28,6,
2013-12-02,6,
2013-12-05,4,
2013-12-07,1,
2013-12-08,1,
2013-12-09,2,
2013-12-10,1,
2013-12-12,2,
2013-12-13,2,
2013-12-16,21,
2013-12-17,7,
2013-12-18,10,
2013-12-19,1,
2013-12-23,2,
2013-12-25,3,
2013-12-26,40,
2013-12-27,1,
2014-01-03,4,
2014-01-04,3,
2014-01-05,2,
2014-01-06,2,
2014-01-07,3,
2014-01-08,1,
2014-01-09,63,
2014-01-10,40,
2014-01-11,2,
2014-01-12,3,
2014-01-13,2,
2014-01-14,9,
2014-01-15,3,
2014-01-16,1,
2014-01-20,1,
2014-01-21,1,
2014-01-22,17,
2014-01-23,6,
2014-01-24,4,
2014-01-29,2,
2014-01-30,8,
2014-01-31,8,
2014-02-01,4,
2014-02-02,2,
2014-02-03,1,
2014-02-04,13,
2014-02-05,10,
2014-02-06,8,
2014-02-07,13,
2014-02-08,193,
2014-02-10,5,
2014-02-11,6,
2014-02-12,2,
2014-02-13,8,
2014-02-14,1,
2014-02-15,2,
2014-02-16,2,
2014-02-17,1,
2014-02-19,1,
2014-02-20,2,
2014-02-21,1,
2014-02-22,120,
2014-02-23,12,
2014-02-24,14,
2014-02-25,508,
2014-02-26,7,
2014-03-01,7,
2014-03-02,2,
2014-03-03,4,
2014-03-04,3,
2014-03-05,6,
2014-03-06,9,
2014-03-07,7,
2014-03-10,12,
2014-03-11,6,
2014-03-12,12,
2014-03-13,21,
2014-03-14,24,
2014-03-15,12,
2014-03-17,6,
2014-03-18,33,
2014-03-22,4,
2014-03-23,1,
2014-03-28,2,
2014-03-30,2,
2014-04-01,2,
2014-04-03,6,
2014-04-04,1,
2014-04-06,4,
2014-04-08,25,
2014-04-09,3,
2014-04-10,36,
2014-04-14,3,
2014-04-17,1,
2014-04-18,5,
2014-04-23,144,
2014-04-24,2324,
2014-04-25,58,
2014-04-26,48,
2014-04-27,506,
2014-04-28,30,
2014-04-29,2,
2014-04-30,7,
2014-05-01,346,
2014-05-02,11,
2014-05-03,27,
2014-05-04,4,
2014-05-05,8,
2014-05-06,6,
2014-05-07,1,
2014-05-08,12,
2014-05-09,59,
2014-05-22,7,
2014-05-23,6,
2014-05-24,5,
2014-05-26,20,
2014-05-27,12,
2014-05-28,6,
2014-05-29,7,
2014-05-30,2,
2014-05-31,9,
2014-06-01,6,
2014-06-02,31,
2014-06-03,2,
2014-06-04,8,
2014-06-06,11,
2014-06-07,26,
2014-06-09,12,
2014-06-10,84,
2014-06-11,36,
2014-06-12,30,
2014-06-13,3,
2014-06-14,10,
2014-06-15,6,
2014-06-16,3,
2014-09-15,61,
2014-09-16,14,
2014-09-17,8,
2014-09-18,1,
2014-09-19,1,
2014-09-23,107,
2014-09-24,19,
2014-09-25,15,
2014-09-26,20,
2014-09-27,13,
2014-09-28,7,
2014-09-29,20,
2014-09-30,9,
2014-10-01,69,
2014-10-07,2,
2014-10-08,54,
2014-10-09,41,
2014-10-10,260,
2014-10-11,116,
2014-10-14,17,
2014-10-15,70,
2014-10-16,166,
2014-10-17,12,
2014-10-18,5,
2014-10-19,7,
2014-10-21,10,
2014-10-22,5,
2014-10-23,5,
2014-10-25,1,
2014-10-26,21,
2014-10-27,9,
2014-10-28,2,
2014-10-29,2,
