Date,Count,Unnamed: 0.1
2013-09-24,22,9.0
2013-09-25,48,8.0
2013-09-26,62,
2013-09-27,16,
2013-09-28,19,
2013-09-29,19,
2013-09-30,17,
2013-10-01,16,
2013-10-02,27,
2013-10-03,7,
2013-10-04,43,3.0
2013-10-05,30,2.0
2013-10-06,34,1.0
2013-10-07,24,0.0
2013-10-08,11,7.0
2013-10-09,21,6.0
2013-10-10,29,4.0
2013-10-11,35,5.0
2013-10-12,21,
2013-10-13,6,
2013-10-14,35,
2013-10-15,2,
2013-10-18,28,
2013-10-19,97,
2013-10-20,52,
2013-10-21,919,
2013-10-22,44,
2013-10-23,24,
2013-10-24,17,
2013-10-25,9,
2013-10-26,102,
2013-10-27,58,
2013-10-28,30,
2013-10-29,26,
2013-10-30,25,
2013-10-31,27,
2013-11-01,34,
2013-11-02,26,
2013-11-03,16,
2013-11-04,62,
2013-11-05,29,
2013-11-06,36,
2013-11-07,28,
2013-11-08,51,
2013-11-09,27,
2013-11-10,36,
2013-11-11,38,
2013-11-12,25,
2013-11-13,28,
2013-11-14,147,
2013-11-15,48,
2013-11-16,41,
2013-11-17,128,
2013-11-18,3,
2013-11-19,12,
2013-11-20,261,
2013-11-22,14,
2013-11-23,41,
2013-11-24,60,
2013-11-25,20,
2013-11-26,31,
2013-11-27,8,
2013-11-28,23,
2013-11-29,21,
2013-11-30,24,
2013-12-01,63,
2013-12-02,597,
2013-12-03,27,
2013-12-04,38,
2013-12-05,26,
2013-12-06,57,
2013-12-07,203,
2013-12-08,33,
2013-12-09,19,
2013-12-10,22,
2013-12-11,27,
2013-12-12,24,
2013-12-13,34,
2013-12-14,23,
2013-12-15,39,
2013-12-16,11,
2013-12-17,8,
2013-12-18,28,
2013-12-19,34,
2013-12-22,10,
2013-12-23,24,
2013-12-24,20,
2013-12-25,10,
2013-12-26,35,
2013-12-27,15,
2014-01-03,37,
2014-01-04,257,
2014-01-05,170,
2014-01-06,83,
2014-01-07,99,
2014-01-08,55,
2014-01-09,45,
2014-01-10,53,
2014-01-11,102,
2014-01-12,44,
2014-01-13,122,
2014-01-14,52,
2014-01-15,20,
2014-01-16,24,
2014-01-20,21,
2014-01-21,42,
2014-01-22,22,
2014-01-23,35,
2014-01-24,31,
2014-01-25,14,
2014-01-27,19,
2014-01-28,27,
2014-01-29,32,
2014-01-30,10,
2014-01-31,38,
2014-02-01,28,
2014-02-02,22,
2014-02-03,16,
2014-02-04,18,
2014-02-05,46,
2014-02-06,37,
2014-02-07,52,
2014-02-08,25,
2014-02-10,20,
2014-02-11,19,
2014-02-12,16,
2014-02-13,21,
2014-02-14,28,
2014-02-15,31,
2014-02-16,11,
2014-02-17,7,
2014-02-19,4,
2014-02-20,16,
2014-02-21,63,
2014-02-22,44,
2014-02-23,32,
2014-02-24,42,
2014-02-25,65,
2014-02-26,15,
2014-02-27,5,
2014-02-28,15,
2014-03-01,41,
2014-03-02,39,
2014-03-03,20,
2014-03-04,20,
2014-03-05,58,
2014-03-06,41,
2014-03-07,29,
2014-03-09,6,
2014-03-10,50,
2014-03-11,436,
2014-03-12,78,
2014-03-13,94,
2014-03-14,136,
2014-03-15,154,
2014-03-16,106,
2014-03-17,278,
2014-03-18,8,
2014-03-21,34,
2014-03-22,22,
2014-03-23,28,
2014-03-24,59,
2014-03-25,69,
2014-03-26,51,
2014-03-27,89,
2014-03-28,124,
2014-03-29,83,
2014-03-30,123,
2014-03-31,386,
2014-04-01,30,
2014-04-02,256,
2014-04-03,100,
2014-04-04,53,
2014-04-05,30,
2014-04-06,23,
2014-04-08,17,
2014-04-09,45,
2014-04-10,47,
2014-04-11,35,
2014-04-14,16,
2014-04-16,68,
2014-04-17,138,
2014-04-18,179,
2014-04-19,26,
2014-04-23,83,
2014-04-24,122,
2014-04-25,275,
2014-04-26,215,
2014-04-27,127,
2014-04-28,153,
2014-04-29,240,
2014-04-30,210,
2014-05-01,171,
2014-05-02,161,
2014-05-03,209,
2014-05-04,126,
2014-05-05,142,
2014-05-06,193,
2014-05-07,213,
2014-05-08,257,
2014-05-09,188,
2014-05-11,2,
2014-05-13,12,
2014-05-14,16,
2014-05-17,2,
2014-05-20,11,
2014-05-22,150,
2014-05-23,403,
2014-05-24,539,
2014-05-25,2180,
2014-05-26,314,
2014-05-27,200,
2014-05-28,191,
2014-05-29,535,
2014-05-30,446,
2014-05-31,184,
2014-06-01,251,
2014-06-02,243,
2014-06-03,193,
2014-06-04,76,
2014-06-05,101,
2014-06-06,242,
2014-06-07,223,
2014-06-08,173,
2014-06-09,294,
2014-06-10,332,
2014-06-11,318,
2014-06-12,378,
2014-06-13,325,
2014-06-14,344,
2014-06-15,190,
2014-06-16,31,
2014-06-17,11,
2014-06-18,1,
2014-09-15,144,
2014-09-16,360,
2014-09-17,163,
2014-09-18,288,
2014-09-19,126,
2014-09-20,21,
2014-09-22,1,
2014-09-23,56,
2014-09-24,243,
2014-09-25,148,
2014-09-26,316,
2014-09-27,331,
2014-09-28,164,
2014-09-29,183,
2014-09-30,147,
2014-10-01,56,
2014-10-07,56,
2014-10-08,747,
2014-10-09,635,
2014-10-10,876,
2014-10-11,320,
2014-10-14,135,
2014-10-15,202,
2014-10-16,224,
2014-10-17,174,
2014-10-18,141,
2014-10-19,149,
2014-10-21,100,
2014-10-22,136,
2014-10-23,198,
2014-10-24,89,
2014-10-25,178,
2014-10-26,117,
2014-10-27,142,
2014-10-28,134,
2014-10-29,36,
