Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,254,9.0
2013-09-25 00:00:00,244,8.0
2013-09-26 00:00:00,311,
2013-09-27 00:00:00,94,
2013-09-28 00:00:00,184,
2013-09-29 00:00:00,273,
2013-09-30 00:00:00,260,
2013-10-01 00:00:00,179,
2013-10-02 00:00:00,384,
2013-10-03 00:00:00,283,
2013-10-04 00:00:00,183,3.0
2013-10-05 00:00:00,271,2.0
2013-10-06 00:00:00,384,1.0
2013-10-07 00:00:00,397,0.0
2013-10-08 00:00:00,302,7.0
2013-10-09 00:00:00,170,6.0
2013-10-10 00:00:00,261,4.0
2013-10-11 00:00:00,333,5.0
2013-10-12 00:00:00,282,
2013-10-13 00:00:00,366,
2013-10-14 00:00:00,420,
2013-10-15 00:00:00,351,
2013-10-16 00:00:00,283,
2013-10-17 00:00:00,215,
2013-10-18 00:00:00,147,
2013-10-19 00:00:00,171,
2013-10-20 00:00:00,156,
2013-10-21 00:00:00,287,
2013-10-22 00:00:00,535,
2013-10-23 00:00:00,579,
2013-10-24 00:00:00,101,
2013-10-25 00:00:00,311,
2013-10-26 00:00:00,293,
2013-10-27 00:00:00,365,
2013-10-28 00:00:00,314,
2013-10-29 00:00:00,304,
2013-10-30 00:00:00,261,
2013-10-31 00:00:00,260,
2013-11-01 00:00:00,556,
2013-11-02 00:00:00,272,
2013-11-03 00:00:00,316,
2013-11-04 00:00:00,449,
2013-11-05 00:00:00,95,
2013-11-06 00:00:00,272,
2013-11-07 00:00:00,341,
2013-11-08 00:00:00,408,
2013-11-09 00:00:00,239,
2013-11-10 00:00:00,1346,
2013-11-11 00:00:00,400,
2013-11-12 00:00:00,474,
2013-11-13 00:00:00,336,
2013-11-14 00:00:00,403,
2013-11-15 00:00:00,190,
2013-11-16 00:00:00,289,
2013-11-17 00:00:00,324,
2013-11-18 00:00:00,24,
2013-11-19 00:00:00,187,
2013-11-20 00:00:00,510,
2013-11-21 00:00:00,458,
2013-11-22 00:00:00,406,
2013-11-23 00:00:00,354,
2013-11-24 00:00:00,559,
2013-11-25 00:00:00,488,
2013-11-26 00:00:00,445,
2013-11-27 00:00:00,477,
2013-11-28 00:00:00,354,
2013-11-29 00:00:00,313,
2013-11-30 00:00:00,438,
2013-12-01 00:00:00,246,
2013-12-02 00:00:00,366,
2013-12-03 00:00:00,208,
2013-12-04 00:00:00,384,
2013-12-05 00:00:00,281,
2013-12-06 00:00:00,395,
2013-12-07 00:00:00,414,
2013-12-08 00:00:00,345,
2013-12-09 00:00:00,248,
2013-12-10 00:00:00,337,
2013-12-11 00:00:00,240,
2013-12-12 00:00:00,387,
2013-12-13 00:00:00,374,
2013-12-14 00:00:00,327,
2013-12-15 00:00:00,347,
2013-12-16 00:00:00,546,
2013-12-17 00:00:00,397,
2013-12-18 00:00:00,413,
2013-12-19 00:00:00,620,
2013-12-20 00:00:00,526,
2013-12-21 00:00:00,433,
2013-12-22 00:00:00,340,
2013-12-23 00:00:00,247,
2013-12-24 00:00:00,542,
2013-12-25 00:00:00,583,
2013-12-26 00:00:00,435,
2013-12-27 00:00:00,414,
2013-12-28 00:00:00,394,
2013-12-29 00:00:00,373,
2013-12-30 00:00:00,353,
2013-12-31 00:00:00,332,
2014-01-01 00:00:00,312,
2014-01-02 00:00:00,291,
2014-01-03 00:00:00,271,
2014-01-04 00:00:00,516,
2014-01-05 00:00:00,891,
2014-01-06 00:00:00,457,
2014-01-07 00:00:00,546,
2014-01-08 00:00:00,426,
2014-01-09 00:00:00,348,
2014-01-10 00:00:00,334,
2014-01-11 00:00:00,378,
2014-01-12 00:00:00,356,
2014-01-13 00:00:00,349,
2014-01-14 00:00:00,321,
2014-01-15 00:00:00,587,
2014-01-16 00:00:00,453,
2014-01-17 00:00:00,406,
2014-01-18 00:00:00,360,
2014-01-19 00:00:00,313,
2014-01-20 00:00:00,267,
2014-01-21 00:00:00,327,
2014-01-22 00:00:00,544,
2014-01-23 00:00:00,465,
2014-01-24 00:00:00,400,
2014-01-25 00:00:00,349,
2014-01-26 00:00:00,299,
2014-01-27 00:00:00,249,
2014-01-28 00:00:00,613,
2014-01-29 00:00:00,299,
2014-01-30 00:00:00,280,
2014-01-31 00:00:00,247,
2014-02-01 00:00:00,744,
2014-02-02 00:00:00,416,
2014-02-03 00:00:00,398,
2014-02-04 00:00:00,357,
2014-02-05 00:00:00,260,
2014-02-06 00:00:00,440,
2014-02-07 00:00:00,394,
2014-02-08 00:00:00,199,
2014-02-09 00:00:00,200,
2014-02-10 00:00:00,202,
2014-02-11 00:00:00,418,
2014-02-12 00:00:00,375,
2014-02-13 00:00:00,433,
2014-02-14 00:00:00,444,
2014-02-15 00:00:00,300,
2014-02-16 00:00:00,470,
2014-02-17 00:00:00,74,
2014-02-18 00:00:00,135,
2014-02-19 00:00:00,196,
2014-02-20 00:00:00,258,
2014-02-21 00:00:00,391,
2014-02-22 00:00:00,350,
2014-02-23 00:00:00,392,
2014-02-24 00:00:00,483,
2014-02-25 00:00:00,1082,
2014-02-26 00:00:00,238,
2014-02-27 00:00:00,54,
2014-02-28 00:00:00,278,
2014-03-01 00:00:00,388,
2014-03-02 00:00:00,418,
