Date,Count,Unnamed: 0.1
2013-09-24,546,9.0
2013-09-25,814,8.0
2013-09-26,560,
2013-09-27,866,
2013-09-28,1082,
2013-09-29,809,
2013-09-30,899,
2013-10-01,482,
2013-10-02,1409,
2013-10-03,440,
2013-10-04,537,3.0
2013-10-05,979,2.0
2013-10-06,1140,1.0
2013-10-07,1320,0.0
2013-10-08,840,7.0
2013-10-09,682,6.0
2013-10-10,674,4.0
2013-10-11,776,5.0
2013-10-12,688,
2013-10-13,766,
2013-10-14,675,
2013-10-15,10,
2013-10-18,726,
2013-10-19,865,
2013-10-20,593,
2013-10-21,765,
2013-10-22,1896,
2013-10-23,2566,
2013-10-24,392,
2013-10-25,2744,
2013-10-26,1451,
2013-10-27,1220,
2013-10-28,986,
2013-10-29,832,
2013-10-30,855,
2013-10-31,855,
2013-11-01,821,
2013-11-02,668,
2013-11-03,783,
2013-11-04,603,
2013-11-05,444,
2013-11-06,1657,
2013-11-07,1222,
2013-11-08,906,
2013-11-09,1227,
2013-11-10,963,
2013-11-11,859,
2013-11-12,724,
2013-11-13,1904,
2013-11-14,1074,
2013-11-15,682,
2013-11-16,1678,
2013-11-17,718,
2013-11-18,108,
2013-11-19,331,
2013-11-20,981,
2013-11-22,466,
2013-11-23,1723,
2013-11-24,971,
2013-11-25,1419,
2013-11-26,1143,
2013-11-27,413,
2013-11-28,920,
2013-11-29,759,
2013-11-30,1338,
2013-12-01,787,
2013-12-02,1883,
2013-12-03,1057,
2013-12-04,1162,
2013-12-05,1349,
2013-12-06,2111,
2013-12-07,852,
2013-12-08,686,
2013-12-09,497,
2013-12-10,1201,
2013-12-11,957,
2013-12-12,3921,
2013-12-13,11339,
2013-12-14,2717,
2013-12-15,875,
2013-12-16,730,
2013-12-17,982,
2013-12-18,592,
2013-12-19,665,
2013-12-20,14,
2013-12-22,32,
2013-12-23,837,
2013-12-24,772,
2013-12-25,349,
2013-12-26,497,
2013-12-27,282,
2014-01-03,512,
2014-01-04,667,
2014-01-05,876,
2014-01-06,636,
2014-01-07,892,
2014-01-08,970,
2014-01-09,871,
2014-01-10,937,
2014-01-11,845,
2014-01-12,714,
2014-01-13,595,
2014-01-14,1436,
2014-01-15,978,
2014-01-16,988,
2014-01-20,1514,
2014-01-21,1529,
2014-01-22,1362,
2014-01-23,1199,
2014-01-24,710,
2014-01-25,120,
2014-01-27,546,
2014-01-28,1223,
2014-01-29,864,
2014-01-30,853,
2014-01-31,1419,
2014-02-01,1336,
2014-02-02,611,
2014-02-03,844,
2014-02-04,854,
2014-02-05,664,
2014-02-06,1228,
2014-02-07,920,
2014-02-08,409,
2014-02-10,446,
2014-02-11,525,
2014-02-12,856,
2014-02-13,2039,
2014-02-14,582,
2014-02-15,1315,
2014-02-16,1467,
2014-02-17,136,
2014-02-19,70,
2014-02-20,1210,
2014-02-21,1357,
2014-02-22,1874,
2014-02-23,1139,
2014-02-24,1481,
2014-02-25,923,
2014-02-26,624,
2014-02-27,132,
2014-02-28,261,
2014-03-01,780,
2014-03-02,864,
2014-03-03,2205,
2014-03-04,1439,
2014-03-05,1646,
2014-03-06,1614,
2014-03-07,1705,
2014-03-09,82,
2014-03-10,5400,
2014-03-11,1710,
2014-03-12,1480,
2014-03-13,1788,
2014-03-14,1934,
2014-03-15,2192,
2014-03-16,1436,
2014-03-17,3680,
2014-03-18,444,
2014-03-21,757,
2014-03-22,1088,
2014-03-23,906,
2014-03-24,637,
2014-03-25,570,
2014-03-26,1160,
2014-03-27,759,
2014-03-28,1025,
2014-03-29,450,
2014-03-30,505,
2014-03-31,938,
2014-04-01,1086,
2014-04-02,501,
2014-04-03,8275,
2014-04-04,4802,
2014-04-05,1311,
2014-04-06,1068,
2014-04-08,790,
2014-04-09,770,
2014-04-10,1308,
2014-04-11,518,
2014-04-14,820,
2014-04-16,1347,
2014-04-17,5273,
2014-04-18,7204,
2014-04-19,261,
2014-04-23,1904,
2014-04-24,5428,
2014-04-25,4000,
2014-04-26,5221,
2014-04-27,5109,
2014-04-28,5840,
2014-04-29,6198,
2014-04-30,7750,
2014-05-01,5613,
2014-05-02,4136,
2014-05-03,7187,
2014-05-04,6273,
2014-05-05,4486,
2014-05-06,3960,
2014-05-07,2805,
2014-05-08,2180,
2014-05-09,1627,
2014-05-10,2,
2014-05-11,4,
2014-05-12,2,
2014-05-13,140,
2014-05-14,198,
2014-05-16,12,
2014-05-17,6,
2014-05-18,6,
2014-05-19,2,
2014-05-20,240,
2014-05-22,3152,
2014-05-23,6470,
2014-05-24,4110,
2014-05-25,3251,
2014-05-26,3042,
2014-05-27,3431,
2014-05-28,2499,
2014-05-29,3719,
2014-05-30,7595,
2014-05-31,14400,
2014-06-01,7759,
2014-06-02,4967,
2014-06-03,3545,
2014-06-04,2055,
2014-06-05,6388,
2014-06-06,43355,
2014-06-07,13549,
2014-06-08,6589,
2014-06-09,8064,
2014-06-10,12946,
2014-06-11,31614,
2014-06-12,30710,
2014-06-13,19856,
2014-06-14,62202,
2014-06-15,25984,
2014-06-16,2232,
2014-06-17,1120,
2014-06-18,45,
2014-09-15,2205,
2014-09-16,4086,
2014-09-17,2750,
2014-09-18,6742,
2014-09-19,3789,
2014-09-20,408,
2014-09-21,1,
2014-09-22,74,
2014-09-23,2683,
2014-09-24,2541,
2014-09-25,11588,
2014-09-26,4480,
2014-09-27,12411,
2014-09-28,17208,
2014-09-29,4063,
2014-09-30,12226,
2014-10-01,9211,
2014-10-07,13397,
2014-10-08,15084,
2014-10-09,8000,
