Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,688,9.0
2013-09-25 00:00:00,1364,8.0
2013-09-26 00:00:00,2305,
2013-09-27 00:00:00,1965,
2013-09-28 00:00:00,1783,
2013-09-29 00:00:00,1711,
2013-09-30 00:00:00,2181,
2013-10-01 00:00:00,485,
2013-10-02 00:00:00,1768,
2013-10-03 00:00:00,2250,
2013-10-04 00:00:00,2733,3.0
2013-10-05 00:00:00,2873,2.0
2013-10-06 00:00:00,20064,1.0
2013-10-07 00:00:00,4748,0.0
2013-10-08 00:00:00,2518,7.0
2013-10-09 00:00:00,1311,6.0
2013-10-10 00:00:00,2182,4.0
2013-10-11 00:00:00,2505,5.0
2013-10-12 00:00:00,2288,
2013-10-13 00:00:00,3179,
2013-10-14 00:00:00,3618,
2013-10-15 00:00:00,2976,
2013-10-16 00:00:00,2334,
2013-10-17 00:00:00,1692,
2013-10-18 00:00:00,1051,
2013-10-19 00:00:00,2088,
2013-10-20 00:00:00,1223,
2013-10-21 00:00:00,2123,
2013-10-22 00:00:00,2061,
2013-10-23 00:00:00,1874,
2013-10-24 00:00:00,319,
2013-10-25 00:00:00,5519,
2013-10-26 00:00:00,3505,
2013-10-27 00:00:00,2073,
2013-10-28 00:00:00,5491,
2013-10-29 00:00:00,2420,
2013-10-30 00:00:00,2056,
2013-10-31 00:00:00,10304,
2013-11-01 00:00:00,4719,
2013-11-02 00:00:00,4737,
2013-11-03 00:00:00,21187,
2013-11-04 00:00:00,3589,
2013-11-05 00:00:00,611,
2013-11-06 00:00:00,2423,
2013-11-07 00:00:00,1745,
2013-11-08 00:00:00,3126,
2013-11-09 00:00:00,1635,
2013-11-10 00:00:00,945,
2013-11-11 00:00:00,1598,
2013-11-12 00:00:00,1741,
2013-11-13 00:00:00,2867,
2013-11-14 00:00:00,3822,
2013-11-15 00:00:00,1274,
2013-11-16 00:00:00,4229,
2013-11-17 00:00:00,2311,
2013-11-18 00:00:00,299,
2013-11-19 00:00:00,974,
2013-11-20 00:00:00,1616,
2013-11-21 00:00:00,1596,
2013-11-22 00:00:00,1576,
2013-11-23 00:00:00,1556,
2013-11-24 00:00:00,1463,
2013-11-25 00:00:00,1437,
2013-11-26 00:00:00,2029,
2013-11-27 00:00:00,973,
2013-11-28 00:00:00,1315,
2013-11-29 00:00:00,3133,
2013-11-30 00:00:00,2545,
2013-12-01 00:00:00,1322,
2013-12-02 00:00:00,2759,
2013-12-03 00:00:00,1332,
2013-12-04 00:00:00,2843,
2013-12-05 00:00:00,1838,
2013-12-06 00:00:00,2818,
2013-12-07 00:00:00,2422,
2013-12-08 00:00:00,1678,
2013-12-09 00:00:00,2019,
2013-12-10 00:00:00,2260,
2013-12-11 00:00:00,1859,
2013-12-12 00:00:00,1798,
2013-12-13 00:00:00,3834,
2013-12-14 00:00:00,2387,
2013-12-15 00:00:00,1534,
2013-12-16 00:00:00,1779,
2013-12-17 00:00:00,1564,
2013-12-18 00:00:00,1422,
2013-12-19 00:00:00,857,
2013-12-20 00:00:00,1066,
2013-12-21 00:00:00,1275,
2013-12-22 00:00:00,1484,
2013-12-23 00:00:00,1693,
2013-12-24 00:00:00,1546,
2013-12-25 00:00:00,4579,
2013-12-26 00:00:00,3134,
2013-12-27 00:00:00,2805,
2013-12-28 00:00:00,2477,
2013-12-29 00:00:00,2148,
2013-12-30 00:00:00,1820,
2013-12-31 00:00:00,1492,
2014-01-01 00:00:00,1163,
2014-01-02 00:00:00,835,
2014-01-03 00:00:00,507,
2014-01-04 00:00:00,1755,
2014-01-05 00:00:00,2195,
2014-01-06 00:00:00,2197,
2014-01-07 00:00:00,1962,
2014-01-08 00:00:00,1546,
2014-01-09 00:00:00,1991,
2014-01-10 00:00:00,1358,
2014-01-11 00:00:00,1675,
2014-01-12 00:00:00,1443,
2014-01-13 00:00:00,1367,
2014-01-14 00:00:00,1614,
2014-01-15 00:00:00,2081,
2014-01-16 00:00:00,1772,
2014-01-17 00:00:00,1624,
2014-01-18 00:00:00,1477,
2014-01-19 00:00:00,1329,
2014-01-20 00:00:00,1182,
2014-01-21 00:00:00,3422,
2014-01-22 00:00:00,3166,
2014-01-23 00:00:00,1830,
2014-01-24 00:00:00,2207,
2014-01-25 00:00:00,1935,
2014-01-26 00:00:00,1663,
2014-01-27 00:00:00,1391,
2014-01-28 00:00:00,1705,
2014-01-29 00:00:00,1820,
2014-01-30 00:00:00,1608,
2014-01-31 00:00:00,1605,
2014-02-01 00:00:00,1424,
2014-02-02 00:00:00,3795,
2014-02-03 00:00:00,2909,
2014-02-04 00:00:00,3746,
2014-02-05 00:00:00,2297,
2014-02-06 00:00:00,2656,
2014-02-07 00:00:00,2276,
2014-02-08 00:00:00,1312,
2014-02-09 00:00:00,1008,
2014-02-10 00:00:00,704,
2014-02-11 00:00:00,2384,
2014-02-12 00:00:00,1321,
2014-02-13 00:00:00,1901,
2014-02-14 00:00:00,1732,
2014-02-15 00:00:00,2502,
2014-02-16 00:00:00,1258,
2014-02-17 00:00:00,414,
2014-02-18 00:00:00,507,
2014-02-19 00:00:00,600,
2014-02-20 00:00:00,693,
2014-02-21 00:00:00,1377,
2014-02-22 00:00:00,1142,
2014-02-23 00:00:00,1260,
2014-02-24 00:00:00,1241,
2014-02-25 00:00:00,2373,
2014-02-26 00:00:00,693,
2014-02-27 00:00:00,270,
2014-02-28 00:00:00,494,
2014-03-01 00:00:00,1686,
2014-03-02 00:00:00,1307,
2014-03-03 00:00:00,2201,
2014-03-04 00:00:00,3671,
2014-03-05 00:00:00,2601,
2014-03-06 00:00:00,2792,
2014-03-07 00:00:00,2705,
2014-03-08 00:00:00,1438,
2014-03-09 00:00:00,172,
2014-03-10 00:00:00,4292,
2014-03-11 00:00:00,6084,
2014-03-12 00:00:00,5220,
2014-03-13 00:00:00,7584,
2014-03-14 00:00:00,4788,
2014-03-15 00:00:00,4108,
2014-03-16 00:00:00,6310,
2014-03-17 00:00:00,2976,
2014-03-18 00:00:00,1190,
2014-03-19 00:00:00,1148,
2014-03-20 00:00:00,1106,
2014-03-21 00:00:00,1064,
2014-03-22 00:00:00,2160,
2014-03-23 00:00:00,1608,
2014-03-24 00:00:00,1518,
2014-03-25 00:00:00,1924,
2014-03-26 00:00:00,1590,
2014-03-27 00:00:00,1912,
2014-03-28 00:00:00,2255,
2014-03-29 00:00:00,3185,
2014-03-30 00:00:00,1752,
2014-03-31 00:00:00,3914,
2014-04-01 00:00:00,3369,
2014-04-02 00:00:00,5088,
2014-04-03 00:00:00,2853,
2014-04-04 00:00:00,12103,
2014-04-05 00:00:00,2886,
