Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,847,9.0
2013-09-25 00:00:00,964,8.0
2013-09-26 00:00:00,1934,
2013-09-27 00:00:00,938,
2013-09-28 00:00:00,1304,
2013-09-29 00:00:00,1518,
2013-09-30 00:00:00,1335,
2013-10-01 00:00:00,638,
2013-10-02 00:00:00,1075,
2013-10-03 00:00:00,1705,
2013-10-04 00:00:00,2336,3.0
2013-10-05 00:00:00,2745,2.0
2013-10-06 00:00:00,2211,1.0
2013-10-07 00:00:00,2986,0.0
2013-10-08 00:00:00,1716,7.0
2013-10-09 00:00:00,1653,6.0
2013-10-10 00:00:00,1704,4.0
2013-10-11 00:00:00,1490,5.0
2013-10-12 00:00:00,1823,
2013-10-13 00:00:00,2371,
2013-10-14 00:00:00,1188,
2013-10-15 00:00:00,1133,
2013-10-16 00:00:00,1079,
2013-10-17 00:00:00,1024,
2013-10-18 00:00:00,970,
2013-10-19 00:00:00,1113,
2013-10-20 00:00:00,1434,
2013-10-21 00:00:00,2168,
2013-10-22 00:00:00,1186,
2013-10-23 00:00:00,1076,
2013-10-24 00:00:00,394,
2013-10-25 00:00:00,1158,
2013-10-26 00:00:00,1223,
2013-10-27 00:00:00,1120,
2013-10-28 00:00:00,1406,
2013-10-29 00:00:00,1722,
2013-10-30 00:00:00,3460,
2013-10-31 00:00:00,1081,
2013-11-01 00:00:00,1580,
2013-11-02 00:00:00,1429,
2013-11-03 00:00:00,1523,
2013-11-04 00:00:00,1594,
2013-11-05 00:00:00,730,
2013-11-06 00:00:00,2363,
2013-11-07 00:00:00,1837,
2013-11-08 00:00:00,1522,
2013-11-09 00:00:00,1109,
2013-11-10 00:00:00,1159,
2013-11-11 00:00:00,1655,
2013-11-12 00:00:00,1586,
2013-11-13 00:00:00,1328,
2013-11-14 00:00:00,2503,
2013-11-15 00:00:00,822,
2013-11-16 00:00:00,1270,
2013-11-17 00:00:00,812,
2013-11-18 00:00:00,290,
2013-11-19 00:00:00,248,
2013-11-20 00:00:00,1969,
2013-11-21 00:00:00,1838,
2013-11-22 00:00:00,1707,
2013-11-23 00:00:00,1576,
2013-11-24 00:00:00,2151,
2013-11-25 00:00:00,1511,
2013-11-26 00:00:00,1138,
2013-11-27 00:00:00,1129,
2013-11-28 00:00:00,4773,
2013-11-29 00:00:00,1519,
2013-11-30 00:00:00,1081,
2013-12-01 00:00:00,868,
2013-12-02 00:00:00,840,
2013-12-03 00:00:00,770,
2013-12-04 00:00:00,1033,
2013-12-05 00:00:00,1019,
2013-12-06 00:00:00,1136,
2013-12-07 00:00:00,789,
2013-12-08 00:00:00,1392,
2013-12-09 00:00:00,1361,
2013-12-10 00:00:00,1639,
2013-12-11 00:00:00,1140,
2013-12-12 00:00:00,7134,
2013-12-13 00:00:00,2542,
2013-12-14 00:00:00,1172,
2013-12-15 00:00:00,1317,
2013-12-16 00:00:00,1112,
2013-12-17 00:00:00,1900,
2013-12-18 00:00:00,5176,
2013-12-19 00:00:00,1692,
2013-12-20 00:00:00,1663,
2013-12-21 00:00:00,1635,
2013-12-22 00:00:00,1607,
