Date,Count,Unnamed: 0.1
2013-09-24,1522,9.0
2013-09-25,1574,8.0
2013-09-26,973,
2013-09-27,871,
2013-09-28,2017,
2013-09-29,1657,
2013-09-30,2267,
2013-10-01,1647,
2013-10-02,2176,
2013-10-03,1860,
2013-10-04,1953,3.0
2013-10-05,3916,2.0
2013-10-06,2056,1.0
2013-10-07,1941,0.0
2013-10-08,1994,7.0
2013-10-09,1340,6.0
2013-10-10,2516,4.0
2013-10-11,1813,5.0
2013-10-12,1654,
2013-10-13,1210,
2013-10-14,1383,
2013-10-15,74,
2013-10-18,1058,
2013-10-19,1755,
2013-10-20,1581,
2013-10-21,1787,
2013-10-22,1616,
2013-10-23,1341,
2013-10-24,383,
2013-10-25,950,
2013-10-26,1439,
2013-10-27,1319,
2013-10-28,2106,
2013-10-29,4734,
2013-10-30,3208,
2013-10-31,2133,
2013-11-01,2393,
2013-11-02,2984,
2013-11-03,1996,
2013-11-04,1950,
2013-11-05,599,
2013-11-06,1476,
2013-11-07,2440,
2013-11-08,1964,
2013-11-09,2168,
2013-11-10,1458,
2013-11-11,1284,
2013-11-12,2339,
2013-11-13,5156,
2013-11-14,4247,
2013-11-15,1782,
2013-11-16,2217,
2013-11-17,1547,
2013-11-18,403,
2013-11-19,601,
2013-11-20,2098,
2013-11-22,1022,
2013-11-23,2648,
2013-11-24,1741,
2013-11-25,2502,
2013-11-26,2409,
2013-11-27,2187,
2013-11-28,2822,
2013-11-29,3088,
2013-11-30,2364,
2013-12-01,1752,
2013-12-02,1884,
2013-12-03,1114,
2013-12-04,2960,
2013-12-05,2336,
2013-12-06,2057,
2013-12-07,2554,
2013-12-08,2273,
2013-12-09,3377,
2013-12-10,3223,
2013-12-11,3412,
2013-12-12,3207,
2013-12-13,3300,
2013-12-14,4657,
2013-12-15,4297,
2013-12-16,3090,
2013-12-17,4217,
2013-12-18,4460,
2013-12-19,3060,
2013-12-20,411,
2013-12-22,359,
2013-12-23,3968,
2013-12-24,2841,
2013-12-25,3138,
2013-12-26,5014,
2013-12-27,1922,
2014-01-03,1727,
2014-01-04,2755,
2014-01-05,3189,
2014-01-06,3757,
2014-01-07,2601,
2014-01-08,2856,
2014-01-09,2888,
2014-01-10,4088,
2014-01-11,3716,
2014-01-12,3473,
2014-01-13,4248,
2014-01-14,4803,
2014-01-15,2667,
2014-01-16,2951,
2014-01-20,1230,
2014-01-21,3089,
2014-01-22,2629,
2014-01-23,2928,
2014-01-24,3142,
2014-01-25,905,
2014-01-27,2158,
2014-01-28,3911,
2014-01-29,1917,
2014-01-30,2190,
2014-01-31,1967,
2014-02-01,3262,
2014-02-02,3934,
2014-02-03,2162,
2014-02-04,1915,
2014-02-05,1415,
2014-02-06,4222,
2014-02-07,4821,
2014-02-08,2747,
2014-02-10,1718,
2014-02-11,4711,
2014-02-12,2906,
2014-02-13,4368,
2014-02-14,4376,
2014-02-15,4181,
2014-02-16,4118,
2014-02-17,3018,
2014-02-19,80,
2014-02-20,3094,
2014-02-21,4176,
2014-02-22,2946,
2014-02-23,4723,
2014-02-24,2076,
2014-02-25,3403,
2014-02-26,1986,
2014-02-27,1520,
2014-02-28,1145,
2014-03-01,2993,
2014-03-02,3691,
2014-03-03,4150,
2014-03-04,4238,
2014-03-05,2641,
2014-03-06,2961,
2014-03-07,1680,
2014-03-09,780,
2014-03-10,4362,
2014-03-11,5528,
2014-03-12,5366,
2014-03-13,6154,
2014-03-14,7312,
2014-03-15,5670,
2014-03-16,4650,
2014-03-17,4732,
2014-03-18,704,
2014-03-21,1509,
2014-03-22,2791,
2014-03-23,2215,
2014-03-24,3603,
2014-03-25,3341,
2014-03-26,2911,
2014-03-27,2861,
2014-03-28,3314,
2014-03-29,2325,
2014-03-30,1861,
2014-03-31,2109,
2014-04-01,3397,
2014-04-02,2058,
2014-04-03,2513,
2014-04-04,2767,
2014-04-05,3752,
2014-04-06,2080,
2014-04-08,1685,
2014-04-09,2710,
2014-04-10,2497,
2014-04-11,1740,
2014-04-14,2212,
2014-04-16,6104,
2014-04-17,20307,
2014-04-18,17440,
2014-04-19,2447,
2014-04-23,4481,
2014-04-24,9095,
2014-04-25,8191,
2014-04-26,9377,
2014-04-27,12777,
2014-04-28,10813,
2014-04-29,25071,
2014-04-30,13395,
2014-05-01,15146,
2014-05-02,14081,
2014-05-03,12416,
2014-05-04,6436,
2014-05-05,8299,
2014-05-06,13656,
2014-05-07,16777,
2014-05-08,17193,
2014-05-09,5991,
2014-05-10,6,
2014-05-11,7,
2014-05-12,8,
2014-05-13,196,
2014-05-14,546,
2014-05-15,20,
2014-05-16,116,
2014-05-17,8,
2014-05-18,4,
2014-05-20,348,
2014-05-22,5098,
2014-05-23,11574,
2014-05-24,12706,
2014-05-25,8723,
2014-05-26,18794,
2014-05-27,20929,
2014-05-28,17368,
2014-05-29,10655,
2014-05-30,9344,
2014-05-31,7151,
2014-06-01,8559,
2014-06-02,10310,
2014-06-03,20938,
2014-06-04,7152,
