Date,Count,Unnamed: 0.1
2013-09-27,1,
2013-09-29,4,
2013-09-30,58,
2013-10-01,3,
2013-10-02,11,
2013-10-04,7,3.0
2013-10-05,1,2.0
2013-10-06,2,1.0
2013-10-07,1,0.0
2013-10-08,2,7.0
2013-10-09,29,6.0
2013-10-10,75,4.0
2013-10-11,17,5.0
2013-10-12,4,
2013-10-13,3,
2013-10-14,1,
2013-10-15,1,
2013-10-19,2,
2013-10-20,1,
2013-10-21,1,
2013-10-22,2,
2013-10-23,2,
2013-10-26,4,
2013-10-29,11,
2013-10-30,2,
2013-10-31,2,
2013-11-01,10,
2013-11-02,7,
2013-11-03,2,
2013-11-04,13,
2013-11-06,10,
2013-11-07,3,
2013-11-08,4,
2013-11-09,1,
2013-11-10,1,
2013-11-11,6,
2013-11-12,46,
2013-11-13,4,
2013-11-14,6,
2013-11-16,10,
2013-11-19,15,
2013-11-20,9,
2013-11-23,3,
2013-11-24,3,
2013-11-25,299,
2013-11-26,3,
2013-11-27,5,
2013-11-28,8,
2013-11-29,5,
2013-11-30,1,
2013-12-02,3,
2013-12-03,2,
2013-12-04,12,
2013-12-05,4,
2013-12-07,1,
2013-12-10,1,
2013-12-11,5,
2013-12-12,18,
2013-12-13,1,
2013-12-14,1,
2013-12-15,1,
2013-12-16,4,
2013-12-17,2,
2013-12-18,1,
2013-12-24,1,
2013-12-25,19,
2013-12-26,5,
2013-12-27,1,
2014-01-03,2,
2014-01-04,1,
2014-01-05,2,
2014-01-06,3,
2014-01-07,5,
2014-01-10,2,
2014-01-11,1,
2014-01-12,2,
2014-01-13,7,
2014-01-14,2,
2014-01-16,3,
2014-01-20,6,
2014-01-21,52,
2014-01-22,1,
2014-01-23,69,
2014-01-24,26,
2014-01-25,14,
2014-01-27,7,
2014-01-28,11,
2014-01-29,22,
2014-01-30,5,
2014-01-31,16,
2014-02-01,13,
2014-02-02,2,
2014-02-03,17,
2014-02-04,3,
2014-02-06,11,
2014-02-07,4,
2014-02-08,1,
2014-02-10,10,
2014-02-11,19,
2014-02-12,5,
2014-02-13,6,
2014-02-14,5,
2014-02-15,28,
2014-02-16,17,
2014-02-17,2,
2014-02-20,2,
2014-02-21,2,
2014-02-22,6,
2014-02-23,2,
2014-02-24,2,
2014-02-25,8,
2014-02-26,4,
2014-02-28,3,
2014-03-01,6,
2014-03-02,1,
2014-03-03,4,
2014-03-04,1,
2014-03-06,2,
2014-03-07,5,
2014-03-10,38,
2014-03-11,32,
2014-03-12,16,
2014-03-13,12,
2014-03-14,32,
2014-03-15,22,
2014-03-17,4,
2014-03-23,39,
2014-03-24,10,
2014-03-25,3,
2014-03-26,3,
2014-03-27,4,
2014-03-28,160,
2014-03-29,4,
2014-03-30,24,
2014-03-31,110,
2014-04-01,5,
2014-04-02,11,
2014-04-03,8,
2014-04-04,13,
2014-04-05,220,
2014-04-06,34,
2014-04-08,98,
2014-04-09,4,
2014-04-10,18,
2014-04-16,53,
2014-04-17,55,
2014-04-18,14,
2014-04-19,28,
2014-04-23,10,
2014-04-24,7,
2014-04-25,6,
2014-04-26,107,
2014-04-27,44,
2014-04-28,40,
2014-04-29,28,
2014-04-30,16,
2014-05-01,13,
2014-05-02,2,
2014-05-03,7,
2014-05-04,5,
2014-05-05,11,
2014-05-06,9,
2014-05-07,13,
2014-05-08,38,
2014-05-09,8,
2014-05-22,2,
2014-05-23,3,
2014-05-24,4,
2014-05-25,43,
2014-05-26,16,
2014-05-27,6,
2014-05-28,4,
2014-05-29,3,
2014-05-30,9,
2014-05-31,176,
2014-06-01,32,
2014-06-02,17,
2014-06-03,20,
2014-06-04,6,
2014-06-06,389,
2014-06-07,422,
2014-06-08,353,
2014-06-09,75,
2014-06-10,48,
2014-06-11,108,
2014-06-12,36,
2014-06-13,32,
2014-06-14,149,
2014-06-15,5,
2014-06-16,1,
2014-06-17,70,
2014-09-16,24,
2014-09-17,26,
2014-09-18,33,
2014-09-19,15,
2014-09-20,2,
2014-09-24,3,
2014-09-25,8,
2014-09-26,3,
2014-09-27,1,
2014-09-28,20,
2014-09-29,10,
2014-09-30,66,
2014-10-01,47,
2014-10-07,4,
2014-10-08,6,
2014-10-09,1,
