Date,Count
2013-09-24,61
2013-09-25,263
2013-09-26,181
2013-09-27,69
2013-09-28,138
2013-09-29,86
2013-09-30,72
2013-10-01,50
2013-10-02,140
2013-10-03,77
2013-10-04,155
2013-10-05,126
2013-10-06,76
2013-10-07,469
2013-10-08,250
2013-10-09,113
2013-10-10,117
2013-10-11,151
2013-10-12,96
2013-10-13,104
2013-10-14,113
2013-10-15,4
2013-10-18,77
2013-10-19,73
2013-10-20,52
2013-10-21,99
2013-10-22,120
2013-10-23,147
2013-10-24,34
2013-10-25,101
2013-10-26,100
2013-10-27,58
2013-10-28,78
2013-10-29,102
2013-10-30,177
2013-10-31,134
2013-11-01,94
2013-11-02,120
2013-11-03,226
2013-11-04,183
2013-11-05,31
2013-11-06,132
2013-11-07,131
2013-11-08,242
2013-11-09,212
2013-11-10,108
2013-11-11,190
2013-11-12,252
2013-11-13,119
2013-11-14,133
2013-11-15,71
2013-11-16,177
2013-11-17,89
2013-11-18,101
2013-11-19,281
2013-11-20,204
2013-11-22,35
2013-11-23,166
2013-11-24,564
2013-11-25,243
2013-11-26,178
2013-11-27,81
2013-11-28,127
2013-11-29,313
2013-11-30,79
2013-12-01,58
2013-12-02,72
2013-12-03,49
2013-12-04,58
2013-12-05,151
2013-12-06,101
2013-12-07,118
2013-12-08,50
2013-12-09,48
2013-12-10,142
2013-12-11,399
2013-12-12,204
2013-12-13,149
2013-12-14,96
2013-12-15,125
2013-12-16,139
2013-12-17,169
2013-12-18,151
2013-12-19,76
2013-12-20,4
2013-12-22,6
2013-12-23,188
2013-12-24,54
2013-12-25,30
2013-12-26,32
2013-12-27,83
2014-01-03,66
2014-01-04,54
2014-01-05,106
2014-01-06,142
2014-01-07,129
2014-01-08,136
2014-01-09,238
2014-01-10,154
2014-01-11,154
2014-01-12,162
2014-01-13,1984
2014-01-14,532
2014-01-15,304
2014-01-16,88
2014-01-20,122
2014-01-21,412
2014-01-22,706
2014-01-23,298
2014-01-24,292
2014-01-25,88
2014-01-27,176
2014-01-28,358
2014-01-29,180
2014-01-30,116
2014-01-31,232
2014-02-01,468
2014-02-02,446
2014-02-03,258
2014-02-04,591
2014-02-05,104
2014-02-06,160
2014-02-07,216
2014-02-08,59
2014-02-10,64
2014-02-11,35
