Date,Count,Unnamed: 0.1
2013-09-24,62,4.0
2013-09-25,37,3.0
2013-09-26,11,
2013-09-30,1,
2013-10-02,12,
2013-10-03,14,
2013-10-08,21,1.0
2013-10-09,1,2.0
2013-10-10,2,0.0
2013-10-11,1,
2013-10-22,1,
2013-10-28,13,
2013-10-29,34,
2013-10-30,39,
2013-10-31,10,
2013-11-01,4,
2013-11-06,17,
2013-11-08,1,
2013-11-10,2,
2013-11-11,1,
2013-11-12,6,
2013-11-15,2,
2013-11-19,29,
2013-11-20,7,
2013-11-28,9,
2013-11-29,3,
2013-11-30,12,
2013-12-04,1,
2013-12-05,12,
2013-12-17,19,
2013-12-23,3,
2013-12-25,9,
2014-01-03,1,
2014-01-04,1,
2014-01-13,11,
2014-01-14,15,
2014-01-15,4,
2014-01-16,12,
2014-01-20,1,
2014-01-23,5,
2014-02-03,8,
2014-02-04,2,
2014-02-10,2,
2014-03-05,9,
2014-03-06,4,
2014-03-17,12,
2014-03-22,1,
2014-03-24,7,
2014-03-25,2,
2014-03-26,7,
2014-03-30,18,
2014-03-31,1,
2014-04-08,6,
2014-04-09,8,
2014-04-17,1,
2014-04-23,5,
2014-04-25,5,
2014-04-26,160,
2014-04-27,10,
2014-04-28,52,
2014-05-05,1,
2014-05-06,12,
2014-05-07,3,
2014-05-08,17,
2014-05-09,23,
2014-05-22,2,
2014-05-23,18,
2014-05-26,16,
2014-05-27,4,
2014-06-05,1,
2014-06-07,1,
2014-06-10,12,
2014-06-11,12,
2014-06-12,18,
2014-09-16,22,
2014-09-18,44,
2014-09-19,40,
2014-09-20,2,
2014-09-25,1,
2014-09-26,2,
2014-09-27,1,
2014-09-28,1,
2014-09-29,1,
2014-09-30,2,
2014-10-07,1,
