Date,Count,Unnamed: 0.1
2013-09-24,286,9.0
2013-09-25,471,8.0
2013-09-26,758,
2013-09-27,275,
2013-09-28,812,
2013-09-29,720,
2013-09-30,761,
2013-10-01,918,
2013-10-02,956,
2013-10-03,500,
2013-10-04,601,3.0
2013-10-05,1255,2.0
2013-10-06,604,1.0
2013-10-07,395,0.0
2013-10-08,552,7.0
2013-10-09,445,6.0
2013-10-10,860,4.0
2013-10-11,1004,5.0
2013-10-12,1005,
2013-10-13,1210,
2013-10-14,1088,
2013-10-15,78,
2013-10-18,684,
2013-10-19,2213,
2013-10-20,1022,
2013-10-21,698,
2013-10-22,1308,
2013-10-23,845,
2013-10-24,166,
2013-10-25,485,
2013-10-26,903,
2013-10-27,633,
2013-10-28,553,
2013-10-29,562,
2013-10-30,5965,
2013-10-31,1212,
2013-11-01,1017,
2013-11-02,567,
2013-11-03,1104,
2013-11-04,1882,
2013-11-05,276,
2013-11-06,1402,
2013-11-07,1276,
2013-11-08,2640,
2013-11-09,560,
2013-11-10,637,
2013-11-11,1046,
2013-11-12,1188,
2013-11-13,675,
2013-11-14,771,
2013-11-15,458,
2013-11-16,1263,
2013-11-17,1270,
2013-11-18,341,
2013-11-19,740,
2013-11-20,1247,
2013-11-22,245,
2013-11-23,829,
2013-11-24,525,
2013-11-25,2474,
2013-11-26,1400,
2013-11-27,1124,
2013-11-28,1153,
2013-11-29,1273,
2013-11-30,1384,
2013-12-01,813,
2013-12-02,1506,
2013-12-03,1527,
2013-12-04,4624,
2013-12-05,5081,
2013-12-06,8465,
2013-12-07,3772,
2013-12-08,3575,
2013-12-09,7260,
2013-12-10,1548,
2013-12-11,2042,
2013-12-12,2616,
2013-12-13,2376,
2013-12-14,2501,
2013-12-15,1728,
2013-12-16,980,
2013-12-17,1572,
2013-12-18,1504,
2013-12-19,2571,
2013-12-20,345,
2013-12-22,62,
2013-12-23,1160,
2013-12-24,1112,
2013-12-25,2988,
2013-12-26,2602,
2013-12-27,882,
2014-01-03,745,
2014-01-04,1871,
2014-01-05,896,
2014-01-06,1068,
2014-01-07,1013,
2014-01-08,978,
2014-01-09,914,
2014-01-10,1269,
2014-01-11,1977,
2014-01-12,780,
2014-01-13,789,
2014-01-14,2158,
2014-01-15,1360,
2014-01-16,1036,
