Date,Count,Unnamed: 0.1
2013-09-25,1,7.0
2013-09-27,1,
2013-09-28,2,
2013-09-30,2,
2013-10-01,4,
2013-10-02,1,
2013-10-03,1,
2013-10-04,8,3.0
2013-10-05,1,2.0
2013-10-06,3,1.0
2013-10-07,4,0.0
2013-10-08,1,6.0
2013-10-09,1,5.0
2013-10-11,3,4.0
2013-10-12,2,
2013-10-13,1,
2013-10-14,1,
2013-10-18,1,
2013-10-19,1,
2013-10-20,3,
2013-10-21,2,
2013-10-22,3,
2013-10-23,1,
2013-10-24,1,
2013-10-25,2,
2013-10-26,1,
2013-10-27,2,
2013-10-28,2,
2013-10-29,3,
2013-10-31,1,
2013-11-02,2,
2013-11-03,1,
2013-11-04,4,
2013-11-06,1,
2013-11-07,6,
2013-11-08,13,
2013-11-09,6,
2013-11-10,2,
2013-11-11,3,
2013-11-12,4,
2013-11-13,2,
2013-11-14,3,
2013-11-16,4,
2013-11-17,2,
2013-11-19,2,
2013-11-24,5,
2013-11-25,3,
2013-11-26,2,
2013-11-27,2,
2013-11-28,3,
2013-11-29,5,
2013-11-30,3,
2013-12-01,8,
2013-12-02,2,
2013-12-05,5,
2013-12-06,5,
2013-12-07,4,
2013-12-08,2,
2013-12-09,2,
2013-12-10,5,
2013-12-11,5,
2013-12-12,1,
2013-12-13,4,
2013-12-14,11,
2013-12-15,9,
2013-12-16,8,
2013-12-17,6,
2013-12-18,2,
2013-12-19,6,
2013-12-23,5,
2013-12-24,4,
2013-12-25,2,
2013-12-26,2,
2013-12-27,3,
2014-01-03,1,
2014-01-04,1,
2014-01-05,3,
2014-01-06,4,
2014-01-07,5,
2014-01-08,4,
2014-01-10,1,
2014-01-12,1,
2014-01-13,3,
2014-01-14,15,
2014-01-15,2,
2014-01-16,1,
2014-01-21,8,
2014-01-22,2,
2014-01-23,3,
2014-01-24,1,
2014-01-27,2,
2014-01-28,3,
2014-01-29,1,
2014-01-30,5,
2014-02-01,2,
2014-02-02,2,
2014-02-04,3,
2014-02-05,1,
2014-02-06,2,
2014-02-07,13,
2014-02-08,4,
2014-02-10,6,
2014-02-11,3,
2014-02-12,8,
2014-02-13,2,
2014-02-14,1,
2014-02-15,1,
2014-02-16,5,
2014-02-19,1,
2014-02-20,2,
2014-02-21,5,
2014-02-22,7,
2014-02-23,3,
2014-02-24,4,
2014-02-25,7,
2014-02-26,8,
2014-02-28,2,
2014-03-01,7,
2014-03-02,2,
2014-03-03,20,
2014-03-04,7,
2014-03-05,6,
2014-03-06,2,
2014-03-07,5,
2014-03-11,4,
2014-03-13,2,
2014-03-14,6,
2014-03-15,22,
2014-03-16,14,
2014-03-17,8,
2014-03-18,1,
2014-03-21,2,
2014-03-22,6,
2014-03-23,7,
2014-03-24,16,
2014-03-25,15,
2014-03-26,13,
2014-03-27,10,
2014-03-28,2,
2014-03-29,1,
2014-03-30,9,
2014-03-31,5,
2014-04-01,1,
2014-04-02,3,
2014-04-03,4,
2014-04-04,1,
2014-04-05,2,
2014-04-06,3,
2014-04-08,2,
2014-04-09,4,
2014-04-10,4,
2014-04-11,2,
2014-04-14,2,
2014-04-16,5,
2014-04-17,23,
2014-04-18,21,
2014-04-19,4,
2014-04-23,174,
2014-04-24,312,
2014-04-25,54,
2014-04-26,168,
2014-04-27,120,
2014-04-28,23,
2014-04-29,81,
2014-04-30,55,
2014-05-01,16,
2014-05-02,18,
2014-05-03,9,
2014-05-04,13,
2014-05-05,20,
2014-05-06,8,
2014-05-07,16,
2014-05-08,5,
2014-05-09,29,
2014-05-20,5,
2014-05-22,3,
2014-05-23,14,
2014-05-24,9,
2014-05-25,23,
2014-05-26,10,
2014-05-27,8,
2014-05-28,17,
2014-05-29,17,
2014-05-30,4,
2014-05-31,9,
2014-06-01,2,
2014-06-02,4,
2014-06-03,57,
2014-06-04,4,
2014-06-06,11,
2014-06-07,7,
2014-06-08,10,
2014-06-09,23,
2014-06-10,32,
2014-06-11,88,
2014-06-12,44,
2014-06-13,34,
2014-06-14,15,
2014-06-15,11,
2014-06-16,1,
2014-09-15,13,
2014-09-16,8,
2014-09-17,23,
2014-09-18,7,
2014-09-19,21,
2014-09-20,2,
2014-09-23,2,
2014-09-24,1,
2014-09-25,13,
2014-09-26,10,
2014-09-27,28,
2014-09-28,35,
2014-09-29,7,
2014-09-30,16,
2014-10-01,20,
2014-10-07,1,
2014-10-08,6,
2014-10-09,2,
