Date,Count,Unnamed: 0.1
2013-09-24,2,8.0
2013-09-25,3,
2013-09-26,5,
2013-09-27,4,
2013-09-28,5,
2013-09-29,8,
2013-09-30,23,
2013-10-01,21,
2013-10-02,7,
2013-10-03,2,
2013-10-04,5,3.0
2013-10-05,6,2.0
2013-10-06,8,1.0
2013-10-07,2,0.0
2013-10-08,5,7.0
2013-10-09,2,6.0
2013-10-10,3,4.0
2013-10-11,18,5.0
2013-10-12,14,
2013-10-13,34,
2013-10-14,32,
2013-10-15,1,
2013-10-18,10,
2013-10-20,3,
2013-10-21,1,
2013-10-22,1,
2013-10-23,1,
2013-10-24,3,
2013-10-25,1,
2013-10-26,4,
2013-10-28,3,
2013-10-29,5,
2013-10-30,12,
2013-10-31,4,
2013-11-02,7,
2013-11-03,3,
2013-11-04,13,
2013-11-06,8,
2013-11-07,7,
2013-11-08,12,
2013-11-09,5,
2013-11-10,5,
2013-11-11,2,
2013-11-12,2,
2013-11-13,19,
2013-11-14,8,
2013-11-15,4,
2013-11-16,3,
2013-11-19,2,
2013-11-20,1,
2013-11-23,1,
2013-11-24,6,
2013-11-25,1,
2013-11-27,1,
2013-11-28,5,
2013-11-29,2,
2013-11-30,7,
2013-12-01,1,
2013-12-02,2,
2013-12-04,4,
2013-12-05,2,
2013-12-06,1,
2013-12-07,3,
2013-12-09,1,
2013-12-10,2,
2013-12-12,2,
2013-12-13,1,
2013-12-15,8,
2013-12-18,1,
2013-12-19,1,
2013-12-23,11,
2013-12-24,7,
2013-12-26,7,
2013-12-27,2,
2014-01-05,1,
2014-01-06,3,
2014-01-07,5,
2014-01-08,4,
2014-01-09,1,
2014-01-10,27,
2014-01-11,18,
2014-01-12,6,
2014-01-13,5,
2014-01-14,5,
2014-01-15,3,
2014-01-16,12,
2014-01-20,1,
2014-01-21,4,
2014-01-22,5,
2014-01-23,4,
2014-01-24,11,
2014-01-25,3,
2014-01-27,1,
2014-01-28,6,
2014-01-29,5,
2014-01-30,2,
2014-01-31,7,
2014-02-01,5,
2014-02-02,2,
2014-02-03,3,
2014-02-04,1,
2014-02-05,7,
2014-02-06,2,
2014-02-08,7,
2014-02-10,4,
2014-02-11,6,
2014-02-12,2,
2014-02-13,1,
2014-02-14,5,
2014-02-16,1,
2014-02-20,9,
2014-02-21,2,
2014-02-22,3,
2014-02-24,1,
2014-02-25,1,
2014-02-26,2,
2014-02-28,1,
2014-03-01,1,
2014-03-03,3,
2014-03-04,2,
2014-03-05,3,
2014-03-06,10,
2014-03-07,12,
2014-03-10,12,
2014-03-11,24,
2014-03-12,6,
2014-03-13,12,
2014-03-14,3,
2014-03-15,24,
2014-03-16,6,
2014-03-17,6,
2014-03-18,4,
2014-03-21,3,
2014-03-22,9,
2014-03-23,2,
2014-03-24,1,
2014-03-26,1,
2014-03-27,2,
2014-03-30,1,
2014-03-31,8,
2014-04-01,2,
2014-04-02,1,
2014-04-03,1,
2014-04-04,1,
2014-04-05,7,
2014-04-08,2,
2014-04-09,4,
2014-04-10,1,
2014-04-11,2,
2014-04-16,4,
2014-04-18,13,
2014-04-19,1,
2014-04-23,12,
2014-04-24,1,
2014-04-25,11,
2014-04-26,9,
2014-04-27,3,
2014-04-28,5,
2014-04-30,5,
2014-05-01,18,
2014-05-02,2,
2014-05-03,12,
2014-05-04,21,
2014-05-05,8,
2014-05-06,3,
2014-05-07,4,
2014-05-08,3,
2014-05-09,17,
2014-05-16,4,
2014-05-20,3,
2014-05-22,4,
2014-05-23,13,
2014-05-24,6,
2014-05-25,4,
2014-05-26,17,
2014-05-27,3,
2014-05-28,1,
2014-05-29,1,
2014-05-30,24,
2014-05-31,1,
2014-06-01,1,
2014-06-02,9,
2014-06-03,12,
2014-06-04,13,
2014-06-05,10,
2014-06-06,22,
2014-06-07,10,
2014-06-08,7,
2014-06-09,14,
2014-06-10,290,
2014-06-11,52,
2014-06-12,48,
2014-06-13,4,
2014-06-14,6,
2014-06-15,1,
2014-06-17,1,
2014-09-15,2,
2014-09-16,12,
2014-09-17,12,
2014-09-18,36,
2014-09-19,13,
2014-09-20,1,
2014-09-23,7,
2014-09-24,8,
2014-09-25,4,
2014-09-26,10,
2014-09-27,10,
2014-09-28,10,
2014-09-29,6,
2014-09-30,7,
2014-10-01,6,
2014-10-07,15,
2014-10-08,4,
2014-10-09,5,
