Date,Count
2013-09-26,1
2013-09-27,3
2013-09-28,1
2013-09-29,1
2013-09-30,4
2013-10-02,3
2013-10-04,2
2013-10-05,7
2013-10-06,3
2013-10-11,2
2013-10-14,1
2013-10-19,1
2013-10-25,14
2013-10-28,1
2013-10-29,1
2013-10-31,11
2013-11-01,1
2013-11-04,1
2013-11-05,1
2013-11-06,3
2013-11-09,5
2013-11-10,2
2013-11-11,1
2013-11-27,2
2013-11-28,3
2013-11-29,1
2013-12-01,4
2013-12-04,12
2013-12-05,2
2013-12-06,3
2013-12-08,1
2013-12-09,1
2013-12-18,1
2013-12-22,1
2013-12-24,1
2014-01-05,5
2014-01-06,6
2014-01-07,3
2014-02-03,3
2014-02-04,3
2014-02-06,1
2014-02-10,7
2014-02-11,2
