Date,Count,Unnamed: 0.1
2013-09-24,20,7.0
2013-09-25,3,6.0
2013-09-26,1,
2013-09-28,2,
2013-09-29,1,
2013-09-30,1,
2013-10-02,2,
2013-10-04,2,2.0
2013-10-07,2,0.0
2013-10-08,3,5.0
2013-10-09,3,4.0
2013-10-10,13,1.0
2013-10-11,10,3.0
2013-10-12,2,
2013-10-13,3,
2013-10-14,4,
2013-10-18,4,
2013-10-19,3,
2013-10-20,4,
2013-10-21,3,
2013-10-22,1,
2013-10-23,3,
2013-10-24,1,
2013-10-26,4,
2013-10-28,1,
2013-10-29,5,
2013-10-30,2,
2013-11-02,4,
2013-11-03,1,
2013-11-04,1,
2013-11-07,1,
2013-11-08,3,
2013-11-09,1,
2013-11-10,1,
2013-11-11,1,
2013-11-13,3,
2013-11-14,5,
2013-11-15,1,
2013-11-16,3,
2013-11-17,1,
2013-11-19,18,
2013-11-20,7,
2013-11-22,2,
2013-11-23,1,
2013-11-24,4,
2013-11-25,5,
2013-11-26,3,
2013-11-27,1,
2013-11-28,2,
2013-11-29,4,
2013-12-04,2,
2013-12-05,2,
2013-12-06,3,
2013-12-07,2,
2013-12-08,1,
2013-12-10,1,
2013-12-11,3,
2013-12-12,3,
2013-12-15,1,
2013-12-16,1,
2013-12-17,2,
2013-12-18,2,
2013-12-19,1,
2013-12-23,2,
2014-01-03,1,
2014-01-06,1,
2014-01-07,3,
2014-01-09,1,
2014-01-13,1,
2014-01-15,1,
2014-01-16,1,
2014-01-21,2,
2014-01-22,2,
2014-01-27,2,
2014-01-28,2,
2014-01-29,2,
2014-01-30,23,
2014-01-31,5,
2014-02-01,1,
2014-02-02,2,
2014-02-03,3,
2014-02-05,2,
2014-02-06,24,
2014-02-07,2,
2014-02-08,4,
2014-02-10,3,
2014-02-11,2,
2014-02-14,1,
2014-02-15,1,
2014-02-16,7,
2014-02-17,1,
2014-02-20,2,
2014-02-21,13,
2014-02-22,11,
2014-02-23,1,
2014-02-24,1,
2014-02-25,5,
2014-02-27,1,
2014-03-02,1,
2014-03-03,1,
2014-03-06,4,
2014-03-07,12,
2014-03-10,3,
2014-03-11,6,
2014-03-13,12,
2014-03-14,9,
2014-03-15,21,
2014-03-16,6,
2014-03-17,15,
2014-03-21,1,
2014-03-23,3,
2014-03-24,2,
2014-03-25,3,
2014-03-26,2,
2014-03-27,2,
2014-03-30,2,
2014-03-31,4,
2014-04-01,3,
2014-04-06,2,
2014-04-09,1,
2014-04-10,22,
2014-04-11,4,
2014-04-16,28,
2014-04-17,10,
2014-04-18,27,
2014-04-23,19,
2014-04-24,24,
2014-04-25,12,
2014-04-26,9,
2014-04-27,21,
2014-04-28,5,
2014-04-29,9,
2014-04-30,4,
2014-05-01,9,
2014-05-02,9,
2014-05-03,2,
2014-05-04,5,
2014-05-05,5,
2014-05-06,11,
2014-05-07,2,
2014-05-08,1,
2014-05-20,1,
2014-05-22,6,
2014-05-23,7,
2014-05-24,3,
2014-05-25,1,
2014-05-26,7,
2014-05-27,7,
2014-05-28,3,
2014-05-29,8,
2014-05-30,4,
2014-05-31,6,
2014-06-01,12,
2014-06-02,1,
2014-06-03,2,
2014-06-04,1,
2014-06-05,5,
2014-06-06,11,
2014-06-07,3,
2014-06-08,6,
2014-06-09,18,
2014-06-10,12,
2014-06-11,56,
2014-06-12,32,
2014-06-13,5,
2014-06-14,4,
2014-06-15,1,
2014-06-16,1,
2014-09-15,4,
2014-09-16,5,
2014-09-17,4,
2014-09-18,22,
2014-09-19,1,
2014-09-23,19,
2014-09-24,3,
2014-09-25,13,
2014-09-26,4,
2014-09-27,2,
2014-09-28,11,
2014-09-29,9,
2014-09-30,3,
2014-10-07,10,
2014-10-08,14,
2014-10-09,48,
2014-10-10,30,
2014-10-11,28,
2014-10-14,4,
2014-10-15,15,
2014-10-16,12,
2014-10-17,16,
2014-10-18,6,
2014-10-19,2,
2014-10-21,1,
2014-10-22,8,
2014-10-23,1,
2014-10-24,6,
2014-10-25,4,
2014-10-26,4,
2014-10-27,11,
2014-10-28,22,
2014-10-29,4,
