Date,Count,Unnamed: 0.1
2013-09-24,14,9.0
2013-09-25,7,8.0
2013-09-26,10,
2013-09-27,3,
2013-09-28,15,
2013-09-29,157,
2013-09-30,7,
2013-10-01,4,
2013-10-02,6,
2013-10-03,9,
2013-10-04,9,3.0
2013-10-05,60,2.0
2013-10-06,8,1.0
2013-10-07,7,0.0
2013-10-08,13,7.0
2013-10-09,14,6.0
2013-10-10,11,4.0
2013-10-11,13,5.0
2013-10-12,11,
2013-10-13,12,
2013-10-14,31,
2013-10-15,1,
2013-10-18,14,
2013-10-19,15,
2013-10-20,30,
2013-10-21,9,
2013-10-22,6,
2013-10-23,11,
2013-10-24,1,
2013-10-25,7,
2013-10-26,17,
2013-10-27,7,
2013-10-28,8,
2013-10-29,9,
2013-10-30,3,
2013-10-31,6,
2013-11-01,28,
2013-11-02,29,
2013-11-03,4,
2013-11-04,15,
2013-11-05,5,
2013-11-06,3,
2013-11-07,11,
2013-11-08,6,
2013-11-09,14,
2013-11-10,10,
2013-11-11,13,
2013-11-12,3,
2013-11-13,7,
2013-11-14,21,
2013-11-15,6,
2013-11-16,9,
2013-11-17,5,
2013-11-19,3,
2013-11-20,13,
2013-11-22,3,
2013-11-23,8,
2013-11-24,11,
2013-11-25,8,
2013-11-26,9,
2013-11-27,6,
2013-11-28,6,
2013-11-29,8,
2013-11-30,10,
2013-12-01,10,
2013-12-02,6,
2013-12-03,8,
2013-12-04,11,
2013-12-05,9,
2013-12-06,8,
2013-12-07,17,
2013-12-08,7,
2013-12-09,7,
2013-12-10,32,
2013-12-11,12,
2013-12-12,11,
2013-12-13,9,
2013-12-14,10,
2013-12-15,13,
2013-12-16,10,
2013-12-17,30,
2013-12-18,12,
2013-12-19,6,
2013-12-23,8,
2013-12-24,3,
2013-12-25,11,
2013-12-26,10,
2013-12-27,2,
2014-01-03,5,
2014-01-04,8,
2014-01-05,27,
2014-01-06,10,
2014-01-07,12,
2014-01-08,5,
2014-01-09,14,
2014-01-10,7,
2014-01-11,1,
2014-01-12,5,
2014-01-13,7,
2014-01-14,6,
2014-01-15,10,
2014-01-16,9,
2014-01-20,4,
2014-01-21,3,
2014-01-22,3,
2014-01-23,7,
2014-01-24,5,
2014-01-25,1,
2014-01-27,4,
2014-01-28,7,
2014-01-29,9,
2014-01-30,7,
2014-01-31,6,
2014-02-01,15,
2014-02-02,5,
2014-02-03,2,
2014-02-04,5,
2014-02-05,7,
2014-02-06,6,
2014-02-07,12,
2014-02-08,6,
2014-02-11,85,
2014-02-12,5,
2014-02-13,9,
2014-02-14,10,
2014-02-15,6,
2014-02-16,4,
2014-02-17,8,
2014-02-20,3,
2014-02-21,4,
2014-02-22,10,
2014-02-23,4,
2014-02-24,5,
2014-02-25,7,
2014-02-26,1,
2014-02-27,2,
2014-02-28,1,
2014-03-01,6,
2014-03-02,23,
2014-03-03,6,
2014-03-04,19,
2014-03-05,8,
2014-03-06,4,
2014-03-07,5,
2014-03-09,4,
2014-03-10,6,
2014-03-11,16,
2014-03-12,20,
2014-03-13,26,
2014-03-14,12,
2014-03-15,8,
2014-03-16,6,
2014-03-17,10,
2014-03-18,2,
2014-03-21,4,
2014-03-22,5,
2014-03-23,5,
2014-03-24,10,
2014-03-25,8,
2014-03-26,4,
2014-03-27,9,
2014-03-28,8,
2014-03-29,7,
2014-03-30,6,
2014-03-31,4,
2014-04-01,3,
2014-04-02,10,
2014-04-03,18,
2014-04-04,10,
2014-04-05,3,
2014-04-06,4,
2014-04-08,3,
2014-04-09,6,
2014-04-10,4,
2014-04-11,3,
2014-04-14,14,
2014-04-16,11,
2014-04-17,47,
2014-04-18,70,
2014-04-19,5,
2014-04-23,23,
2014-04-24,39,
2014-04-25,27,
2014-04-26,53,
2014-04-27,85,
2014-04-28,19,
2014-04-29,25,
2014-04-30,28,
2014-05-01,36,
2014-05-02,35,
2014-05-03,55,
2014-05-04,24,
2014-05-05,51,
2014-05-06,28,
2014-05-07,32,
2014-05-08,36,
2014-05-09,18,
2014-05-16,2,
2014-05-20,3,
2014-05-22,15,
2014-05-23,69,
2014-05-24,77,
2014-05-25,32,
2014-05-26,44,
2014-05-27,52,
2014-05-28,52,
2014-05-29,51,
2014-05-30,56,
2014-05-31,47,
2014-06-01,56,
2014-06-02,34,
2014-06-03,61,
2014-06-04,16,
2014-06-05,9,
2014-06-06,25,
2014-06-07,44,
2014-06-08,29,
2014-06-09,32,
2014-06-10,44,
2014-06-11,118,
2014-06-12,52,
2014-06-13,83,
2014-06-14,56,
2014-06-15,26,
2014-06-16,5,
2014-06-17,8,
2014-09-15,26,
2014-09-16,34,
2014-09-17,40,
2014-09-18,22,
2014-09-19,48,
2014-09-20,5,
2014-09-23,16,
2014-09-24,24,
2014-09-25,44,
2014-09-26,55,
2014-09-27,50,
2014-09-28,37,
2014-09-29,24,
2014-09-30,28,
2014-10-01,14,
2014-10-07,9,
2014-10-08,68,
2014-10-09,45,
