Date,Count,Unnamed: 0.1
2013-09-25,1,7.0
2013-09-26,5,
2013-09-27,9,
2013-09-28,5,
2013-09-29,2,
2013-09-30,6,
2013-10-01,9,
2013-10-02,8,
2013-10-03,3,
2013-10-04,25,3.0
2013-10-05,9,2.0
2013-10-06,10,1.0
2013-10-07,9,0.0
2013-10-08,9,6.0
2013-10-09,11,5.0
2013-10-10,14,4.0
2013-10-11,1,
2013-10-12,3,
2013-10-13,1,
2013-10-14,1,
2013-10-18,2,
2013-10-19,7,
2013-10-20,7,
2013-10-21,5,
2013-10-22,5,
2013-10-23,4,
2013-10-24,1,
2013-10-25,11,
2013-10-26,4,
2013-10-27,6,
2013-10-28,2,
2013-10-29,6,
2013-10-30,18,
2013-10-31,14,
2013-11-01,4,
2013-11-02,7,
2013-11-03,6,
2013-11-04,15,
2013-11-05,1,
2013-11-06,3,
2013-11-07,1,
2013-11-08,4,
2013-11-09,7,
2013-11-10,10,
2013-11-11,3,
2013-11-12,7,
2013-11-13,23,
2013-11-14,5,
2013-11-15,3,
2013-11-16,1,
2013-11-17,55,
2013-11-19,1,
2013-11-20,9,
2013-11-22,5,
2013-11-23,6,
2013-11-24,10,
2013-11-25,79,
2013-11-26,28,
2013-11-27,7,
2013-11-28,7,
2013-11-29,15,
2013-11-30,8,
2013-12-01,6,
2013-12-02,11,
2013-12-03,6,
2013-12-04,8,
2013-12-05,9,
2013-12-06,2,
2013-12-07,5,
2013-12-08,2,
2013-12-09,5,
2013-12-10,8,
2013-12-11,31,
2013-12-12,18,
2013-12-13,4,
2013-12-14,4,
2013-12-15,9,
2013-12-16,24,
2013-12-17,11,
2013-12-18,4,
2013-12-19,14,
2013-12-23,4,
2013-12-24,9,
2013-12-25,6,
2013-12-26,6,
2013-12-27,4,
2014-01-03,3,
2014-01-04,5,
2014-01-05,9,
2014-01-06,9,
2014-01-07,8,
2014-01-08,5,
2014-01-09,4,
2014-01-10,6,
2014-01-11,4,
2014-01-12,120,
2014-01-13,11,
2014-01-14,16,
2014-01-15,15,
2014-01-16,26,
2014-01-20,10,
2014-01-21,9,
2014-01-22,11,
2014-01-23,54,
2014-01-24,14,
2014-01-25,2,
2014-01-27,4,
2014-01-28,8,
2014-01-29,12,
2014-01-30,7,
2014-01-31,9,
2014-02-01,7,
2014-02-02,8,
2014-02-03,20,
2014-02-04,17,
2014-02-05,3,
2014-02-06,7,
2014-02-07,12,
2014-02-08,5,
2014-02-10,11,
2014-02-11,71,
2014-02-12,6,
2014-02-13,8,
2014-02-14,13,
2014-02-15,15,
2014-02-16,3,
2014-02-17,10,
2014-02-19,9,
2014-02-20,28,
2014-02-21,132,
2014-02-22,80,
2014-02-23,41,
2014-02-24,169,
2014-02-25,99,
2014-02-26,17,
2014-02-27,6,
2014-02-28,8,
2014-03-01,11,
2014-03-02,28,
2014-03-03,11,
2014-03-04,20,
2014-03-05,15,
2014-03-06,44,
2014-03-07,24,
2014-03-09,4,
2014-03-10,74,
2014-03-11,34,
2014-03-12,16,
2014-03-13,80,
2014-03-14,24,
2014-03-15,292,
2014-03-16,284,
2014-03-17,852,
2014-03-18,38,
2014-03-21,41,
2014-03-22,25,
2014-03-23,28,
2014-03-24,34,
2014-03-25,17,
2014-03-26,78,
2014-03-27,26,
2014-03-28,41,
2014-03-29,15,
2014-03-30,20,
2014-03-31,21,
2014-04-01,10,
2014-04-02,6,
2014-04-03,8,
2014-04-04,7,
2014-04-05,15,
2014-04-06,4,
2014-04-08,13,
2014-04-09,32,
2014-04-10,19,
2014-04-11,7,
2014-04-14,6,
2014-04-16,25,
2014-04-17,60,
2014-04-18,50,
2014-04-19,8,
2014-04-23,23,
2014-04-24,68,
2014-04-25,72,
2014-04-26,76,
2014-04-27,30,
2014-04-28,42,
2014-04-29,49,
2014-04-30,220,
2014-05-01,861,
2014-05-02,116,
2014-05-03,81,
2014-05-04,256,
2014-05-05,163,
2014-05-06,67,
2014-05-07,306,
2014-05-08,150,
2014-05-09,48,
2014-05-20,3,
2014-05-22,34,
2014-05-23,194,
2014-05-24,71,
2014-05-25,65,
2014-05-26,72,
2014-05-27,40,
2014-05-28,169,
2014-05-29,36,
2014-05-30,41,
2014-05-31,42,
2014-06-01,39,
2014-06-02,50,
2014-06-03,24,
2014-06-04,9,
2014-06-05,23,
2014-06-06,48,
2014-06-07,44,
2014-06-08,118,
2014-06-09,243,
2014-06-10,94,
2014-06-11,98,
2014-06-12,172,
2014-06-13,61,
2014-06-14,70,
2014-06-15,102,
2014-06-16,20,
2014-06-17,2,
2014-06-18,1,
2014-09-15,211,
2014-09-16,344,
2014-09-17,218,
2014-09-18,90,
2014-09-19,91,
2014-09-20,37,
2014-09-23,88,
2014-09-24,68,
2014-09-25,75,
2014-09-26,42,
2014-09-27,78,
2014-09-28,40,
2014-09-29,73,
2014-09-30,173,
2014-10-01,139,
2014-10-07,27,
2014-10-08,120,
2014-10-09,35,
