Date,Count,Unnamed: 0.1
2013-09-24,2,8.0
2013-09-25,2,7.0
2013-09-28,2,
2013-09-29,2,
2013-10-02,1,
2013-10-05,1,2.0
2013-10-06,2,1.0
2013-10-07,4,0.0
2013-10-08,7,6.0
2013-10-09,4,5.0
2013-10-10,6,3.0
2013-10-11,2,4.0
2013-10-12,2,
2013-10-13,7,
2013-10-14,2,
2013-10-18,2,
2013-10-19,1,
2013-10-20,8,
2013-10-21,1,
2013-10-22,4,
2013-10-23,1,
2013-10-24,2,
2013-10-25,4,
2013-10-27,1,
2013-10-28,1,
2013-10-29,6,
2013-10-30,1,
2013-10-31,2,
2013-11-01,1,
2013-11-02,1,
2013-11-03,4,
2013-11-04,2,
2013-11-05,3,
2013-11-09,2,
2013-11-11,6,
2013-11-13,1,
2013-11-14,2,
2013-11-15,2,
2013-11-16,2,
2013-11-18,1,
2013-11-19,1,
2013-11-20,1,
2013-11-23,4,
2013-11-24,2,
2013-11-25,2,
2013-11-26,2,
2013-11-27,5,
2013-11-28,18,
2013-11-29,3,
2013-11-30,1,
2013-12-01,1,
2013-12-03,2,
2013-12-04,2,
2013-12-06,2,
2013-12-07,8,
2013-12-08,3,
2013-12-09,1,
2013-12-10,2,
2013-12-11,2,
2013-12-12,1,
2013-12-13,5,
2013-12-14,2,
2013-12-15,6,
2013-12-16,2,
2013-12-17,8,
2013-12-18,3,
2013-12-19,3,
2013-12-23,1,
2013-12-24,1,
2013-12-26,2,
2013-12-27,1,
2014-01-03,2,
2014-01-04,3,
2014-01-05,1,
2014-01-06,3,
2014-01-07,10,
2014-01-08,24,
2014-01-09,4,
2014-01-10,114,
2014-01-11,26,
2014-01-12,3,
2014-01-14,2,
2014-01-15,6,
2014-01-20,2,
2014-01-21,1,
2014-01-22,1,
2014-01-23,3,
2014-01-24,8,
2014-01-25,1,
2014-01-28,2,
2014-01-30,1,
2014-01-31,2,
2014-02-01,1,
2014-02-03,3,
2014-02-04,1,
2014-02-05,1,
2014-02-07,1,
2014-02-11,6,
2014-02-13,2,
2014-02-14,2,
2014-02-15,3,
2014-02-16,1,
2014-02-19,1,
2014-02-20,4,
2014-02-21,1,
2014-02-22,5,
2014-02-23,2,
2014-02-24,1,
2014-02-25,2,
2014-02-26,3,
2014-02-28,1,
2014-03-02,1,
2014-03-04,2,
2014-03-10,4,
2014-03-11,4,
2014-03-12,2,
2014-03-14,12,
2014-03-15,4,
2014-03-17,12,
2014-03-22,1,
2014-03-25,2,
2014-03-29,6,
2014-03-31,1,
2014-04-01,2,
2014-04-02,1,
2014-04-03,3,
2014-04-04,2,
2014-04-06,2,
2014-04-08,2,
2014-04-09,3,
2014-04-10,1,
2014-04-16,5,
2014-04-17,7,
2014-04-18,37,
2014-04-19,18,
2014-04-23,5,
2014-04-24,39,
2014-04-25,12,
2014-04-26,27,
2014-04-27,27,
2014-04-28,21,
2014-04-29,9,
2014-04-30,4,
2014-05-01,13,
2014-05-02,17,
2014-05-03,12,
2014-05-04,25,
2014-05-05,19,
2014-05-06,23,
2014-05-07,20,
2014-05-08,20,
2014-05-09,4,
2014-05-20,2,
2014-05-22,6,
2014-05-23,17,
2014-05-24,15,
2014-05-25,40,
2014-05-26,40,
2014-05-27,15,
2014-05-28,19,
2014-05-29,22,
2014-05-30,34,
2014-05-31,28,
2014-06-01,14,
2014-06-02,17,
2014-06-03,21,
2014-06-04,14,
2014-06-05,1,
2014-06-06,17,
2014-06-07,33,
2014-06-08,22,
2014-06-09,56,
2014-06-10,92,
2014-06-11,68,
2014-06-12,120,
2014-06-13,34,
2014-06-14,11,
2014-06-15,10,
2014-06-16,2,
2014-09-15,33,
2014-09-16,11,
2014-09-17,13,
2014-09-18,6,
2014-09-19,4,
2014-09-21,1,
2014-09-23,5,
2014-09-24,5,
2014-09-25,2,
2014-09-26,6,
2014-09-27,3,
2014-09-28,5,
2014-09-29,5,
2014-09-30,6,
2014-10-01,1,
2014-10-07,2,
2014-10-08,4,
2014-10-09,13,
2014-10-10,8,
2014-10-11,10,
2014-10-14,1,
2014-10-15,54,
2014-10-16,50,
2014-10-17,88,
2014-10-18,7,
2014-10-19,3,
2014-10-21,22,
2014-10-22,16,
2014-10-23,8,
2014-10-24,3,
2014-10-25,1,
2014-10-26,2,
2014-10-27,9,
2014-10-28,8,
2014-10-29,2,
