Date,Count,Unnamed: 0.1
2013-09-24,3,5.0
2013-09-25,3,4.0
2013-09-27,1,
2013-09-28,4,
2013-09-30,3,
2013-10-04,2,2.0
2013-10-05,1,1.0
2013-10-06,1,0.0
2013-10-08,1,3.0
2013-10-12,1,
2013-10-13,2,
2013-10-14,1,
2013-10-19,2,
2013-10-21,1,
2013-10-22,4,
2013-10-23,1,
2013-10-25,1,
2013-10-27,2,
2013-10-29,2,
2013-10-30,2,
2013-11-02,2,
2013-11-04,1,
2013-11-05,1,
2013-11-07,1,
2013-11-09,3,
2013-11-12,1,
2013-11-14,1,
2013-11-22,1,
2013-11-23,4,
2013-11-24,7,
2013-11-26,1,
2013-11-28,1,
2013-11-30,3,
2013-12-01,7,
2013-12-02,2,
2013-12-03,2,
2013-12-05,1,
2013-12-06,3,
2013-12-07,31,
2013-12-08,15,
2013-12-10,4,
2013-12-13,1,
2013-12-16,5,
2013-12-17,1,
2013-12-19,1,
2013-12-23,1,
2013-12-24,1,
2014-01-03,1,
2014-01-04,1,
2014-01-05,1,
2014-01-08,3,
2014-01-10,2,
2014-01-11,5,
2014-01-12,1,
2014-01-14,2,
2014-01-21,1,
2014-01-27,1,
2014-01-28,2,
2014-01-30,2,
2014-01-31,7,
2014-02-01,8,
2014-02-03,4,
2014-02-12,1,
2014-02-13,9,
2014-02-14,1,
2014-02-15,1,
2014-02-16,1,
2014-02-21,2,
2014-03-01,1,
2014-03-02,1,
2014-03-04,1,
2014-03-06,1,
2014-03-07,2,
2014-03-11,6,
2014-03-12,6,
2014-03-13,2,
2014-03-14,12,
2014-03-15,4,
2014-03-16,2,
2014-03-17,2,
2014-03-18,1,
2014-03-23,1,
2014-03-25,1,
2014-03-27,2,
2014-03-31,1,
2014-04-01,1,
2014-04-02,2,
2014-04-04,8,
2014-04-08,1,
2014-04-10,2,
2014-04-17,12,
2014-04-18,4,
2014-04-24,2,
2014-04-25,6,
2014-04-26,6,
2014-04-27,9,
2014-04-28,28,
2014-04-29,1,
2014-04-30,5,
2014-05-01,3,
2014-05-04,1,
2014-05-05,1,
2014-05-06,4,
2014-05-07,7,
2014-05-08,1,
2014-05-09,7,
2014-05-23,2,
2014-05-27,1,
2014-05-28,3,
2014-05-29,1,
2014-05-30,2,
2014-06-01,4,
2014-06-02,2,
2014-06-03,2,
2014-06-06,1,
2014-06-07,6,
2014-06-08,2,
2014-06-09,48,
2014-06-10,8,
2014-06-11,88,
2014-06-12,52,
2014-06-13,16,
2014-06-14,2,
2014-06-15,2,
2014-09-15,3,
2014-09-16,1,
2014-09-17,2,
2014-09-18,7,
2014-09-19,8,
2014-09-20,8,
2014-09-23,3,
2014-09-24,2,
2014-09-25,2,
2014-09-26,8,
2014-09-27,5,
2014-09-28,1,
2014-09-29,35,
2014-09-30,15,
2014-10-01,13,
2014-10-07,2,
2014-10-08,4,
