Date,Count,Unnamed: 0.1
2013-09-24,2,9.0
2013-09-25,5,8.0
2013-09-26,16,
2013-09-27,5,
2013-09-28,20,
2013-09-29,22,
2013-09-30,9,
2013-10-01,1,
2013-10-02,3,
2013-10-03,4,
2013-10-04,1,3.0
2013-10-05,6,2.0
2013-10-06,7,1.0
2013-10-07,8,0.0
2013-10-08,2,7.0
2013-10-09,4,6.0
2013-10-10,12,4.0
2013-10-11,10,5.0
2013-10-12,6,
2013-10-13,13,
2013-10-14,5,
2013-10-15,1,
2013-10-18,3,
2013-10-19,12,
2013-10-20,12,
2013-10-21,2,
2013-10-22,7,
2013-10-23,6,
2013-10-24,3,
2013-10-26,10,
2013-10-27,6,
2013-10-28,15,
2013-10-29,4,
2013-10-30,6,
2013-10-31,18,
2013-11-01,15,
2013-11-02,8,
2013-11-03,5,
2013-11-04,9,
2013-11-05,7,
2013-11-06,9,
2013-11-07,6,
2013-11-08,2,
2013-11-09,14,
2013-11-10,30,
2013-11-11,6,
2013-11-12,10,
2013-11-13,3,
2013-11-14,2,
2013-11-15,3,
2013-11-16,3,
2013-11-17,1,
2013-11-19,3,
2013-11-20,10,
2013-11-22,1,
2013-11-23,5,
2013-11-24,4,
2013-11-25,3,
2013-11-26,4,
2013-11-27,2,
2013-11-28,13,
2013-11-29,4,
2013-11-30,7,
2013-12-01,2,
2013-12-02,4,
2013-12-03,3,
2013-12-04,7,
2013-12-05,4,
2013-12-06,2,
2013-12-07,6,
2013-12-08,9,
2013-12-09,7,
2013-12-10,4,
2013-12-11,2,
2013-12-12,3,
2013-12-13,5,
2013-12-14,5,
2013-12-15,2,
2013-12-16,2,
2013-12-17,4,
2013-12-18,9,
2013-12-19,4,
2013-12-20,4,
2013-12-23,2,
2013-12-24,7,
2013-12-25,7,
2013-12-26,11,
2013-12-27,2,
2014-01-03,5,
2014-01-04,8,
2014-01-05,9,
2014-01-06,4,
2014-01-07,13,
2014-01-08,15,
2014-01-09,96,
2014-01-10,65,
2014-01-11,9,
2014-01-12,11,
2014-01-13,7,
2014-01-14,3,
2014-01-15,7,
2014-01-16,6,
2014-01-20,9,
2014-01-21,8,
2014-01-22,6,
2014-01-23,8,
2014-01-24,10,
2014-01-25,2,
2014-01-27,5,
2014-01-28,5,
2014-01-29,3,
2014-01-30,1,
2014-01-31,2,
2014-02-01,2,
2014-02-02,3,
2014-02-03,3,
2014-02-04,3,
2014-02-05,2,
2014-02-06,3,
2014-02-07,6,
2014-02-08,5,
2014-02-10,7,
2014-02-11,9,
2014-02-12,23,
2014-02-13,39,
2014-02-14,12,
2014-02-15,6,
2014-02-16,11,
2014-02-17,3,
2014-02-20,12,
2014-02-21,8,
2014-02-22,9,
2014-02-23,9,
2014-02-24,10,
2014-02-25,11,
2014-02-26,2,
2014-02-27,1,
2014-02-28,8,
2014-03-01,48,
2014-03-02,26,
2014-03-03,7,
2014-03-04,17,
2014-03-05,15,
2014-03-06,34,
2014-03-07,18,
2014-03-10,58,
2014-03-11,76,
2014-03-12,26,
2014-03-13,18,
2014-03-14,30,
2014-03-15,10,
2014-03-16,38,
2014-03-17,36,
2014-03-18,9,
2014-03-21,34,
2014-03-22,16,
2014-03-23,9,
2014-03-24,5,
2014-03-25,8,
2014-03-26,28,
2014-03-27,4,
2014-03-28,7,
2014-03-29,24,
2014-03-30,10,
2014-03-31,24,
2014-04-01,48,
2014-04-02,20,
2014-04-03,12,
2014-04-04,9,
2014-04-05,9,
2014-04-06,6,
2014-04-08,11,
2014-04-09,13,
2014-04-10,8,
2014-04-11,3,
2014-04-14,10,
2014-04-16,16,
2014-04-17,20,
2014-04-18,13,
2014-04-19,9,
2014-04-23,18,
2014-04-24,233,
2014-04-25,137,
2014-04-26,64,
2014-04-27,35,
2014-04-28,37,
2014-04-29,31,
2014-04-30,29,
2014-05-01,15,
2014-05-02,12,
2014-05-03,26,
2014-05-04,35,
2014-05-05,30,
2014-05-06,11,
2014-05-07,32,
2014-05-08,22,
2014-05-09,6,
2014-05-20,1,
2014-05-22,17,
2014-05-23,127,
2014-05-24,43,
2014-05-25,26,
2014-05-26,37,
2014-05-27,63,
2014-05-28,128,
2014-05-29,433,
2014-05-30,281,
2014-05-31,73,
2014-06-01,48,
2014-06-02,174,
2014-06-03,36,
2014-06-04,126,
2014-06-05,4,
2014-06-06,488,
2014-06-07,22,
2014-06-08,32,
2014-06-09,22,
2014-06-10,52,
2014-06-11,62,
2014-06-12,50,
2014-06-13,534,
2014-06-14,16,
2014-06-15,30,
2014-06-16,10,
2014-06-18,1,
2014-09-15,17,
2014-09-16,28,
2014-09-17,14,
2014-09-18,25,
2014-09-19,41,
2014-09-20,3,
2014-09-23,12,
2014-09-24,19,
2014-09-25,24,
2014-09-26,11,
2014-09-27,32,
2014-09-28,18,
2014-09-29,15,
2014-09-30,14,
2014-10-01,6,
2014-10-07,8,
2014-10-08,22,
2014-10-09,16,
2014-10-10,46,
2014-10-11,36,
2014-10-14,8,
2014-10-15,23,
2014-10-16,50,
2014-10-17,34,
2014-10-18,16,
2014-10-19,15,
2014-10-21,14,
2014-10-22,35,
2014-10-23,21,
2014-10-24,8,
2014-10-25,7,
2014-10-26,8,
2014-10-27,19,
2014-10-28,24,
2014-10-29,4,
