Date,Count
2013-09-24 00:00:00,209
2013-09-25 00:00:00,535
2013-09-26 00:00:00,247
2013-09-27 00:00:00,98
2013-09-28 00:00:00,192
2013-09-29 00:00:00,151
2013-09-30 00:00:00,185
2013-10-01 00:00:00,360
2013-10-02 00:00:00,276
2013-10-03 00:00:00,285
2013-10-04 00:00:00,294
2013-10-05 00:00:00,261
2013-10-06 00:00:00,231
2013-10-07 00:00:00,228
2013-10-08 00:00:00,279
2013-10-09 00:00:00,263
2013-10-10 00:00:00,146
2013-10-11 00:00:00,140
2013-10-12 00:00:00,189
2013-10-13 00:00:00,139
2013-10-14 00:00:00,1583
2013-10-15 00:00:00,1245
2013-10-16 00:00:00,908
2013-10-17 00:00:00,571
2013-10-18 00:00:00,234
2013-10-19 00:00:00,349
2013-10-20 00:00:00,361
2013-10-21 00:00:00,911
2013-10-22 00:00:00,2126
2013-10-23 00:00:00,687
2013-10-24 00:00:00,74
2013-10-25 00:00:00,236
2013-10-26 00:00:00,213
2013-10-27 00:00:00,503
2013-10-28 00:00:00,307
2013-10-29 00:00:00,208
2013-10-30 00:00:00,235
2013-10-31 00:00:00,240
2013-11-01 00:00:00,86
2013-11-02 00:00:00,166
2013-11-03 00:00:00,183
2013-11-04 00:00:00,194
2013-11-05 00:00:00,55
2013-11-06 00:00:00,1275
2013-11-07 00:00:00,896
2013-11-08 00:00:00,739
2013-11-09 00:00:00,386
2013-11-10 00:00:00,251
2013-11-11 00:00:00,185
2013-11-12 00:00:00,197
2013-11-13 00:00:00,479
2013-11-14 00:00:00,339
2013-11-15 00:00:00,110
2013-11-16 00:00:00,180
2013-11-17 00:00:00,186
2013-11-18 00:00:00,176
2013-11-19 00:00:00,796
2013-11-20 00:00:00,1488
2013-11-21 00:00:00,801
2013-11-22 00:00:00,115
2013-11-23 00:00:00,383
2013-11-24 00:00:00,285
2013-11-25 00:00:00,181
2013-11-26 00:00:00,617
2013-11-27 00:00:00,204
2013-11-28 00:00:00,318
2013-11-29 00:00:00,398
2013-11-30 00:00:00,265
2013-12-01 00:00:00,315
2013-12-02 00:00:00,307
2013-12-03 00:00:00,175
2013-12-04 00:00:00,207
2013-12-05 00:00:00,247
2013-12-06 00:00:00,219
2013-12-07 00:00:00,183
2013-12-08 00:00:00,108
2013-12-09 00:00:00,195
2013-12-10 00:00:00,197
2013-12-11 00:00:00,1868
2013-12-12 00:00:00,5986
2013-12-13 00:00:00,5188
2013-12-14 00:00:00,1114
2013-12-15 00:00:00,317
2013-12-16 00:00:00,1775
2013-12-17 00:00:00,314
2013-12-18 00:00:00,266
2013-12-19 00:00:00,1641
2013-12-20 00:00:00,1104
2013-12-21 00:00:00,567
2013-12-22 00:00:00,31
2013-12-23 00:00:00,404
2013-12-24 00:00:00,115
2013-12-25 00:00:00,76
2013-12-26 00:00:00,298
2013-12-27 00:00:00,289
2013-12-28 00:00:00,280
2013-12-29 00:00:00,271
2013-12-30 00:00:00,262
2013-12-31 00:00:00,253
2014-01-01 00:00:00,244
2014-01-02 00:00:00,235
2014-01-03 00:00:00,226
2014-01-04 00:00:00,418
2014-01-05 00:00:00,341
2014-01-06 00:00:00,616
2014-01-07 00:00:00,871
2014-01-08 00:00:00,781
2014-01-09 00:00:00,836
2014-01-10 00:00:00,776
2014-01-11 00:00:00,1630
2014-01-12 00:00:00,1396
2014-01-13 00:00:00,1842
2014-01-14 00:00:00,2838
2014-01-15 00:00:00,3410
2014-01-16 00:00:00,2724
2014-01-17 00:00:00,2136
2014-01-18 00:00:00,1548
2014-01-19 00:00:00,960
2014-01-20 00:00:00,372
2014-01-21 00:00:00,710
2014-01-22 00:00:00,924
2014-01-23 00:00:00,436
2014-01-24 00:00:00,1322
2014-01-25 00:00:00,218
2014-01-26 00:00:00,2170
2014-01-27 00:00:00,4122
2014-01-28 00:00:00,590
2014-01-29 00:00:00,386
2014-01-30 00:00:00,1558
2014-01-31 00:00:00,1564
2014-02-01 00:00:00,562
2014-02-02 00:00:00,500
2014-02-03 00:00:00,534
2014-02-04 00:00:00,594
2014-02-05 00:00:00,1005
2014-02-06 00:00:00,486
2014-02-07 00:00:00,1632
2014-02-08 00:00:00,486
2014-02-09 00:00:00,555
2014-02-10 00:00:00,624
2014-02-11 00:00:00,420
2014-02-12 00:00:00,336
2014-02-13 00:00:00,636
2014-02-14 00:00:00,483
2014-02-15 00:00:00,2550
2014-02-16 00:00:00,642
2014-02-17 00:00:00,69
2014-02-18 00:00:00,813
2014-02-19 00:00:00,1557
2014-02-20 00:00:00,2301
2014-02-21 00:00:00,2463
2014-02-22 00:00:00,1500
2014-02-23 00:00:00,1785
2014-02-24 00:00:00,1287
2014-02-25 00:00:00,1131
2014-02-26 00:00:00,976
2014-02-27 00:00:00,821
2014-02-28 00:00:00,666
2014-03-01 00:00:00,511
2014-03-02 00:00:00,356
2014-03-03 00:00:00,201
2014-03-04 00:00:00,92
