Date,Count,Unnamed: 0.1
2013-09-24,50,9.0
2013-09-25,55,8.0
2013-09-26,34,
2013-09-27,42,
2013-09-28,38,
2013-09-29,29,
2013-09-30,38,
2013-10-01,27,
2013-10-02,58,
2013-10-03,22,
2013-10-04,23,3.0
2013-10-05,46,2.0
2013-10-06,42,1.0
2013-10-07,49,0.0
2013-10-08,35,7.0
2013-10-09,42,6.0
2013-10-10,97,4.0
2013-10-11,35,5.0
2013-10-12,56,
2013-10-13,47,
2013-10-14,30,
2013-10-15,5,
2013-10-18,52,
2013-10-19,49,
2013-10-20,51,
2013-10-21,95,
2013-10-22,144,
2013-10-23,124,
2013-10-24,25,
2013-10-25,47,
2013-10-26,55,
2013-10-27,53,
2013-10-28,51,
2013-10-29,89,
2013-10-30,55,
2013-10-31,31,
2013-11-01,38,
2013-11-02,27,
2013-11-03,62,
2013-11-04,51,
2013-11-05,22,
2013-11-06,60,
2013-11-07,59,
2013-11-08,59,
2013-11-09,46,
2013-11-10,28,
2013-11-11,30,
2013-11-12,56,
2013-11-13,30,
2013-11-14,41,
2013-11-15,22,
2013-11-16,52,
2013-11-17,28,
2013-11-18,3,
2013-11-19,9,
2013-11-20,47,
2013-11-22,101,
2013-11-23,46,
2013-11-24,104,
2013-11-25,39,
2013-11-26,22,
2013-11-27,5,
2013-11-28,14,
2013-11-29,32,
2013-11-30,18,
2013-12-01,114,
2013-12-02,52,
2013-12-03,62,
2013-12-04,49,
2013-12-05,42,
2013-12-06,33,
2013-12-07,28,
2013-12-08,26,
2013-12-09,46,
2013-12-10,49,
2013-12-11,320,
2013-12-12,145,
2013-12-13,37,
2013-12-14,28,
2013-12-15,21,
2013-12-16,30,
2013-12-17,24,
2013-12-18,18,
2013-12-19,23,
2013-12-20,2,
2013-12-22,2,
2013-12-23,41,
2013-12-24,28,
2013-12-25,9,
2013-12-26,25,
2013-12-27,7,
2014-01-03,29,
2014-01-04,47,
2014-01-05,36,
2014-01-06,130,
2014-01-07,57,
2014-01-08,32,
2014-01-09,33,
2014-01-10,28,
2014-01-11,31,
2014-01-12,54,
2014-01-13,23,
2014-01-14,48,
2014-01-15,43,
2014-01-16,40,
2014-01-20,28,
2014-01-21,37,
2014-01-22,43,
2014-01-23,75,
2014-01-24,34,
2014-01-25,26,
2014-01-27,20,
2014-01-28,27,
2014-01-29,12,
2014-01-30,33,
2014-01-31,27,
2014-02-01,22,
2014-02-02,34,
2014-02-03,20,
2014-02-04,18,
2014-02-05,20,
2014-02-06,30,
2014-02-07,43,
2014-02-08,18,
2014-02-10,29,
2014-02-11,41,
2014-02-12,18,
2014-02-13,50,
2014-02-14,174,
2014-02-15,38,
2014-02-16,24,
2014-02-17,8,
2014-02-19,3,
2014-02-20,37,
2014-02-21,44,
2014-02-22,42,
2014-02-23,44,
2014-02-24,102,
2014-02-25,54,
2014-02-26,15,
2014-02-27,6,
2014-02-28,16,
2014-03-01,28,
2014-03-02,38,
2014-03-03,18,
2014-03-04,26,
2014-03-05,41,
2014-03-06,32,
2014-03-07,24,
2014-03-09,8,
2014-03-10,110,
2014-03-11,156,
2014-03-12,64,
2014-03-13,106,
2014-03-14,102,
2014-03-15,108,
2014-03-16,62,
2014-03-17,60,
2014-03-18,5,
2014-03-21,167,
2014-03-22,217,
2014-03-23,54,
2014-03-24,44,
2014-03-25,25,
2014-03-26,24,
2014-03-27,43,
2014-03-28,49,
2014-03-29,40,
2014-03-30,23,
2014-03-31,21,
2014-04-01,96,
2014-04-02,46,
2014-04-03,27,
2014-04-04,72,
2014-04-05,31,
2014-04-06,42,
2014-04-08,38,
2014-04-09,57,
2014-04-10,108,
2014-04-11,61,
2014-04-14,28,
2014-04-16,117,
2014-04-17,243,
2014-04-18,113,
2014-04-19,22,
2014-04-23,153,
2014-04-24,181,
2014-04-25,333,
2014-04-26,364,
2014-04-27,266,
2014-04-28,190,
2014-04-29,155,
2014-04-30,165,
2014-05-01,143,
2014-05-02,280,
2014-05-03,415,
2014-05-04,410,
2014-05-05,271,
2014-05-06,275,
2014-05-07,200,
2014-05-08,205,
2014-05-09,398,
2014-05-14,238,
2014-05-20,7,
2014-05-22,155,
2014-05-23,116,
2014-05-24,122,
2014-05-25,135,
2014-05-26,94,
2014-05-27,95,
2014-05-28,115,
2014-05-29,151,
2014-05-30,172,
2014-05-31,105,
2014-06-01,189,
2014-06-02,190,
2014-06-03,125,
2014-06-04,54,
2014-06-05,51,
2014-06-06,106,
2014-06-07,102,
2014-06-08,103,
2014-06-09,416,
2014-06-10,546,
2014-06-11,386,
2014-06-12,434,
2014-06-13,262,
2014-06-14,200,
2014-06-15,209,
2014-06-16,59,
2014-06-17,15,
2014-06-18,4,
2014-09-15,82,
2014-09-16,166,
2014-09-17,118,
2014-09-18,236,
2014-09-19,134,
2014-09-20,38,
2014-09-23,76,
2014-09-24,114,
2014-09-25,220,
2014-09-26,132,
2014-09-27,196,
2014-09-28,150,
2014-09-29,187,
2014-09-30,197,
2014-10-01,226,
2014-10-07,142,
2014-10-08,157,
2014-10-09,746,
2014-10-10,468,
2014-10-11,286,
2014-10-14,77,
2014-10-15,177,
2014-10-16,366,
2014-10-17,222,
2014-10-18,140,
2014-10-19,128,
2014-10-20,1,
2014-10-21,760,
2014-10-22,302,
2014-10-23,350,
2014-10-24,69,
2014-10-25,75,
2014-10-26,64,
2014-10-27,130,
2014-10-28,82,
2014-10-29,45,
