Date,Count,Unnamed: 0.1
2013-09-24,2,9.0
2013-09-25,6,8.0
2013-09-26,4,
2013-09-27,4,
2013-09-28,3,
2013-09-30,4,
2013-10-02,1,
2013-10-03,3,
2013-10-04,5,3.0
2013-10-05,3,2.0
2013-10-06,3,1.0
2013-10-07,5,0.0
2013-10-08,10,7.0
2013-10-09,6,6.0
2013-10-10,13,4.0
2013-10-11,6,5.0
2013-10-12,3,
2013-10-13,8,
2013-10-14,5,
2013-10-15,1,
2013-10-18,2,
2013-10-19,5,
2013-10-20,1,
2013-10-21,3,
2013-10-22,3,
2013-10-23,3,
2013-10-24,2,
2013-10-25,1,
2013-10-26,3,
2013-10-27,4,
2013-10-28,7,
2013-10-29,6,
2013-10-30,1,
2013-10-31,6,
2013-11-01,3,
2013-11-02,8,
2013-11-03,2,
2013-11-04,2,
2013-11-06,2,
2013-11-07,4,
2013-11-08,5,
2013-11-09,5,
2013-11-10,3,
2013-11-11,2,
2013-11-12,1,
2013-11-13,2,
2013-11-14,8,
2013-11-15,2,
2013-11-16,14,
2013-11-17,2,
2013-11-18,2,
2013-11-20,1,
2013-11-23,1,
2013-11-24,1,
2013-11-25,3,
2013-11-26,1,
2013-11-27,1,
2013-11-28,1,
2013-11-29,5,
2013-11-30,3,
2013-12-01,3,
2013-12-02,2,
2013-12-03,1,
2013-12-04,117,
2013-12-05,96,
2013-12-06,13,
2013-12-07,13,
2013-12-08,6,
2013-12-09,4,
2013-12-10,4,
2013-12-11,4,
2013-12-12,4,
2013-12-13,3,
2013-12-14,3,
2013-12-15,3,
2013-12-16,9,
2013-12-17,3,
2013-12-18,3,
2013-12-19,6,
2013-12-23,4,
2013-12-24,2,
2013-12-25,2,
2013-12-26,2,
2013-12-27,4,
2014-01-03,3,
2014-01-05,5,
2014-01-06,1,
2014-01-07,3,
2014-01-08,3,
2014-01-09,1,
2014-01-10,5,
2014-01-12,2,
2014-01-13,2,
2014-01-14,4,
2014-01-15,4,
2014-01-16,4,
2014-01-20,4,
2014-01-21,2,
2014-01-22,3,
2014-01-23,4,
2014-01-24,4,
2014-01-25,14,
2014-01-27,1,
2014-01-28,2,
2014-01-29,2,
2014-01-30,2,
2014-01-31,5,
2014-02-01,9,
2014-02-02,141,
2014-02-03,26,
2014-02-04,3,
2014-02-05,2,
2014-02-06,10,
2014-02-07,4,
2014-02-08,4,
2014-02-10,1,
2014-02-11,1,
2014-02-13,3,
2014-02-14,5,
2014-02-15,1,
2014-02-16,5,
2014-02-21,4,
2014-02-22,1,
2014-02-23,2,
2014-02-24,1,
2014-02-25,2,
2014-02-27,1,
2014-02-28,2,
2014-03-01,6,
2014-03-02,3,
2014-03-03,4,
2014-03-04,7,
2014-03-05,1,
2014-03-06,5,
2014-03-07,14,
2014-03-10,4,
2014-03-12,2,
2014-03-13,10,
2014-03-14,8,
2014-03-15,8,
2014-03-17,4,
2014-03-18,2,
2014-03-22,13,
2014-03-23,5,
2014-03-24,2,
2014-03-25,1,
2014-03-26,7,
2014-03-27,7,
2014-03-28,4,
2014-03-29,5,
2014-03-30,5,
2014-03-31,6,
2014-04-01,7,
2014-04-02,7,
2014-04-03,1,
2014-04-04,1,
2014-04-05,2,
2014-04-06,2,
2014-04-08,3,
2014-04-09,2,
2014-04-10,5,
2014-04-11,7,
2014-04-16,13,
2014-04-17,11,
2014-04-18,7,
2014-04-19,2,
2014-04-23,12,
2014-04-24,38,
2014-04-25,46,
2014-04-26,22,
2014-04-27,12,
2014-04-28,7,
2014-04-29,32,
2014-04-30,20,
2014-05-01,39,
2014-05-02,6,
2014-05-03,12,
2014-05-04,8,
2014-05-05,8,
2014-05-06,45,
2014-05-07,8,
2014-05-08,14,
2014-05-09,44,
2014-05-11,2,
2014-05-20,1,
2014-05-22,4,
2014-05-23,15,
2014-05-24,4,
2014-05-25,9,
2014-05-26,4,
2014-05-27,16,
2014-05-28,8,
2014-05-29,17,
2014-05-30,8,
2014-05-31,22,
2014-06-01,20,
2014-06-02,22,
2014-06-03,2,
2014-06-04,3,
2014-06-06,15,
2014-06-07,12,
2014-06-08,8,
2014-06-09,9,
2014-06-10,51,
2014-06-11,45,
2014-06-12,30,
2014-06-13,13,
2014-06-14,9,
2014-06-15,10,
2014-06-16,5,
2014-09-15,6,
2014-09-16,15,
2014-09-17,18,
2014-09-18,6,
2014-09-19,14,
2014-09-23,11,
2014-09-24,12,
2014-09-25,2,
2014-09-26,6,
2014-09-27,11,
2014-09-28,12,
2014-09-29,3,
2014-09-30,7,
2014-10-07,4,
2014-10-08,17,
2014-10-09,33,
2014-10-10,24,
2014-10-11,42,
2014-10-14,12,
2014-10-15,5,
2014-10-16,16,
2014-10-17,21,
2014-10-18,21,
2014-10-19,11,
2014-10-21,5,
2014-10-22,19,
2014-10-23,12,
2014-10-24,6,
2014-10-25,22,
2014-10-26,12,
2014-10-27,11,
2014-10-28,6,
2014-10-29,4,
