Date,Count,Unnamed: 0.1
2013-09-24,4,6.0
2013-09-26,1,
2013-09-27,3,
2013-09-28,4,
2013-09-29,1,
2013-09-30,4,
2013-10-02,1,
2013-10-03,1,
2013-10-05,1,2.0
2013-10-06,4,1.0
2013-10-07,2,0.0
2013-10-08,3,5.0
2013-10-09,2,4.0
2013-10-10,5,3.0
2013-10-11,12,
2013-10-12,2,
2013-10-14,9,
2013-10-18,42,
2013-10-19,3,
2013-10-20,4,
2013-10-21,4,
2013-10-22,16,
2013-10-23,115,
2013-10-24,9,
2013-10-26,5,
2013-10-27,1,
2013-10-28,3,
2013-10-31,1,
2013-11-01,1,
2013-11-02,1,
2013-11-03,4,
2013-11-04,6,
2013-11-05,1,
2013-11-06,9,
2013-11-07,6,
2013-11-08,11,
2013-11-09,2,
2013-11-10,1,
2013-11-11,6,
2013-11-12,1,
2013-11-13,4,
2013-11-14,6,
2013-11-15,2,
2013-11-16,4,
2013-11-19,1,
2013-11-20,1,
2013-11-22,14,
2013-11-23,4,
2013-11-24,1,
2013-11-25,1,
2013-11-26,1,
2013-11-27,1,
2013-11-28,4,
2013-11-29,30,
2013-11-30,5,
2013-12-01,7,
2013-12-02,1,
2013-12-03,1,
2013-12-04,7,
2013-12-05,4,
2013-12-06,3,
2013-12-07,3,
2013-12-08,1,
2013-12-09,1,
2013-12-10,3,
2013-12-11,4,
2013-12-12,2,
2013-12-13,2,
2013-12-14,3,
2013-12-15,3,
2013-12-16,2,
2013-12-17,2,
2013-12-19,42,
2013-12-20,2,
2013-12-23,3,
2013-12-25,1,
2013-12-26,2,
2013-12-27,2,
2014-01-03,1,
2014-01-04,2,
2014-01-05,3,
2014-01-06,3,
2014-01-07,1,
2014-01-10,2,
2014-01-11,1,
2014-01-13,1,
2014-01-15,3,
2014-01-16,4,
2014-01-22,2,
2014-01-23,2,
2014-01-24,1,
2014-01-25,1,
2014-01-27,2,
2014-01-28,3,
2014-01-31,1,
2014-02-01,3,
2014-02-02,1,
2014-02-03,1,
2014-02-04,2,
2014-02-05,2,
2014-02-06,1,
2014-02-07,2,
2014-02-08,6,
2014-02-10,3,
2014-02-11,4,
2014-02-12,1,
2014-02-13,1,
2014-02-20,1,
2014-02-21,2,
2014-02-22,2,
2014-02-23,3,
2014-02-24,1,
2014-02-28,1,
2014-03-01,4,
2014-03-02,8,
2014-03-03,5,
2014-03-04,9,
2014-03-05,1,
2014-03-07,6,
2014-03-09,2,
2014-03-11,2,
2014-03-12,10,
2014-03-13,4,
2014-03-14,6,
2014-03-15,2,
2014-03-16,20,
2014-03-18,7,
2014-03-21,3,
2014-03-23,3,
2014-03-24,15,
2014-03-25,19,
2014-03-26,3,
2014-03-27,7,
2014-03-28,2,
2014-03-29,2,
2014-03-30,2,
2014-03-31,2,
2014-04-01,2,
2014-04-02,4,
2014-04-03,7,
2014-04-04,4,
2014-04-05,5,
2014-04-06,1,
2014-04-08,3,
2014-04-09,4,
2014-04-11,4,
2014-04-16,9,
2014-04-17,71,
2014-04-18,57,
2014-04-19,3,
2014-04-23,27,
2014-04-24,17,
2014-04-25,136,
2014-04-26,16,
2014-04-27,50,
2014-04-28,18,
2014-04-29,13,
2014-04-30,21,
2014-05-01,7,
2014-05-02,12,
2014-05-03,9,
2014-05-04,13,
2014-05-05,18,
2014-05-06,242,
2014-05-07,36,
2014-05-08,8,
2014-05-09,6,
2014-05-20,3,
2014-05-22,29,
2014-05-23,23,
2014-05-24,45,
2014-05-25,10,
2014-05-26,7,
2014-05-27,9,
2014-05-28,6,
2014-05-29,24,
2014-05-30,5,
2014-05-31,5,
2014-06-02,15,
2014-06-03,12,
2014-06-04,7,
2014-06-05,3,
2014-06-06,7,
2014-06-07,83,
2014-06-08,7,
2014-06-09,13,
2014-06-10,3,
2014-06-11,24,
2014-06-12,27,
2014-06-13,25,
2014-06-14,2,
2014-06-15,10,
2014-06-16,1,
2014-09-15,58,
2014-09-16,56,
2014-09-17,64,
2014-09-18,15,
2014-09-19,18,
2014-09-23,9,
2014-09-24,6,
2014-09-25,12,
2014-09-26,5,
2014-09-27,6,
2014-09-28,6,
2014-09-29,5,
2014-09-30,22,
2014-10-01,7,
2014-10-07,5,
2014-10-08,8,
2014-10-09,11,
2014-10-10,47,
2014-10-11,24,
2014-10-14,4,
2014-10-15,45,
2014-10-16,32,
2014-10-17,18,
2014-10-18,31,
2014-10-19,24,
2014-10-21,3,
2014-10-22,9,
2014-10-23,11,
2014-10-24,1,
2014-10-25,9,
2014-10-26,5,
2014-10-27,3,
2014-10-28,4,
