Date,Count,Unnamed: 0.1
2013-09-24,16,8.0
2013-09-25,1,
2013-09-26,7,
2013-09-27,3,
2013-09-28,2,
2013-09-29,2,
2013-09-30,5,
2013-10-01,3,
2013-10-02,2,
2013-10-03,5,
2013-10-04,18,3.0
2013-10-05,6,2.0
2013-10-06,10,1.0
2013-10-07,8,0.0
2013-10-08,3,7.0
2013-10-09,11,6.0
2013-10-10,3,4.0
2013-10-11,2,5.0
2013-10-12,2,
2013-10-13,2,
2013-10-18,46,
2013-10-19,7,
2013-10-20,6,
2013-10-21,9,
2013-10-22,5,
2013-10-23,2,
2013-10-24,6,
2013-10-25,2,
2013-10-26,8,
2013-10-27,4,
2013-10-28,5,
2013-10-29,5,
2013-10-30,2,
2013-10-31,2,
2013-11-01,5,
2013-11-02,6,
2013-11-03,2,
2013-11-04,1,
2013-11-05,1,
2013-11-06,6,
2013-11-07,8,
2013-11-08,2,
2013-11-09,10,
2013-11-11,1,
2013-11-12,4,
2013-11-13,1,
2013-11-14,9,
2013-11-15,12,
2013-11-16,5,
2013-11-17,3,
2013-11-20,3,
2013-11-22,8,
2013-11-23,2,
2013-11-24,2,
2013-11-25,5,
2013-11-26,12,
2013-11-27,8,
2013-11-28,2,
2013-11-29,7,
2013-11-30,9,
2013-12-01,11,
2013-12-02,1,
2013-12-03,2,
2013-12-04,1,
2013-12-06,1,
2013-12-07,3,
2013-12-08,1,
2013-12-09,5,
2013-12-10,6,
2013-12-11,3,
2013-12-12,1,
2013-12-13,5,
2013-12-14,2,
2013-12-15,6,
2013-12-16,9,
2013-12-17,4,
2013-12-18,2,
2013-12-19,4,
2013-12-22,1,
2013-12-23,3,
2013-12-25,3,
2013-12-26,4,
2013-12-27,1,
2014-01-03,5,
2014-01-04,1,
2014-01-05,4,
2014-01-06,3,
2014-01-07,7,
2014-01-08,5,
2014-01-09,5,
2014-01-10,3,
2014-01-11,11,
2014-01-12,2,
2014-01-13,2,
2014-01-14,3,
2014-01-15,3,
2014-01-16,8,
2014-01-20,2,
2014-01-21,2,
2014-01-22,3,
2014-01-23,4,
2014-01-24,6,
2014-01-27,7,
2014-01-28,3,
2014-01-29,4,
2014-01-30,6,
2014-01-31,2,
2014-02-02,2,
2014-02-03,5,
2014-02-04,5,
2014-02-05,5,
2014-02-06,2,
2014-02-07,3,
2014-02-08,3,
2014-02-11,2,
2014-02-13,6,
2014-02-14,6,
2014-02-15,5,
2014-02-16,5,
2014-02-17,1,
2014-02-20,2,
2014-02-21,2,
2014-02-22,2,
2014-02-23,1,
2014-02-24,5,
2014-02-25,6,
2014-02-26,3,
2014-02-28,3,
2014-03-01,14,
2014-03-02,6,
2014-03-03,5,
2014-03-04,3,
2014-03-05,4,
2014-03-07,2,
2014-03-09,2,
2014-03-10,8,
2014-03-12,8,
2014-03-13,16,
2014-03-14,10,
2014-03-15,16,
2014-03-16,2,
2014-03-17,10,
2014-03-21,4,
2014-03-22,3,
2014-03-23,1,
2014-03-24,6,
2014-03-25,2,
2014-03-26,22,
2014-03-27,14,
2014-03-28,2,
2014-03-29,6,
2014-03-30,4,
2014-03-31,20,
2014-04-01,6,
2014-04-02,4,
2014-04-03,4,
2014-04-04,2,
2014-04-05,4,
2014-04-08,1,
2014-04-09,6,
2014-04-10,25,
2014-04-11,1,
2014-04-16,18,
2014-04-17,16,
2014-04-18,5,
2014-04-23,12,
2014-04-24,18,
2014-04-25,15,
2014-04-26,17,
2014-04-27,9,
2014-04-28,10,
2014-04-29,5,
2014-04-30,13,
2014-05-01,11,
2014-05-02,24,
2014-05-03,10,
2014-05-04,34,
2014-05-05,20,
2014-05-06,13,
2014-05-07,6,
2014-05-08,11,
2014-05-09,3,
2014-05-22,11,
2014-05-23,3,
2014-05-24,17,
2014-05-25,14,
2014-05-26,9,
2014-05-27,18,
2014-05-28,12,
2014-05-29,6,
2014-05-30,22,
2014-05-31,26,
2014-06-01,32,
2014-06-02,13,
2014-06-03,10,
2014-06-04,8,
2014-06-05,1230,
2014-06-06,3202,
2014-06-07,2169,
2014-06-08,473,
2014-06-09,569,
2014-06-10,9134,
2014-06-11,2310,
2014-06-12,596,
2014-06-13,117,
2014-06-14,53,
2014-06-15,99,
2014-06-16,10,
2014-06-17,3,
2014-09-15,21,
2014-09-16,35,
2014-09-17,36,
2014-09-18,3,
2014-09-19,15,
2014-09-20,8,
2014-09-23,6,
2014-09-24,10,
2014-09-25,9,
2014-09-26,7,
2014-09-27,25,
2014-09-28,68,
2014-09-29,12,
2014-09-30,7,
2014-10-01,9,
2014-10-07,13,
2014-10-08,17,
