Date,Count
2013-09-24,87
2013-09-25,130
2013-09-26,193
2013-09-27,120
2013-09-28,362
2013-09-29,395
2013-09-30,236
2013-10-01,82
2013-10-02,180
2013-10-03,60
2013-10-04,318
2013-10-05,407
2013-10-06,147
2013-10-07,169
2013-10-08,200
2013-10-09,153
2013-10-10,201
2013-10-11,326
2013-10-12,260
2013-10-13,164
2013-10-14,306
2013-10-15,16
2013-10-18,120
2013-10-19,350
2013-10-20,361
2013-10-21,320
2013-10-22,292
2013-10-23,527
2013-10-24,103
2013-10-25,276
2013-10-26,267
2013-10-27,214
2013-10-28,415
2013-10-29,269
2013-10-30,210
2013-10-31,278
2013-11-01,168
2013-11-02,180
2013-11-03,173
2013-11-04,312
2013-11-05,73
2013-11-06,197
2013-11-07,222
2013-11-08,195
2013-11-09,194
2013-11-10,271
2013-11-11,207
2013-11-12,347
2013-11-13,206
2013-11-14,169
2013-11-15,54
2013-11-16,164
2013-11-17,154
2013-11-18,381
2013-11-19,274
2013-11-20,448
2013-11-22,77
2013-11-23,524
2013-11-24,511
2013-11-25,386
2013-11-26,220
2013-11-27,132
2013-11-28,173
2013-11-29,131
2013-11-30,169
2013-12-01,698
2013-12-02,320
2013-12-03,411
2013-12-04,467
2013-12-05,389
2013-12-06,384
2013-12-07,299
2013-12-08,131
2013-12-09,234
2013-12-10,378
2013-12-11,424
2013-12-12,268
2013-12-13,183
2013-12-14,180
2013-12-15,652
2013-12-16,263
2013-12-17,254
2013-12-18,629
2013-12-19,294
2013-12-20,24
2013-12-22,12
2013-12-23,607
2013-12-24,393
2013-12-25,244
2013-12-26,339
2013-12-27,198
2014-01-03,143
2014-01-04,319
2014-01-05,1232
2014-01-06,626
2014-01-07,597
2014-01-08,1326
2014-01-09,1380
2014-01-10,976
2014-01-11,688
2014-01-12,668
2014-01-13,824
2014-01-14,2570
2014-01-15,858
2014-01-16,456
2014-01-20,344
2014-01-21,1006
2014-01-22,734
2014-01-23,666
2014-01-24,542
2014-01-25,556
2014-01-27,222
2014-01-28,314
2014-01-29,824
2014-01-30,310
2014-01-31,444
2014-02-01,364
2014-02-02,318
2014-02-03,301
2014-02-04,831
2014-02-05,181
2014-02-06,954
2014-02-07,779
2014-02-08,604
2014-02-10,520
2014-02-11,163
