Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,24,9.0
2013-09-25 00:00:00,190,8.0
2013-09-26 00:00:00,802,
2013-09-27 00:00:00,44,
2013-09-28 00:00:00,82,
2013-09-29 00:00:00,56,
2013-09-30 00:00:00,224,
2013-10-01 00:00:00,68,
2013-10-02 00:00:00,900,
2013-10-03 00:00:00,506,
2013-10-04 00:00:00,112,3.0
2013-10-05 00:00:00,72,2.0
2013-10-06 00:00:00,140,1.0
2013-10-07 00:00:00,107,0.0
2013-10-08 00:00:00,69,7.0
2013-10-09 00:00:00,56,6.0
2013-10-10 00:00:00,119,4.0
2013-10-11 00:00:00,94,5.0
2013-10-12 00:00:00,163,
2013-10-13 00:00:00,111,
2013-10-14 00:00:00,88,
2013-10-15 00:00:00,78,
2013-10-16 00:00:00,69,
2013-10-17 00:00:00,60,
2013-10-18 00:00:00,51,
2013-10-19 00:00:00,203,
2013-10-20 00:00:00,37,
2013-10-21 00:00:00,56,
2013-10-22 00:00:00,175,
2013-10-23 00:00:00,315,
2013-10-24 00:00:00,23,
2013-10-25 00:00:00,95,
2013-10-26 00:00:00,201,
2013-10-27 00:00:00,174,
2013-10-28 00:00:00,58,
2013-10-29 00:00:00,107,
2013-10-30 00:00:00,59,
2013-10-31 00:00:00,77,
2013-11-01 00:00:00,75,
2013-11-02 00:00:00,58,
2013-11-03 00:00:00,91,
2013-11-04 00:00:00,140,
2013-11-05 00:00:00,71,
2013-11-06 00:00:00,200,
2013-11-07 00:00:00,107,
2013-11-08 00:00:00,280,
2013-11-09 00:00:00,100,
2013-11-10 00:00:00,88,
2013-11-11 00:00:00,181,
2013-11-12 00:00:00,69,
2013-11-13 00:00:00,117,
2013-11-14 00:00:00,92,
2013-11-15 00:00:00,102,
2013-11-16 00:00:00,191,
2013-11-17 00:00:00,60,
2013-11-18 00:00:00,20,
2013-11-19 00:00:00,9,
2013-11-20 00:00:00,327,
2013-11-21 00:00:00,332,
2013-11-22 00:00:00,337,
2013-11-23 00:00:00,342,
2013-11-24 00:00:00,134,
2013-11-25 00:00:00,453,
2013-11-26 00:00:00,138,
2013-11-27 00:00:00,109,
2013-11-28 00:00:00,191,
2013-11-29 00:00:00,44,
2013-11-30 00:00:00,60,
2013-12-01 00:00:00,25,
2013-12-02 00:00:00,31,
2013-12-03 00:00:00,23,
2013-12-04 00:00:00,43,
2013-12-05 00:00:00,57,
2013-12-06 00:00:00,102,
2013-12-07 00:00:00,56,
2013-12-08 00:00:00,90,
2013-12-09 00:00:00,230,
2013-12-10 00:00:00,780,
2013-12-11 00:00:00,398,
2013-12-12 00:00:00,121,
2013-12-13 00:00:00,128,
2013-12-14 00:00:00,155,
2013-12-15 00:00:00,91,
2013-12-16 00:00:00,260,
2013-12-17 00:00:00,108,
2013-12-18 00:00:00,120,
2013-12-19 00:00:00,96,
2013-12-20 00:00:00,94,
2013-12-21 00:00:00,93,
2013-12-22 00:00:00,92,
2013-12-23 00:00:00,91,
2013-12-24 00:00:00,78,
2013-12-25 00:00:00,93,
2013-12-26 00:00:00,247,
2013-12-27 00:00:00,223,
2013-12-28 00:00:00,199,
2013-12-29 00:00:00,176,
2013-12-30 00:00:00,152,
2013-12-31 00:00:00,128,
2014-01-01 00:00:00,105,
2014-01-02 00:00:00,81,
2014-01-03 00:00:00,58,
2014-01-04 00:00:00,1257,
2014-01-05 00:00:00,315,
2014-01-06 00:00:00,139,
2014-01-07 00:00:00,112,
2014-01-08 00:00:00,294,
2014-01-09 00:00:00,389,
2014-01-10 00:00:00,241,
2014-01-11 00:00:00,319,
2014-01-12 00:00:00,339,
2014-01-13 00:00:00,342,
2014-01-14 00:00:00,333,
2014-01-15 00:00:00,64,
2014-01-16 00:00:00,89,
2014-01-17 00:00:00,82,
2014-01-18 00:00:00,75,
2014-01-19 00:00:00,68,
2014-01-20 00:00:00,61,
2014-01-21 00:00:00,201,
2014-01-22 00:00:00,148,
2014-01-23 00:00:00,192,
2014-01-24 00:00:00,407,
2014-01-25 00:00:00,294,
2014-01-26 00:00:00,181,
2014-01-27 00:00:00,68,
2014-01-28 00:00:00,97,
2014-01-29 00:00:00,64,
2014-01-30 00:00:00,143,
2014-01-31 00:00:00,154,
2014-02-01 00:00:00,175,
2014-02-02 00:00:00,177,
2014-02-03 00:00:00,108,
2014-02-04 00:00:00,94,
2014-02-05 00:00:00,1238,
2014-02-06 00:00:00,24823,
2014-02-07 00:00:00,560,
2014-02-08 00:00:00,664,
2014-02-09 00:00:00,398,
2014-02-10 00:00:00,133,
2014-02-11 00:00:00,151,
2014-02-12 00:00:00,67,
2014-02-13 00:00:00,123,
2014-02-14 00:00:00,321,
2014-02-15 00:00:00,126,
2014-02-16 00:00:00,94,
2014-02-17 00:00:00,10,
2014-02-18 00:00:00,52,
2014-02-19 00:00:00,94,
2014-02-20 00:00:00,136,
2014-02-21 00:00:00,221,
2014-02-22 00:00:00,132,
2014-02-23 00:00:00,153,
2014-02-24 00:00:00,96,
2014-02-25 00:00:00,224,
2014-02-26 00:00:00,74,
2014-02-27 00:00:00,5,
2014-02-28 00:00:00,26,
2014-03-01 00:00:00,199,
2014-03-02 00:00:00,107,
2014-03-03 00:00:00,52,
2014-03-04 00:00:00,78,
2014-03-05 00:00:00,70,
2014-03-06 00:00:00,57,
2014-03-07 00:00:00,20,
