Date,Count,Unnamed: 0.1
2013-09-24,14,9.0
2013-09-25,12,8.0
2013-09-26,16,
2013-09-27,4,
2013-09-28,11,
2013-09-29,9,
2013-09-30,9,
2013-10-01,6,
2013-10-02,8,
2013-10-03,26,
2013-10-04,16,3.0
2013-10-05,10,2.0
2013-10-06,12,1.0
2013-10-07,11,0.0
2013-10-08,25,7.0
2013-10-09,5,6.0
2013-10-10,11,4.0
2013-10-11,14,5.0
2013-10-12,10,
2013-10-13,16,
2013-10-14,7,
2013-10-18,19,
2013-10-19,19,
2013-10-20,9,
2013-10-21,7,
2013-10-22,37,
2013-10-23,12,
2013-10-24,9,
2013-10-25,9,
2013-10-26,16,
2013-10-27,16,
2013-10-28,16,
2013-10-29,11,
2013-10-30,15,
2013-10-31,12,
2013-11-01,6,
2013-11-02,14,
2013-11-03,9,
2013-11-04,11,
2013-11-05,5,
2013-11-06,9,
2013-11-07,5,
2013-11-08,3,
2013-11-09,14,
2013-11-10,6,
2013-11-11,15,
2013-11-12,21,
2013-11-13,15,
2013-11-14,8,
2013-11-15,5,
2013-11-16,6,
2013-11-17,8,
2013-11-18,5,
2013-11-19,2,
2013-11-20,52,
2013-11-22,2,
2013-11-23,12,
2013-11-24,4,
2013-11-25,11,
2013-11-26,8,
2013-11-27,2,
2013-11-28,10,
2013-11-29,8,
2013-11-30,24,
2013-12-01,18,
2013-12-02,23,
2013-12-03,12,
2013-12-04,12,
2013-12-05,10,
2013-12-06,18,
2013-12-07,25,
2013-12-08,2,
2013-12-09,7,
2013-12-10,8,
2013-12-11,29,
2013-12-12,8,
2013-12-13,4,
2013-12-14,13,
2013-12-15,7,
2013-12-16,4,
2013-12-17,22,
2013-12-18,5,
2013-12-19,8,
2013-12-23,11,
2013-12-24,9,
2013-12-25,3,
2013-12-26,9,
2013-12-27,2,
2014-01-03,4,
2014-01-04,4,
2014-01-05,15,
2014-01-06,1,
2014-01-07,10,
2014-01-08,4,
2014-01-09,26,
2014-01-10,10,
2014-01-11,5,
2014-01-12,9,
2014-01-13,12,
2014-01-14,23,
2014-01-15,29,
2014-01-16,11,
2014-01-20,7,
2014-01-21,6,
2014-01-22,4,
2014-01-23,6,
2014-01-24,5,
2014-01-25,3,
2014-01-27,4,
2014-01-28,9,
2014-01-29,6,
2014-01-30,29,
2014-01-31,9,
2014-02-01,16,
2014-02-02,8,
2014-02-03,3,
2014-02-04,3,
2014-02-05,11,
2014-02-06,6,
2014-02-07,8,
2014-02-08,3,
2014-02-10,5,
2014-02-11,10,
2014-02-12,5,
2014-02-13,5,
2014-02-14,4,
2014-02-15,11,
2014-02-16,1,
2014-02-17,4,
2014-02-19,1,
2014-02-20,3,
2014-02-21,5,
2014-02-22,12,
2014-02-23,9,
2014-02-24,5,
2014-02-25,9,
2014-02-26,4,
2014-02-27,3,
2014-02-28,2,
2014-03-01,11,
2014-03-02,11,
2014-03-03,4,
2014-03-04,6,
2014-03-05,6,
2014-03-06,12,
2014-03-07,4,
2014-03-10,14,
2014-03-11,42,
2014-03-12,18,
2014-03-13,16,
2014-03-14,18,
2014-03-15,14,
2014-03-16,16,
2014-03-17,12,
2014-03-18,5,
2014-03-21,2,
2014-03-22,4,
2014-03-23,7,
2014-03-24,5,
2014-03-25,5,
2014-03-26,8,
2014-03-27,9,
2014-03-28,4,
2014-03-29,11,
2014-03-30,5,
2014-03-31,6,
2014-04-01,13,
2014-04-02,9,
2014-04-03,6,
2014-04-04,9,
2014-04-05,8,
2014-04-06,7,
2014-04-08,3,
2014-04-09,5,
2014-04-10,5,
2014-04-11,5,
2014-04-14,4,
2014-04-16,7,
2014-04-17,19,
2014-04-18,30,
2014-04-19,4,
2014-04-23,14,
2014-04-24,30,
2014-04-25,19,
2014-04-26,84,
2014-04-27,20,
2014-04-28,40,
2014-04-29,22,
2014-04-30,54,
2014-05-01,26,
2014-05-02,11,
2014-05-03,15,
2014-05-04,16,
2014-05-05,13,
2014-05-06,25,
2014-05-07,20,
2014-05-08,25,
2014-05-09,31,
2014-05-16,4,
2014-05-20,8,
2014-05-22,16,
2014-05-23,33,
2014-05-24,35,
2014-05-25,27,
2014-05-26,15,
2014-05-27,13,
2014-05-28,11,
2014-05-29,61,
2014-05-30,20,
2014-05-31,19,
2014-06-01,24,
2014-06-02,29,
2014-06-03,39,
2014-06-04,7,
2014-06-05,12,
2014-06-06,21,
2014-06-07,16,
2014-06-08,22,
2014-06-09,30,
2014-06-10,12,
2014-06-11,34,
2014-06-12,54,
2014-06-13,43,
2014-06-14,30,
2014-06-15,21,
2014-06-16,1,
2014-06-17,174,
2014-09-15,8,
2014-09-16,12,
2014-09-17,65,
2014-09-18,26,
2014-09-19,21,
2014-09-20,4,
2014-09-23,24,
2014-09-24,48,
2014-09-25,53,
2014-09-26,102,
2014-09-27,30,
2014-09-28,75,
2014-09-29,27,
2014-09-30,106,
2014-10-01,12,
2014-10-07,25,
2014-10-08,29,
2014-10-09,4,
