Date,Count,Unnamed: 0.1
2013-09-24,142,9.0
2013-09-25,134,8.0
2013-09-26,236,
2013-09-27,125,
2013-09-28,174,
2013-09-29,187,
2013-09-30,134,
2013-10-01,87,
2013-10-02,105,
2013-10-03,39,
2013-10-04,193,3.0
2013-10-05,213,2.0
2013-10-06,156,1.0
2013-10-07,226,0.0
2013-10-08,161,7.0
2013-10-09,88,6.0
2013-10-10,117,4.0
2013-10-11,131,5.0
2013-10-12,162,
2013-10-13,170,
2013-10-14,113,
2013-10-15,2,
2013-10-18,99,
2013-10-19,156,
2013-10-20,182,
2013-10-21,168,
2013-10-22,155,
2013-10-23,357,
2013-10-24,35,
2013-10-25,132,
2013-10-26,180,
2013-10-27,227,
2013-10-28,174,
2013-10-29,135,
2013-10-30,130,
2013-10-31,141,
2013-11-01,101,
2013-11-02,12466,
2013-11-03,6049,
2013-11-04,1853,
2013-11-05,283,
2013-11-06,668,
2013-11-07,763,
2013-11-08,678,
2013-11-09,618,
2013-11-10,348,
2013-11-11,267,
2013-11-12,291,
2013-11-13,384,
2013-11-14,299,
2013-11-15,194,
2013-11-16,294,
2013-11-17,259,
2013-11-18,14,
2013-11-19,74,
2013-11-20,391,
2013-11-22,88,
2013-11-23,262,
2013-11-24,245,
2013-11-25,207,
2013-11-26,166,
2013-11-27,100,
2013-11-28,161,
2013-11-29,167,
2013-11-30,195,
2013-12-01,151,
2013-12-02,150,
2013-12-03,105,
2013-12-04,161,
2013-12-05,237,
2013-12-06,174,
2013-12-07,188,
2013-12-08,161,
2013-12-09,164,
2013-12-10,141,
2013-12-11,140,
2013-12-12,234,
2013-12-13,146,
2013-12-14,183,
2013-12-15,180,
2013-12-16,201,
2013-12-17,181,
2013-12-18,187,
2013-12-19,176,
2013-12-20,9,
2013-12-22,15,
2013-12-23,254,
2013-12-24,612,
2013-12-25,1060,
2013-12-26,616,
2013-12-27,152,
2014-01-03,102,
2014-01-04,2500,
2014-01-05,415,
2014-01-06,180,
2014-01-07,210,
2014-01-08,180,
2014-01-09,245,
2014-01-10,185,
2014-01-11,135,
2014-01-12,178,
2014-01-13,149,
2014-01-14,174,
2014-01-15,206,
2014-01-16,111,
2014-01-20,214,
2014-01-21,114,
2014-01-22,339,
2014-01-23,245,
2014-01-24,171,
2014-01-25,24,
2014-01-27,81,
2014-01-28,122,
2014-01-29,103,
2014-01-30,451,
2014-01-31,368,
2014-02-01,503,
2014-02-02,885,
2014-02-03,592,
2014-02-04,349,
2014-02-05,193,
2014-02-06,220,
2014-02-07,123,
2014-02-08,63,
2014-02-10,99,
2014-02-11,182,
2014-02-12,72,
2014-02-13,154,
2014-02-14,112,
2014-02-15,213,
2014-02-16,176,
2014-02-17,22,
2014-02-19,14,
2014-02-20,283,
2014-02-21,255,
2014-02-22,275,
2014-02-23,673,
2014-02-24,401,
2014-02-25,231,
2014-02-26,131,
2014-02-27,23,
2014-02-28,53,
2014-03-01,149,
2014-03-02,184,
2014-03-03,88,
2014-03-04,95,
2014-03-05,112,
2014-03-06,106,
2014-03-07,110,
2014-03-09,66,
2014-03-10,196,
2014-03-11,182,
2014-03-12,160,
2014-03-13,532,
2014-03-14,624,
2014-03-15,318,
2014-03-16,392,
2014-03-17,208,
2014-03-18,34,
2014-03-21,67,
2014-03-22,107,
2014-03-23,862,
2014-03-24,232,
2014-03-25,142,
2014-03-26,124,
2014-03-27,156,
2014-03-28,144,
2014-03-29,186,
2014-03-30,306,
2014-03-31,224,
2014-04-01,152,
2014-04-02,107,
2014-04-03,99,
2014-04-04,114,
2014-04-05,110,
2014-04-06,112,
2014-04-08,132,
2014-04-09,146,
2014-04-10,173,
2014-04-11,74,
2014-04-14,114,
2014-04-16,1385,
2014-04-17,820,
2014-04-18,428,
2014-04-19,22,
2014-04-23,288,
2014-04-24,333,
2014-04-25,334,
2014-04-26,417,
2014-04-27,555,
2014-04-28,413,
2014-04-29,930,
2014-04-30,392,
2014-05-01,373,
2014-05-02,343,
2014-05-03,392,
2014-05-04,356,
2014-05-05,527,
2014-05-06,395,
2014-05-07,1877,
2014-05-08,603,
2014-05-09,221,
2014-05-10,1,
2014-05-12,2,
2014-05-13,8,
2014-05-14,6,
2014-05-15,4,
2014-05-16,10,
2014-05-17,2,
2014-05-18,2,
2014-05-20,23,
2014-05-22,226,
2014-05-23,294,
2014-05-24,665,
2014-05-25,532,
2014-05-26,385,
2014-05-27,302,
2014-05-28,502,
2014-05-29,482,
2014-05-30,393,
2014-05-31,403,
2014-06-01,855,
2014-06-02,338,
2014-06-03,323,
2014-06-04,128,
2014-06-05,106,
2014-06-06,434,
2014-06-07,434,
2014-06-08,391,
2014-06-09,525,
2014-06-10,666,
2014-06-11,534,
2014-06-12,546,
2014-06-13,393,
2014-06-14,344,
2014-06-15,375,
2014-06-16,48,
2014-06-17,16,
2014-06-18,1,
2014-09-15,237,
2014-09-16,243,
2014-09-17,1090,
2014-09-18,1014,
2014-09-19,786,
2014-09-20,25,
2014-09-23,928,
2014-09-24,999,
2014-09-25,320,
2014-09-26,271,
2014-09-27,379,
2014-09-28,345,
2014-09-29,317,
2014-09-30,230,
2014-10-01,119,
2014-10-07,289,
2014-10-08,391,
2014-10-09,582,
2014-10-10,478,
2014-10-11,430,
2014-10-14,260,
2014-10-15,538,
2014-10-16,482,
2014-10-17,432,
2014-10-18,332,
2014-10-19,245,
2014-10-21,209,
2014-10-22,991,
2014-10-23,512,
2014-10-24,175,
2014-10-25,285,
2014-10-26,218,
2014-10-27,204,
2014-10-28,141,
2014-10-29,50,
