Date,Count,Unnamed: 0.1
2013-09-24,2,8.0
2013-09-25,5,7.0
2013-09-26,3,
2013-09-27,2,
2013-09-28,12,
2013-09-29,4,
2013-09-30,4,
2013-10-01,1,
2013-10-02,4,
2013-10-03,2,
2013-10-04,2,3.0
2013-10-05,3,2.0
2013-10-06,2,1.0
2013-10-07,1,0.0
2013-10-08,4,6.0
2013-10-09,1,5.0
2013-10-10,3,4.0
2013-10-12,5,
2013-10-14,2,
2013-10-18,2,
2013-10-19,1,
2013-10-20,9,
2013-10-21,2,
2013-10-22,9,
2013-10-23,3,
2013-10-24,23,
2013-10-25,7,
2013-10-26,7,
2013-10-27,9,
2013-10-28,1,
2013-10-29,4,
2013-10-30,4,
2013-10-31,3,
2013-11-01,2,
2013-11-02,4,
2013-11-03,1,
2013-11-04,2,
2013-11-06,2,
2013-11-07,3,
2013-11-08,3,
2013-11-09,3,
2013-11-10,15,
2013-11-11,2,
2013-11-12,4,
2013-11-13,1,
2013-11-14,5,
2013-11-15,2,
2013-11-16,7,
2013-11-17,2,
2013-11-20,1,
2013-11-23,4,
2013-11-24,5,
2013-11-25,3,
2013-11-26,1,
2013-11-27,3,
2013-11-30,5,
2013-12-01,1,
2013-12-02,2,
2013-12-03,10,
2013-12-04,5,
2013-12-05,4,
2013-12-06,6,
2013-12-07,3,
2013-12-08,9,
2013-12-09,3,
2013-12-10,2,
2013-12-11,2,
2013-12-13,2,
2013-12-14,3,
2013-12-15,4,
2013-12-16,5,
2013-12-18,3,
2013-12-19,3,
2013-12-23,2,
2013-12-24,3,
2014-01-03,4,
2014-01-04,2,
2014-01-05,3,
2014-01-06,2,
2014-01-07,8,
2014-01-08,1,
2014-01-09,5,
2014-01-10,4,
2014-01-11,3,
2014-01-12,22,
2014-01-13,9,
2014-01-14,3,
2014-01-15,6,
2014-01-16,2,
2014-01-20,1,
2014-01-21,2,
2014-01-22,2,
2014-01-23,2,
2014-01-24,1,
2014-01-27,1,
2014-01-28,1,
2014-01-29,6,
2014-01-30,3,
2014-01-31,7,
2014-02-01,14,
2014-02-02,5,
2014-02-03,2,
2014-02-04,40,
2014-02-05,6,
2014-02-06,6,
2014-02-07,8,
2014-02-08,14,
2014-02-10,4,
2014-02-11,1,
2014-02-12,6,
2014-02-13,5,
2014-02-14,4,
2014-02-15,4,
2014-02-16,3,
2014-02-20,2,
2014-02-21,1,
2014-02-22,45,
2014-02-23,30,
2014-02-24,30,
2014-02-25,8,
2014-02-26,6,
2014-02-27,2,
2014-02-28,6,
2014-03-01,5,
2014-03-02,3,
2014-03-03,2,
2014-03-04,3,
2014-03-05,3,
2014-03-06,8,
2014-03-07,5,
2014-03-09,2,
2014-03-10,8,
2014-03-11,4,
2014-03-12,8,
2014-03-13,10,
2014-03-14,2,
2014-03-15,4,
2014-03-16,18,
2014-03-17,6,
2014-03-22,3,
2014-03-23,2,
2014-03-24,3,
2014-03-25,9,
2014-03-26,2,
2014-03-27,5,
2014-03-28,4,
2014-03-29,4,
2014-03-31,1,
2014-04-01,4,
2014-04-02,4,
2014-04-03,18,
2014-04-04,5,
2014-04-05,1,
2014-04-06,1,
2014-04-08,7,
2014-04-09,4,
2014-04-10,2,
2014-04-14,6,
2014-04-16,5,
2014-04-17,16,
2014-04-18,33,
2014-04-23,3,
2014-04-24,7,
2014-04-25,19,
2014-04-26,8,
2014-04-27,17,
2014-04-28,7,
2014-04-29,12,
2014-04-30,7,
2014-05-01,11,
2014-05-02,8,
2014-05-03,7,
2014-05-04,13,
2014-05-05,24,
2014-05-06,6,
2014-05-07,11,
2014-05-08,25,
2014-05-09,4,
2014-05-22,1,
2014-05-23,6,
2014-05-24,7,
2014-05-25,5,
2014-05-26,1,
2014-05-27,12,
2014-05-28,5,
2014-05-29,3,
2014-05-30,7,
2014-05-31,2,
2014-06-01,2,
2014-06-02,3,
2014-06-03,9,
2014-06-04,3,
2014-06-05,5,
2014-06-06,12,
2014-06-07,53,
2014-06-08,3,
2014-06-09,11,
2014-06-10,4,
2014-06-11,12,
2014-06-12,16,
2014-06-13,12,
2014-06-14,4,
2014-06-15,4,
2014-06-16,1,
2014-06-17,1,
2014-09-15,20,
2014-09-16,12,
2014-09-17,4,
2014-09-18,23,
2014-09-19,9,
2014-09-23,9,
2014-09-24,10,
2014-09-25,11,
2014-09-26,4,
2014-09-27,11,
2014-09-28,33,
2014-09-29,9,
2014-09-30,3,
2014-10-01,2,
2014-10-07,4,
2014-10-08,4,
2014-10-09,27,
2014-10-10,4,
2014-10-11,12,
2014-10-14,13,
2014-10-15,15,
2014-10-16,10,
2014-10-17,3,
2014-10-18,13,
2014-10-19,8,
2014-10-21,5,
2014-10-22,16,
2014-10-23,9,
2014-10-24,1,
2014-10-25,6,
2014-10-26,4,
2014-10-27,13,
2014-10-28,6,
2014-10-29,1,
