Date,Count,Unnamed: 0.1
2013-09-24,18,9.0
2013-09-25,26,8.0
2013-09-26,63,
2013-09-27,20,
2013-09-28,56,
2013-09-29,24,
2013-09-30,40,
2013-10-01,35,
2013-10-02,44,
2013-10-03,25,
2013-10-04,21,3.0
2013-10-05,38,2.0
2013-10-06,97,1.0
2013-10-07,66,0.0
2013-10-08,52,7.0
2013-10-09,23,6.0
2013-10-10,32,4.0
2013-10-11,61,5.0
2013-10-12,29,
2013-10-13,18,
2013-10-14,16,
2013-10-18,15,
2013-10-19,19,
2013-10-20,26,
2013-10-21,29,
2013-10-22,150,
2013-10-23,54,
2013-10-24,17,
2013-10-25,34,
2013-10-26,27,
2013-10-27,33,
2013-10-28,35,
2013-10-29,35,
2013-10-30,34,
2013-10-31,28,
2013-11-01,25,
2013-11-02,13,
2013-11-03,12,
2013-11-04,17,
2013-11-05,6,
2013-11-06,25,
2013-11-07,26,
2013-11-08,48,
2013-11-09,21,
2013-11-10,16,
2013-11-11,29,
2013-11-12,36,
2013-11-13,38,
2013-11-14,26,
2013-11-15,20,
2013-11-16,64,
2013-11-17,127,
2013-11-18,5,
2013-11-19,86,
2013-11-20,103,
2013-11-22,83,
2013-11-23,94,
2013-11-24,43,
2013-11-25,38,
2013-11-26,75,
2013-11-27,102,
2013-11-28,45,
2013-11-29,26,
2013-11-30,23,
2013-12-01,16,
2013-12-02,27,
2013-12-03,18,
2013-12-04,161,
2013-12-05,46,
2013-12-06,22,
2013-12-07,19,
2013-12-08,14,
2013-12-09,22,
2013-12-10,14,
2013-12-11,27,
2013-12-12,27,
2013-12-13,25,
2013-12-14,28,
2013-12-15,197,
2013-12-16,26,
2013-12-17,44,
2013-12-18,42,
2013-12-19,37,
2013-12-23,23,
2013-12-24,40,
2013-12-25,11,
2013-12-26,19,
2013-12-27,15,
2014-01-03,10,
2014-01-04,27,
2014-01-05,42,
2014-01-06,25,
2014-01-07,24,
2014-01-08,13,
2014-01-09,16,
2014-01-10,17,
2014-01-11,14,
2014-01-12,19,
2014-01-13,30,
2014-01-14,32,
2014-01-15,26,
2014-01-16,19,
2014-01-20,27,
2014-01-21,34,
2014-01-22,25,
2014-01-23,34,
2014-01-24,29,
2014-01-25,8,
2014-01-27,15,
2014-01-28,18,
2014-01-29,18,
2014-01-30,17,
2014-01-31,28,
2014-02-01,20,
2014-02-02,27,
2014-02-03,21,
2014-02-04,21,
2014-02-05,16,
2014-02-06,25,
2014-02-07,19,
2014-02-08,162,
2014-02-10,38,
2014-02-11,155,
2014-02-12,20,
2014-02-13,38,
2014-02-14,43,
2014-02-15,20,
2014-02-16,49,
2014-02-17,12,
2014-02-19,1,
2014-02-20,13,
2014-02-21,33,
2014-02-22,43,
2014-02-23,13,
2014-02-24,50,
2014-02-25,25,
2014-02-26,21,
2014-02-27,10,
2014-02-28,16,
2014-03-01,31,
2014-03-02,41,
2014-03-03,115,
2014-03-04,158,
2014-03-05,48,
2014-03-06,144,
2014-03-07,94,
2014-03-09,6,
2014-03-10,74,
2014-03-11,134,
2014-03-12,74,
2014-03-13,120,
2014-03-14,82,
2014-03-15,108,
2014-03-16,216,
2014-03-17,346,
2014-03-18,29,
2014-03-21,90,
2014-03-22,48,
2014-03-23,40,
2014-03-24,58,
2014-03-25,27,
2014-03-26,70,
2014-03-27,144,
2014-03-28,45,
2014-03-29,60,
2014-03-30,55,
2014-03-31,43,
2014-04-01,45,
2014-04-02,96,
2014-04-03,55,
2014-04-04,37,
2014-04-05,45,
2014-04-06,16,
2014-04-08,39,
2014-04-09,25,
2014-04-10,32,
2014-04-11,34,
2014-04-14,18,
2014-04-16,24,
2014-04-17,92,
2014-04-18,103,
2014-04-19,28,
2014-04-23,109,
2014-04-24,111,
2014-04-25,154,
2014-04-26,126,
2014-04-27,170,
2014-04-28,211,
2014-04-29,142,
2014-04-30,79,
2014-05-01,153,
2014-05-02,223,
2014-05-03,133,
2014-05-04,142,
2014-05-05,294,
2014-05-06,232,
2014-05-07,259,
2014-05-08,189,
2014-05-09,139,
2014-05-11,5,
2014-05-12,2,
2014-05-14,8,
2014-05-16,2,
2014-05-20,23,
2014-05-22,630,
2014-05-23,1148,
2014-05-24,1677,
2014-05-25,712,
2014-05-26,518,
2014-05-27,238,
2014-05-28,200,
2014-05-29,2751,
2014-05-30,1949,
2014-05-31,428,
2014-06-01,268,
2014-06-02,184,
2014-06-03,264,
2014-06-04,133,
2014-06-05,77,
2014-06-06,168,
2014-06-07,163,
2014-06-08,180,
2014-06-09,227,
2014-06-10,372,
2014-06-11,460,
2014-06-12,420,
2014-06-13,246,
2014-06-14,183,
2014-06-15,135,
2014-06-16,39,
2014-06-17,10,
2014-06-18,2,
2014-09-15,134,
2014-09-16,246,
2014-09-17,187,
2014-09-18,203,
2014-09-19,185,
2014-09-20,14,
2014-09-23,190,
2014-09-24,171,
2014-09-25,362,
2014-09-26,195,
2014-09-27,227,
2014-09-28,336,
2014-09-29,237,
2014-09-30,116,
2014-10-01,59,
2014-10-07,60,
2014-10-08,224,
2014-10-09,212,
2014-10-10,345,
2014-10-11,280,
2014-10-14,1375,
2014-10-15,437,
2014-10-16,2760,
2014-10-17,1124,
2014-10-18,481,
2014-10-19,448,
2014-10-21,167,
2014-10-22,387,
2014-10-23,295,
2014-10-24,66,
2014-10-25,150,
2014-10-26,203,
2014-10-27,186,
2014-10-28,110,
2014-10-29,219,
