Date,Count
2013-09-25,3
2013-09-26,3
2013-09-30,2
2013-10-02,5
2013-10-03,10
2013-10-04,5
2013-10-05,1
2013-10-06,38
2013-10-07,74
2013-10-08,7
2013-10-09,46
2013-10-10,23
2013-10-11,7
2013-10-12,9
2013-10-13,10
2013-10-14,4
2013-10-18,5
2013-10-19,5
2013-10-20,7
2013-10-21,5
2013-10-22,5
2013-10-23,6
2013-10-24,12
2013-10-25,27
2013-10-26,49
2013-10-27,26
2013-10-28,14
2013-10-29,21
2013-10-30,5
2013-10-31,2
2013-11-01,4
2013-11-02,5
2013-11-03,2
2013-11-04,1
2013-11-05,1
2013-11-06,3
2013-11-07,21
2013-11-08,9
2013-11-09,3
2013-11-10,1
2013-11-11,1
2013-11-12,4
2013-11-13,3
2013-11-14,5
2013-11-16,4
2013-11-17,3
2013-11-18,1
2013-11-19,13
2013-11-22,2
2013-11-23,3
2013-11-24,3
2013-11-25,4
2013-11-26,5
2013-11-27,1
2013-11-28,1
2013-11-29,1
2013-11-30,3
2013-12-01,1
2013-12-03,1
2013-12-04,1
2013-12-05,1
2013-12-06,2
2013-12-07,1
2013-12-08,1
2013-12-09,2
2013-12-10,2
2013-12-11,1
2013-12-12,2
2013-12-15,1
2013-12-16,1
2013-12-17,16
2013-12-18,6
2013-12-19,23
2013-12-23,3
2013-12-24,2
2013-12-25,1
2014-01-04,3
2014-01-07,2
2014-01-08,7
2014-01-10,4
2014-01-11,2
2014-01-12,4
2014-01-13,134
2014-01-14,18
2014-01-15,10
2014-01-16,12
2014-01-20,4
2014-01-21,6
2014-01-22,2
2014-01-23,8
2014-01-24,4
2014-01-27,64
2014-01-28,2
2014-01-29,8
2014-01-31,8
2014-02-02,4
2014-02-03,4
2014-02-04,6
2014-02-05,1
2014-02-06,1
2014-02-07,2
