Date,Count,Unnamed: 0.1
2013-09-24,2,9.0
2013-09-25,6,8.0
2013-09-26,1,
2013-09-27,1,
2013-09-28,1,
2013-09-29,6,
2013-09-30,4,
2013-10-02,1,
2013-10-04,5,3.0
2013-10-05,3,2.0
2013-10-06,2,1.0
2013-10-07,2,0.0
2013-10-08,10,7.0
2013-10-09,1,6.0
2013-10-10,1,4.0
2013-10-11,2,5.0
2013-10-12,5,
2013-10-13,9,
2013-10-14,1,
2013-10-18,3,
2013-10-19,2,
2013-10-20,1,
2013-10-21,3,
2013-10-22,2,
2013-10-23,6,
2013-10-24,1,
2013-10-25,1,
2013-10-26,4,
2013-10-27,2,
2013-10-28,1,
2013-10-30,6,
2013-10-31,10,
2013-11-01,1,
2013-11-02,3,
2013-11-03,6,
2013-11-04,2,
2013-11-05,1,
2013-11-06,1,
2013-11-07,2,
2013-11-08,26,
2013-11-10,5,
2013-11-11,1,
2013-11-13,2,
2013-11-14,6,
2013-11-15,3,
2013-11-16,1,
2013-11-17,3,
2013-11-19,4,
2013-11-20,12,
2013-11-22,2,
2013-11-23,5,
2013-11-24,2,
2013-11-25,2,
2013-11-26,4,
2013-11-28,1,
2013-11-29,3,
2013-11-30,6,
2013-12-01,2,
2013-12-02,3,
2013-12-03,1,
2013-12-04,4,
2013-12-05,2,
2013-12-06,1,
2013-12-07,2,
2013-12-08,1,
2013-12-09,3,
2013-12-10,5,
2013-12-12,3,
2013-12-13,2,
2013-12-14,1,
2013-12-16,1,
2013-12-17,1,
2013-12-18,1,
2013-12-19,1,
2013-12-23,2,
2013-12-26,3,
2014-01-03,2,
2014-01-04,1,
2014-01-05,1,
2014-01-06,1,
2014-01-07,1,
2014-01-09,4,
2014-01-10,6,
2014-01-12,3,
2014-01-13,3,
2014-01-14,2,
2014-01-15,1,
2014-01-16,2,
2014-01-20,4,
2014-01-21,3,
2014-01-22,2,
2014-01-23,2,
2014-01-25,1,
2014-01-27,3,
2014-01-28,14,
2014-01-29,16,
2014-01-30,4,
2014-01-31,9,
2014-02-01,21,
2014-02-02,15,
2014-02-03,3,
2014-02-04,2,
2014-02-05,23,
2014-02-06,2,
2014-02-08,5,
2014-02-10,4,
2014-02-11,3,
2014-02-12,1,
2014-02-13,5,
2014-02-14,2,
2014-02-15,1,
2014-02-16,6,
2014-02-20,2,
2014-02-21,8,
2014-02-22,3,
2014-02-23,1,
2014-02-24,8,
2014-02-25,2,
2014-02-26,3,
2014-02-27,4,
2014-02-28,1,
2014-03-01,10,
2014-03-02,5,
2014-03-03,2,
2014-03-04,3,
2014-03-05,2,
2014-03-06,7,
2014-03-07,21,
2014-03-10,10,
2014-03-11,24,
2014-03-12,2,
2014-03-13,40,
2014-03-14,6,
2014-03-15,2,
2014-03-17,8,
2014-03-21,15,
2014-03-22,1,
2014-03-23,1,
2014-03-24,40,
2014-03-25,12,
2014-03-26,12,
2014-03-27,5,
2014-03-28,19,
2014-03-29,2,
2014-03-30,7,
2014-03-31,14,
2014-04-01,8,
2014-04-04,3,
2014-04-05,1,
2014-04-06,1,
2014-04-08,1,
2014-04-09,2,
2014-04-10,1,
2014-04-11,5,
2014-04-16,12,
2014-04-17,43,
2014-04-18,19,
2014-04-19,9,
2014-04-23,18,
2014-04-24,10,
2014-04-25,24,
2014-04-26,27,
2014-04-27,17,
2014-04-28,10,
2014-04-29,32,
2014-04-30,29,
2014-05-01,28,
2014-05-02,23,
2014-05-03,28,
2014-05-04,59,
2014-05-05,41,
2014-05-06,21,
2014-05-07,32,
2014-05-08,18,
2014-05-09,22,
2014-05-14,2,
2014-05-20,3,
2014-05-22,15,
2014-05-23,46,
2014-05-24,129,
2014-05-25,45,
2014-05-26,24,
2014-05-27,19,
2014-05-28,58,
2014-05-29,76,
2014-05-30,25,
2014-05-31,25,
2014-06-01,18,
2014-06-02,32,
2014-06-03,27,
2014-06-04,16,
2014-06-05,4,
2014-06-06,34,
2014-06-07,28,
2014-06-08,20,
2014-06-09,67,
2014-06-10,44,
2014-06-11,82,
2014-06-12,110,
2014-06-13,42,
2014-06-14,24,
2014-06-15,15,
2014-06-16,13,
2014-06-17,6,
2014-09-15,15,
2014-09-16,11,
2014-09-17,10,
2014-09-18,8,
2014-09-19,11,
2014-09-23,22,
2014-09-24,20,
2014-09-25,86,
2014-09-26,43,
2014-09-27,18,
2014-09-28,11,
2014-09-29,21,
2014-09-30,52,
2014-10-01,15,
2014-10-07,14,
2014-10-08,8,
2014-10-09,2,
2014-10-10,49,
2014-10-11,18,
2014-10-14,28,
2014-10-15,6,
2014-10-16,22,
2014-10-17,47,
2014-10-18,11,
2014-10-19,3,
2014-10-21,15,
2014-10-22,36,
2014-10-23,280,
2014-10-24,5,
2014-10-25,8,
2014-10-26,2,
2014-10-27,10,
2014-10-28,5,
2014-10-29,2,
