Date,Count,Unnamed: 0.1
2013-09-25,10,8.0
2013-09-26,3,
2013-09-27,7,
2013-09-28,4,
2013-09-29,11,
2013-09-30,4,
2013-10-01,2,
2013-10-02,9,
2013-10-03,4,
2013-10-04,4,3.0
2013-10-05,8,2.0
2013-10-06,7,1.0
2013-10-07,10,0.0
2013-10-08,4,7.0
2013-10-09,5,6.0
2013-10-10,7,4.0
2013-10-11,9,5.0
2013-10-12,6,
2013-10-13,12,
2013-10-14,7,
2013-10-15,1,
2013-10-18,1,
2013-10-19,30,
2013-10-20,8,
2013-10-21,7,
2013-10-22,8,
2013-10-23,5,
2013-10-24,2,
2013-10-25,6,
2013-10-26,8,
2013-10-27,5,
2013-10-28,3,
2013-10-29,4,
2013-10-30,12,
2013-10-31,7,
2013-11-01,6,
2013-11-02,10,
2013-11-03,8,
2013-11-04,3,
2013-11-05,1,
2013-11-06,3,
2013-11-07,3,
2013-11-08,3,
2013-11-09,3,
2013-11-10,34,
2013-11-11,10,
2013-11-12,12,
2013-11-13,2,
2013-11-14,43,
2013-11-15,1,
2013-11-16,1,
2013-11-17,2,
2013-11-18,1,
2013-11-19,1,
2013-11-20,4,
2013-11-22,4,
2013-11-24,6,
2013-11-25,12,
2013-11-28,17,
2013-11-29,7,
2013-11-30,5,
2013-12-01,10,
2013-12-02,2,
2013-12-03,3,
2013-12-04,7,
2013-12-05,2,
2013-12-06,2,
2013-12-07,6,
2013-12-08,5,
2013-12-09,1,
2013-12-10,26,
2013-12-11,3,
2013-12-12,4,
2013-12-14,2,
2013-12-15,2,
2013-12-16,8,
2013-12-17,4,
2013-12-18,8,
2013-12-19,4,
2013-12-20,1,
2013-12-23,2,
2013-12-24,6,
2013-12-25,5,
2013-12-26,6,
2013-12-27,3,
2014-01-03,3,
2014-01-04,5,
2014-01-05,7,
2014-01-06,3,
2014-01-07,5,
2014-01-08,5,
2014-01-09,3,
2014-01-10,15,
2014-01-11,5,
2014-01-12,5,
2014-01-13,9,
2014-01-14,2,
2014-01-15,7,
2014-01-16,27,
2014-01-20,5,
2014-01-21,4,
2014-01-22,4,
2014-01-23,6,
2014-01-24,4,
2014-01-25,1,
2014-01-27,4,
2014-01-28,2,
2014-01-29,2,
2014-01-30,1,
2014-01-31,5,
2014-02-01,11,
2014-02-02,9,
2014-02-03,1,
2014-02-04,2,
2014-02-06,3,
2014-02-07,1,
2014-02-08,6,
2014-02-10,2,
2014-02-11,1,
2014-02-12,11,
2014-02-13,8,
2014-02-14,2,
2014-02-15,16,
2014-02-16,7,
2014-02-17,1,
2014-02-20,6,
2014-02-21,3,
2014-02-22,4,
2014-02-23,4,
2014-02-24,4,
2014-02-25,1,
2014-02-26,2,
2014-02-28,2,
2014-03-01,4,
2014-03-02,5,
2014-03-03,6,
2014-03-04,6,
2014-03-05,6,
2014-03-06,5,
2014-03-07,3,
2014-03-09,2,
2014-03-10,14,
2014-03-11,6,
2014-03-12,10,
2014-03-13,16,
2014-03-14,6,
2014-03-15,16,
2014-03-16,10,
2014-03-17,6,
2014-03-18,1,
2014-03-21,10,
2014-03-22,3,
2014-03-23,5,
2014-03-25,1,
2014-03-26,5,
2014-03-27,6,
2014-03-28,6,
2014-03-29,3,
2014-03-31,1,
2014-04-01,4,
2014-04-02,4,
2014-04-03,14,
2014-04-04,7,
2014-04-05,18,
2014-04-06,5,
2014-04-08,29,
2014-04-09,29,
2014-04-10,33,
2014-04-11,21,
2014-04-14,20,
2014-04-16,50,
2014-04-17,154,
2014-04-18,125,
2014-04-19,18,
2014-04-23,93,
2014-04-24,87,
2014-04-25,136,
2014-04-26,169,
2014-04-27,115,
2014-04-28,118,
2014-04-29,121,
2014-04-30,101,
2014-05-01,106,
2014-05-02,50,
2014-05-03,76,
2014-05-04,61,
2014-05-05,51,
2014-05-06,46,
2014-05-07,53,
2014-05-08,43,
2014-05-09,14,
2014-05-13,3,
2014-05-14,9,
2014-05-20,3,
2014-05-22,19,
2014-05-23,90,
2014-05-24,353,
2014-05-25,275,
2014-05-26,690,
2014-05-27,69,
2014-05-28,42,
2014-05-29,56,
2014-05-30,73,
2014-05-31,75,
2014-06-01,68,
2014-06-02,70,
2014-06-03,52,
2014-06-04,44,
2014-06-05,19,
2014-06-06,51,
2014-06-07,96,
2014-06-08,45,
2014-06-09,117,
2014-06-10,148,
2014-06-11,162,
2014-06-12,114,
2014-06-13,72,
2014-06-14,46,
2014-06-15,36,
2014-06-16,9,
2014-06-17,5,
2014-09-15,7,
2014-09-16,12,
2014-09-17,20,
2014-09-18,18,
2014-09-19,26,
2014-09-20,2,
2014-09-23,12,
2014-09-24,6,
2014-09-25,50,
2014-09-26,15,
2014-09-27,20,
2014-09-28,27,
2014-09-29,19,
2014-09-30,14,
2014-10-01,8,
2014-10-07,3,
2014-10-08,9,
2014-10-09,23,
2014-10-10,24,
2014-10-11,32,
2014-10-14,11,
2014-10-15,43,
2014-10-16,34,
2014-10-17,17,
2014-10-18,26,
2014-10-19,30,
2014-10-21,21,
2014-10-22,32,
2014-10-23,16,
2014-10-24,12,
2014-10-25,12,
2014-10-26,5,
2014-10-27,6,
2014-10-28,7,
2014-10-29,10,
