Date,Count,Unnamed: 0.1
2013-09-24,22,9.0
2013-09-25,7,8.0
2013-09-27,2,
2013-09-28,2,
2013-09-30,27,
2013-10-01,9,
2013-10-02,6,
2013-10-03,3,
2013-10-04,4,3.0
2013-10-05,8,2.0
2013-10-06,5,1.0
2013-10-07,5,0.0
2013-10-08,5,7.0
2013-10-09,15,6.0
2013-10-10,27,4.0
2013-10-11,38,5.0
2013-10-12,8,
2013-10-13,7,
2013-10-14,3,
2013-10-18,15,
2013-10-19,27,
2013-10-20,11,
2013-10-21,31,
2013-10-22,15,
2013-10-23,11,
2013-10-24,5,
2013-10-25,23,
2013-10-26,15,
2013-10-27,17,
2013-10-28,39,
2013-10-29,36,
2013-10-30,37,
2013-10-31,7,
2013-11-01,26,
2013-11-02,34,
2013-11-03,39,
2013-11-04,51,
2013-11-06,21,
2013-11-07,12,
2013-11-08,5,
2013-11-09,34,
2013-11-10,30,
2013-11-11,26,
2013-11-12,27,
2013-11-13,28,
2013-11-14,21,
2013-11-15,43,
2013-11-16,30,
2013-11-17,4,
2013-11-18,2,
2013-11-19,1,
2013-11-20,4,
2013-11-22,1,
2013-11-23,21,
2013-11-24,25,
2013-11-25,46,
2013-11-26,44,
2013-11-27,16,
2013-11-28,2,
2013-11-29,24,
2013-11-30,18,
2013-12-01,17,
2013-12-02,25,
2013-12-03,30,
2013-12-04,9,
2013-12-05,24,
2013-12-06,46,
2013-12-07,14,
2013-12-08,34,
2013-12-09,7,
2013-12-10,5,
2013-12-11,8,
2013-12-12,42,
2013-12-13,21,
2013-12-14,9,
2013-12-15,19,
2013-12-16,1,
2013-12-17,16,
2013-12-18,27,
2013-12-19,23,
2013-12-23,5,
2013-12-24,1,
2013-12-25,33,
2013-12-26,31,
2013-12-27,28,
2014-01-03,4,
2014-01-04,2,
2014-01-05,38,
2014-01-06,31,
2014-01-07,48,
2014-01-08,5,
2014-01-09,29,
2014-01-10,61,
2014-01-11,39,
2014-01-12,37,
2014-01-13,5,
2014-01-14,1,
2014-01-15,10,
2014-01-16,6,
2014-01-20,5,
2014-01-21,4,
2014-01-22,3,
2014-01-23,6,
2014-01-24,4,
2014-01-25,2,
2014-01-27,2,
2014-01-28,1,
2014-01-29,1,
2014-01-30,1,
2014-01-31,6,
2014-02-01,8,
2014-02-02,4,
2014-02-03,2,
2014-02-04,2,
2014-02-05,8,
2014-02-06,5,
2014-02-07,11,
2014-02-08,4,
2014-02-11,1,
2014-02-12,1,
2014-02-14,2,
2014-02-15,1,
2014-02-16,1,
2014-02-20,2,
2014-02-21,2,
2014-02-22,2,
2014-02-23,3,
2014-02-24,1,
2014-02-25,4,
2014-02-26,1,
2014-02-27,1,
2014-02-28,1,
2014-03-01,2,
2014-03-02,1,
2014-03-03,7,
2014-03-05,3,
2014-03-06,4,
2014-03-10,3,
2014-03-11,12,
2014-03-12,6,
2014-03-13,9,
2014-03-14,3,
2014-03-15,3,
2014-03-16,12,
2014-03-17,9,
2014-03-18,2,
2014-03-21,1,
2014-03-23,1,
2014-03-25,4,
2014-03-29,4,
2014-03-30,2,
2014-04-01,2,
2014-04-02,3,
2014-04-03,3,
2014-04-04,4,
2014-04-05,4,
2014-04-08,2,
2014-04-09,1,
2014-04-10,1,
2014-04-11,1,
2014-04-16,6,
2014-04-17,9,
2014-04-18,10,
2014-04-19,3,
2014-04-23,9,
2014-04-24,21,
2014-04-25,36,
2014-04-26,48,
2014-04-27,21,
2014-04-28,7,
2014-04-29,11,
2014-04-30,12,
2014-05-01,8,
2014-05-02,10,
2014-05-03,14,
2014-05-04,28,
2014-05-05,5,
2014-05-06,7,
2014-05-07,5,
2014-05-08,10,
2014-05-09,3,
2014-05-14,8,
2014-05-22,15,
2014-05-23,2,
2014-05-24,8,
2014-05-25,14,
2014-05-26,4,
2014-05-27,8,
2014-05-28,35,
2014-05-29,22,
2014-05-30,11,
2014-05-31,11,
2014-06-01,12,
2014-06-02,36,
2014-06-03,9,
2014-06-04,1,
2014-06-05,4,
2014-06-06,13,
2014-06-07,16,
2014-06-08,6,
2014-06-09,15,
2014-06-10,24,
2014-06-11,80,
2014-06-12,76,
2014-06-13,37,
2014-06-14,7,
2014-06-15,6,
2014-06-16,1,
2014-09-15,14,
2014-09-16,2,
2014-09-17,13,
2014-09-18,8,
2014-09-19,4,
2014-09-23,3,
2014-09-24,6,
2014-09-25,8,
2014-09-26,14,
2014-09-27,9,
2014-09-28,10,
2014-09-29,7,
2014-09-30,22,
2014-10-01,5,
2014-10-07,2,
2014-10-08,8,
2014-10-09,5,
