Date,Count
2013-09-24 00:00:00,757
2013-09-25 00:00:00,1005
2013-09-26 00:00:00,1140
2013-09-27 00:00:00,896
2013-09-28 00:00:00,1558
2013-09-29 00:00:00,1556
2013-09-30 00:00:00,1362
2013-10-01 00:00:00,896
2013-10-02 00:00:00,1604
2013-10-03 00:00:00,1191
2013-10-04 00:00:00,778
2013-10-05 00:00:00,861
2013-10-06 00:00:00,854
2013-10-07 00:00:00,928
2013-10-08 00:00:00,911
2013-10-09 00:00:00,1118
2013-10-10 00:00:00,938
2013-10-11 00:00:00,1406
2013-10-12 00:00:00,1164
2013-10-13 00:00:00,975
2013-10-14 00:00:00,1772
2013-10-15 00:00:00,1507
2013-10-16 00:00:00,1242
2013-10-17 00:00:00,977
2013-10-18 00:00:00,712
2013-10-19 00:00:00,945
2013-10-20 00:00:00,683
2013-10-21 00:00:00,698
2013-10-22 00:00:00,754
2013-10-23 00:00:00,1031
2013-10-24 00:00:00,555
2013-10-25 00:00:00,1670
2013-10-26 00:00:00,1875
2013-10-27 00:00:00,1770
2013-10-28 00:00:00,1212
2013-10-29 00:00:00,2980
2013-10-30 00:00:00,2090
2013-10-31 00:00:00,1587
2013-11-01 00:00:00,1200
2013-11-02 00:00:00,1182
2013-11-03 00:00:00,989
2013-11-04 00:00:00,698
2013-11-05 00:00:00,266
2013-11-06 00:00:00,844
2013-11-07 00:00:00,803
2013-11-08 00:00:00,667
2013-11-09 00:00:00,605
2013-11-10 00:00:00,1550
2013-11-11 00:00:00,989
2013-11-12 00:00:00,1078
2013-11-13 00:00:00,911
2013-11-14 00:00:00,1035
2013-11-15 00:00:00,531
2013-11-16 00:00:00,1418
2013-11-17 00:00:00,1613
2013-11-18 00:00:00,1534
2013-11-19 00:00:00,2573
2013-11-20 00:00:00,3424
2013-11-21 00:00:00,2651
2013-11-22 00:00:00,1878
2013-11-23 00:00:00,1105
2013-11-24 00:00:00,2321
2013-11-25 00:00:00,955
2013-11-26 00:00:00,1956
2013-11-27 00:00:00,644
2013-11-28 00:00:00,692
2013-11-29 00:00:00,1095
2013-11-30 00:00:00,746
2013-12-01 00:00:00,940
2013-12-02 00:00:00,1314
2013-12-03 00:00:00,946
2013-12-04 00:00:00,1763
2013-12-05 00:00:00,7973
2013-12-06 00:00:00,5623
2013-12-07 00:00:00,1869
2013-12-08 00:00:00,1170
2013-12-09 00:00:00,1149
2013-12-10 00:00:00,1500
2013-12-11 00:00:00,2018
2013-12-12 00:00:00,1929
2013-12-13 00:00:00,2712
2013-12-14 00:00:00,2160
2013-12-15 00:00:00,1302
2013-12-16 00:00:00,1430
2013-12-17 00:00:00,1566
2013-12-18 00:00:00,1332
2013-12-19 00:00:00,3551
2013-12-20 00:00:00,2920
2013-12-21 00:00:00,2289
2013-12-22 00:00:00,1658
2013-12-23 00:00:00,1027
2013-12-24 00:00:00,520
2013-12-25 00:00:00,1069
2013-12-26 00:00:00,630
2013-12-27 00:00:00,633
2013-12-28 00:00:00,636
2013-12-29 00:00:00,639
2013-12-30 00:00:00,643
2013-12-31 00:00:00,646
2014-01-01 00:00:00,649
2014-01-02 00:00:00,652
2014-01-03 00:00:00,656
2014-01-04 00:00:00,1454
2014-01-05 00:00:00,882
2014-01-06 00:00:00,924
2014-01-07 00:00:00,932
2014-01-08 00:00:00,4896
2014-01-09 00:00:00,19266
2014-01-10 00:00:00,4502
2014-01-11 00:00:00,2464
2014-01-12 00:00:00,2822
2014-01-13 00:00:00,2086
2014-01-14 00:00:00,2608
2014-01-15 00:00:00,3138
2014-01-16 00:00:00,3420
2014-01-17 00:00:00,4014
2014-01-18 00:00:00,4609
2014-01-19 00:00:00,5203
2014-01-20 00:00:00,5798
2014-01-21 00:00:00,8026
2014-01-22 00:00:00,3776
2014-01-23 00:00:00,3528
2014-01-24 00:00:00,3016
2014-01-25 00:00:00,2558
2014-01-26 00:00:00,2101
2014-01-27 00:00:00,1644
2014-01-28 00:00:00,3496
2014-01-29 00:00:00,5624
2014-01-30 00:00:00,2014
2014-01-31 00:00:00,2888
2014-02-01 00:00:00,2680
2014-02-02 00:00:00,5920
2014-02-03 00:00:00,4528
2014-02-04 00:00:00,4614
2014-02-05 00:00:00,3555
2014-02-06 00:00:00,8199
2014-02-07 00:00:00,5736
2014-02-08 00:00:00,3048
2014-02-09 00:00:00,3291
2014-02-10 00:00:00,3534
2014-02-11 00:00:00,1599
2014-02-12 00:00:00,1432
2014-02-13 00:00:00,2324
2014-02-14 00:00:00,2326
2014-02-15 00:00:00,3856
2014-02-16 00:00:00,2366
2014-02-17 00:00:00,706
2014-02-18 00:00:00,984
2014-02-19 00:00:00,1263
2014-02-20 00:00:00,1542
2014-02-21 00:00:00,3120
2014-02-22 00:00:00,3058
2014-02-23 00:00:00,2944
2014-02-24 00:00:00,1278
2014-02-25 00:00:00,1392
2014-02-26 00:00:00,1506
2014-02-27 00:00:00,1620
2014-02-28 00:00:00,1735
2014-03-01 00:00:00,1849
2014-03-02 00:00:00,1963
2014-03-03 00:00:00,2078
2014-03-04 00:00:00,2196
