Date,Count,Unnamed: 0.1
2013-09-29,1,
2013-10-01,1,
2013-10-04,2,2.0
2013-10-07,4,0.0
2013-10-10,1,1.0
2013-10-11,1,3.0
2013-10-12,10,
2013-10-13,3,
2013-10-18,1,
2013-10-20,1,
2013-10-22,1,
2013-10-27,1,
2013-10-31,2,
2013-11-03,3,
2013-11-10,1,
2013-11-11,8,
2013-11-12,2,
2013-11-19,3,
2013-11-20,1,
2013-11-22,2,
2013-11-23,224,
2013-11-24,65,
2013-11-25,31,
2013-11-26,13,
2013-11-27,11,
2013-11-28,9,
2013-11-29,12,
2013-11-30,5,
2013-12-01,1,
2013-12-02,7,
2013-12-03,5,
2013-12-04,2,
2013-12-05,3,
2013-12-07,14,
2013-12-08,10,
2013-12-09,5,
2013-12-10,5,
2013-12-11,3,
2013-12-12,1,
2013-12-13,20,
2013-12-14,26,
2013-12-15,8,
2013-12-16,6,
2013-12-17,2,
2013-12-18,5,
2013-12-23,5,
2013-12-24,1,
2013-12-26,1,
2014-01-03,1,
2014-01-05,2,
2014-01-06,4,
2014-01-07,1,
2014-01-09,3,
2014-01-10,11,
2014-01-11,4,
2014-01-13,1,
2014-01-14,1,
2014-01-15,1,
2014-01-20,1,
2014-01-22,3,
2014-01-23,1,
2014-01-29,1,
2014-01-30,1,
2014-01-31,1,
2014-02-02,1,
2014-02-12,3,
2014-02-14,1,
2014-02-15,1,
2014-02-20,1,
2014-02-21,1,
2014-02-28,3,
2014-03-01,1,
2014-03-05,1,
2014-03-09,5,
2014-03-11,5,
2014-03-22,3,
2014-04-05,2,
2014-04-08,2,
2014-04-09,4,
2014-04-10,1,
2014-04-16,4,
2014-04-23,18,
2014-04-24,1,
2014-04-25,2,
2014-04-26,3,
2014-04-27,1,
2014-04-28,8,
2014-04-30,2,
2014-05-01,1,
2014-05-02,2,
2014-05-03,13,
2014-05-04,30,
2014-05-05,5,
2014-05-06,6,
2014-05-07,1,
2014-05-09,3,
2014-05-22,1,
2014-05-24,16,
2014-05-26,5,
2014-05-27,2,
2014-05-29,1,
2014-06-01,4,
2014-06-02,2,
2014-06-04,2,
2014-06-06,1,
2014-06-07,5,
2014-06-08,1,
2014-06-09,3,
2014-06-10,2,
2014-06-11,4,
2014-06-12,2,
2014-06-13,6,
2014-06-14,2,
2014-06-17,2,
2014-09-15,6,
2014-09-16,6,
2014-09-17,2,
2014-09-18,6,
2014-09-19,2,
2014-09-25,4,
2014-09-27,17,
2014-09-28,1,
2014-09-30,16,
