Date,Count,Unnamed: 0.1
2013-09-24 00:00:00,64,9.0
2013-09-25 00:00:00,201,8.0
2013-09-26 00:00:00,2121,
2013-09-27 00:00:00,13072,
2013-09-28 00:00:00,7336,
2013-09-29 00:00:00,12284,
2013-09-30 00:00:00,12080,
2013-10-01 00:00:00,907,
2013-10-02 00:00:00,1641,
2013-10-03 00:00:00,901,
2013-10-04 00:00:00,162,3.0
2013-10-05 00:00:00,351,2.0
2013-10-06 00:00:00,190,1.0
2013-10-07 00:00:00,128,0.0
2013-10-08 00:00:00,349,7.0
2013-10-09 00:00:00,355,6.0
2013-10-10 00:00:00,253,4.0
2013-10-11 00:00:00,233,5.0
2013-10-12 00:00:00,127,
2013-10-13 00:00:00,110,
2013-10-14 00:00:00,89,
2013-10-15 00:00:00,83,
2013-10-16 00:00:00,78,
2013-10-17 00:00:00,72,
2013-10-18 00:00:00,67,
2013-10-19 00:00:00,249,
2013-10-20 00:00:00,133,
2013-10-21 00:00:00,88,
2013-10-22 00:00:00,110,
2013-10-23 00:00:00,100,
2013-10-24 00:00:00,21,
2013-10-25 00:00:00,38,
2013-10-26 00:00:00,128,
2013-10-27 00:00:00,86,
2013-10-28 00:00:00,163,
2013-10-29 00:00:00,70,
2013-10-30 00:00:00,125,
2013-10-31 00:00:00,102,
2013-11-01 00:00:00,101,
2013-11-02 00:00:00,79,
2013-11-03 00:00:00,54,
2013-11-04 00:00:00,71,
2013-11-05 00:00:00,11,
2013-11-06 00:00:00,112,
2013-11-07 00:00:00,94,
2013-11-08 00:00:00,138,
2013-11-09 00:00:00,148,
2013-11-10 00:00:00,82,
2013-11-11 00:00:00,79,
2013-11-12 00:00:00,100,
2013-11-13 00:00:00,88,
2013-11-14 00:00:00,80,
2013-11-15 00:00:00,39,
2013-11-16 00:00:00,102,
2013-11-17 00:00:00,98,
2013-11-18 00:00:00,9,
2013-11-19 00:00:00,19,
2013-11-20 00:00:00,148,
2013-11-21 00:00:00,165,
2013-11-22 00:00:00,182,
2013-11-23 00:00:00,199,
2013-11-24 00:00:00,107,
2013-11-25 00:00:00,110,
2013-11-26 00:00:00,59,
2013-11-27 00:00:00,48,
2013-11-28 00:00:00,78,
2013-11-29 00:00:00,135,
2013-11-30 00:00:00,148,
2013-12-01 00:00:00,94,
2013-12-02 00:00:00,102,
2013-12-03 00:00:00,127,
2013-12-04 00:00:00,244,
2013-12-05 00:00:00,257,
2013-12-06 00:00:00,335,
2013-12-07 00:00:00,120,
2013-12-08 00:00:00,318,
2013-12-09 00:00:00,543,
2013-12-10 00:00:00,164,
2013-12-11 00:00:00,232,
2013-12-12 00:00:00,296,
2013-12-13 00:00:00,322,
2013-12-14 00:00:00,139,
2013-12-15 00:00:00,126,
2013-12-16 00:00:00,192,
