Date,Count
2013-09-24,2
2013-09-25,3
2013-09-26,6
2013-09-27,21
2013-09-28,12
2013-09-29,19
2013-09-30,12
2013-10-01,12
2013-10-02,28
2013-10-03,6
2013-10-04,35
2013-10-05,26
2013-10-06,7
2013-10-07,18
2013-10-08,13
2013-10-09,11
2013-10-10,85
2013-10-11,45
2013-10-12,28
2013-10-13,36
2013-10-14,14
2013-10-18,18
2013-10-19,14
2013-10-20,44
2013-10-21,17
2013-10-22,38
2013-10-23,23
2013-10-24,4
2013-10-25,5
2013-10-26,11
2013-10-27,14
2013-10-28,14
2013-10-29,5
2013-10-30,6
2013-10-31,9
2013-11-01,15
2013-11-02,21
2013-11-03,13
2013-11-04,21
2013-11-05,1
2013-11-06,30
2013-11-07,17
2013-11-08,18
2013-11-09,8
2013-11-10,13
2013-11-11,22
2013-11-12,38
2013-11-13,16
2013-11-14,14
2013-11-15,7
2013-11-16,9
2013-11-17,16
2013-11-18,21
2013-11-19,125
2013-11-20,68
2013-11-22,7
2013-11-23,14
2013-11-24,12
2013-11-25,23
2013-11-26,33
2013-11-27,9
2013-11-28,8
2013-11-29,25
2013-11-30,12
2013-12-01,4
2013-12-02,12
2013-12-03,7
2013-12-04,8
2013-12-05,14
2013-12-06,11
2013-12-07,33
2013-12-08,18
2013-12-09,9
2013-12-10,3
2013-12-11,44
2013-12-12,18
2013-12-13,9
2013-12-14,13
2013-12-15,12
2013-12-16,16
2013-12-17,14
2013-12-18,13
2013-12-19,17
2013-12-22,2
2013-12-23,18
2013-12-24,11
2013-12-25,4
2013-12-26,8
2013-12-27,9
2014-01-03,10
2014-01-04,8
2014-01-05,5
2014-01-06,7
2014-01-07,5
2014-01-08,15
2014-01-09,46
2014-01-10,16
2014-01-11,18
2014-01-12,14
2014-01-13,30
2014-01-14,72
2014-01-15,44
2014-01-16,60
2014-01-20,14
2014-01-21,26
2014-01-22,30
2014-01-23,22
2014-01-24,16
2014-01-25,4
2014-01-27,14
2014-01-28,24
2014-01-29,24
2014-01-30,44
2014-01-31,36
2014-02-01,4
2014-02-02,26
2014-02-03,47
2014-02-04,153
2014-02-05,8
2014-02-06,11
2014-02-07,8
2014-02-08,4
2014-02-10,7
2014-02-11,3
