Date,Count,Unnamed: 0.1
2013-09-24,44,9.0
2013-09-25,48,8.0
2013-09-26,64,
2013-09-27,49,
2013-09-28,56,
2013-09-29,90,
2013-09-30,63,
2013-10-01,64,
2013-10-02,62,
2013-10-03,22,
2013-10-04,52,3.0
2013-10-05,80,2.0
2013-10-06,80,1.0
2013-10-07,36,0.0
2013-10-08,71,7.0
2013-10-09,41,6.0
2013-10-10,99,4.0
2013-10-11,63,5.0
2013-10-12,259,
2013-10-13,72,
2013-10-14,96,
2013-10-15,1,
2013-10-18,31,
2013-10-19,61,
2013-10-20,65,
2013-10-21,54,
2013-10-22,52,
2013-10-23,149,
2013-10-24,23,
2013-10-25,74,
2013-10-26,82,
2013-10-27,99,
2013-10-28,104,
2013-10-29,78,
2013-10-30,72,
2013-10-31,65,
2013-11-01,105,
2013-11-02,67,
2013-11-03,62,
2013-11-04,43,
2013-11-05,26,
2013-11-06,64,
2013-11-07,121,
2013-11-08,99,
2013-11-09,90,
2013-11-10,93,
2013-11-11,70,
2013-11-12,106,
2013-11-13,82,
2013-11-14,71,
2013-11-15,51,
2013-11-16,117,
2013-11-17,94,
2013-11-18,4,
2013-11-19,37,
2013-11-20,153,
2013-11-22,73,
2013-11-23,305,
2013-11-24,319,
2013-11-25,215,
2013-11-26,64,
2013-11-27,68,
2013-11-28,103,
2013-11-29,76,
2013-11-30,54,
2013-12-01,35,
2013-12-02,59,
2013-12-03,57,
2013-12-04,44,
2013-12-05,55,
2013-12-06,55,
2013-12-07,85,
2013-12-08,71,
2013-12-09,130,
2013-12-10,94,
2013-12-11,66,
2013-12-12,83,
2013-12-13,47,
2013-12-14,269,
2013-12-15,121,
2013-12-16,152,
2013-12-17,113,
2013-12-18,107,
2013-12-19,268,
2013-12-20,9,
2013-12-22,2,
2013-12-23,47,
2013-12-24,33,
2013-12-25,34,
2013-12-26,84,
2013-12-27,303,
2014-01-03,49,
2014-01-04,41,
2014-01-05,107,
2014-01-06,237,
2014-01-07,101,
2014-01-08,101,
2014-01-09,58,
2014-01-10,53,
2014-01-11,117,
2014-01-12,50,
2014-01-13,49,
2014-01-14,88,
2014-01-15,45,
2014-01-16,57,
2014-01-20,38,
2014-01-21,127,
2014-01-22,58,
2014-01-23,38,
2014-01-24,61,
2014-01-25,8,
2014-01-27,45,
2014-01-28,40,
2014-01-29,22,
2014-01-30,43,
2014-01-31,71,
2014-02-01,42,
2014-02-02,63,
2014-02-03,86,
2014-02-04,35,
2014-02-05,157,
2014-02-06,120,
2014-02-07,243,
2014-02-08,161,
2014-02-10,65,
2014-02-11,87,
2014-02-12,54,
2014-02-13,77,
2014-02-14,53,
2014-02-15,163,
2014-02-16,142,
2014-02-17,13,
2014-02-19,7,
2014-02-20,26,
2014-02-21,61,
2014-02-22,62,
2014-02-23,54,
2014-02-24,48,
2014-02-25,87,
2014-02-26,41,
2014-02-27,6,
2014-02-28,48,
2014-03-01,139,
2014-03-02,91,
2014-03-03,79,
2014-03-04,56,
2014-03-05,97,
2014-03-06,69,
2014-03-07,68,
2014-03-09,14,
2014-03-10,104,
2014-03-11,204,
2014-03-12,186,
2014-03-13,200,
2014-03-14,108,
2014-03-15,146,
2014-03-16,130,
2014-03-17,108,
2014-03-18,18,
2014-03-21,35,
2014-03-22,47,
2014-03-23,70,
2014-03-24,79,
2014-03-25,88,
2014-03-26,122,
2014-03-27,85,
2014-03-28,56,
2014-03-29,63,
2014-03-30,125,
2014-03-31,107,
2014-04-01,104,
2014-04-02,255,
2014-04-03,107,
2014-04-04,279,
2014-04-05,60,
2014-04-06,43,
2014-04-08,123,
2014-04-09,65,
2014-04-10,50,
2014-04-11,28,
2014-04-14,56,
2014-04-16,542,
2014-04-17,238,
2014-04-18,381,
2014-04-19,10,
2014-04-23,122,
2014-04-24,268,
2014-04-25,171,
2014-04-26,6619,
2014-04-27,445,
2014-04-28,275,
2014-04-29,205,
2014-04-30,192,
2014-05-01,349,
2014-05-02,351,
2014-05-03,210,
2014-05-04,250,
2014-05-05,371,
2014-05-06,170,
2014-05-07,313,
2014-05-08,218,
2014-05-09,102,
2014-05-13,6,
2014-05-14,4,
2014-05-20,21,
2014-05-22,88,
2014-05-23,224,
2014-05-24,131,
2014-05-25,140,
2014-05-26,138,
2014-05-27,202,
2014-05-28,166,
2014-05-29,201,
2014-05-30,639,
2014-05-31,4049,
2014-06-01,579,
2014-06-02,348,
2014-06-03,326,
2014-06-04,126,
2014-06-05,56,
2014-06-06,280,
2014-06-07,227,
2014-06-08,225,
2014-06-09,440,
2014-06-10,430,
2014-06-11,580,
2014-06-12,550,
2014-06-13,406,
2014-06-14,334,
2014-06-15,241,
2014-06-16,28,
2014-06-17,17,
2014-06-18,12,
2014-09-15,175,
2014-09-16,254,
2014-09-17,188,
2014-09-18,216,
2014-09-19,315,
2014-09-20,15,
2014-09-23,177,
2014-09-24,297,
2014-09-25,312,
2014-09-26,493,
2014-09-27,394,
2014-09-28,284,
2014-09-29,320,
2014-09-30,231,
2014-10-01,377,
2014-10-07,327,
2014-10-08,246,
2014-10-09,300,
2014-10-10,363,
2014-10-11,530,
2014-10-14,114,
2014-10-15,1043,
2014-10-16,754,
2014-10-17,336,
2014-10-18,191,
2014-10-19,365,
2014-10-21,249,
2014-10-22,240,
2014-10-23,338,
2014-10-24,99,
2014-10-25,124,
2014-10-26,87,
2014-10-27,191,
2014-10-28,207,
2014-10-29,263,
