Date,Count,Unnamed: 0.1
2013-09-24,54,9.0
2013-09-25,40,8.0
2013-09-26,19,
2013-09-27,32,
2013-09-28,22,
2013-09-29,22,
2013-09-30,42,
2013-10-01,21,
2013-10-02,25,
2013-10-03,3,
2013-10-04,22,3.0
2013-10-05,14,2.0
2013-10-06,15,1.0
2013-10-07,50,0.0
2013-10-08,12,7.0
2013-10-09,58,6.0
2013-10-10,46,4.0
2013-10-11,51,5.0
2013-10-12,48,
2013-10-13,30,
2013-10-14,22,
2013-10-15,1,
2013-10-18,9,
2013-10-19,36,
2013-10-20,42,
2013-10-21,33,
2013-10-22,39,
2013-10-23,35,
2013-10-24,6,
2013-10-25,120,
2013-10-26,171,
2013-10-27,87,
2013-10-28,23,
2013-10-29,26,
2013-10-30,21,
2013-10-31,10,
2013-11-01,23,
2013-11-02,26,
2013-11-03,19,
2013-11-04,23,
2013-11-05,1,
2013-11-06,20,
2013-11-07,24,
2013-11-08,22,
2013-11-09,13,
2013-11-10,10,
2013-11-11,11,
2013-11-12,17,
2013-11-13,39,
2013-11-14,68,
2013-11-15,15,
2013-11-16,198,
2013-11-17,23,
2013-11-19,4,
2013-11-20,421,
2013-11-22,6,
2013-11-23,319,
2013-11-24,37,
2013-11-25,44,
2013-11-26,28,
2013-11-27,22,
2013-11-28,172,
2013-11-29,71,
2013-11-30,47,
2013-12-01,12,
2013-12-02,96,
2013-12-03,14,
2013-12-04,16,
2013-12-05,21,
2013-12-06,20,
2013-12-07,17,
2013-12-08,26,
2013-12-09,28,
2013-12-10,12,
2013-12-11,126,
2013-12-12,42,
2013-12-13,17,
2013-12-14,9,
2013-12-15,22,
2013-12-16,19,
2013-12-17,18,
2013-12-18,8,
2013-12-19,14,
2013-12-22,2,
2013-12-23,8,
2013-12-24,3,
2013-12-25,23,
2013-12-26,47,
2013-12-27,19,
2014-01-03,11,
2014-01-04,8,
2014-01-05,12,
2014-01-06,12,
2014-01-07,38,
2014-01-08,27,
2014-01-09,69,
2014-01-10,21,
2014-01-11,24,
2014-01-12,335,
2014-01-13,70,
2014-01-14,23,
2014-01-15,23,
2014-01-16,19,
2014-01-20,20,
2014-01-21,13,
2014-01-22,21,
2014-01-23,54,
2014-01-24,42,
2014-01-25,3,
2014-01-27,68,
2014-01-28,37,
2014-01-29,28,
2014-01-30,33,
2014-01-31,120,
2014-02-01,10,
2014-02-02,28,
2014-02-03,96,
2014-02-04,30,
2014-02-05,10,
2014-02-06,33,
2014-02-07,93,
2014-02-08,43,
2014-02-10,109,
2014-02-11,22,
2014-02-12,19,
2014-02-13,20,
2014-02-14,8,
2014-02-15,11,
2014-02-16,42,
2014-02-17,5,
2014-02-19,1,
2014-02-20,142,
2014-02-21,70,
2014-02-22,17,
2014-02-23,40,
2014-02-24,15,
2014-02-25,16,
2014-02-26,11,
2014-02-27,6,
2014-02-28,15,
2014-03-01,8,
2014-03-02,8,
2014-03-03,22,
2014-03-04,13,
2014-03-05,18,
2014-03-06,17,
2014-03-07,20,
2014-03-09,2,
2014-03-10,30,
2014-03-11,46,
2014-03-12,34,
2014-03-13,126,
2014-03-14,60,
2014-03-15,18,
2014-03-16,42,
2014-03-17,28,
2014-03-18,16,
2014-03-21,26,
2014-03-22,38,
2014-03-23,72,
2014-03-24,20,
2014-03-25,17,
2014-03-26,26,
2014-03-27,28,
2014-03-28,21,
2014-03-29,14,
2014-03-30,9,
2014-03-31,23,
2014-04-01,21,
2014-04-02,36,
2014-04-03,76,
2014-04-04,24,
2014-04-05,20,
2014-04-06,191,
2014-04-08,21,
2014-04-09,43,
2014-04-10,46,
2014-04-11,29,
2014-04-14,32,
2014-04-16,36,
2014-04-17,118,
2014-04-18,93,
2014-04-19,4,
2014-04-23,140,
2014-04-24,201,
2014-04-25,67,
2014-04-26,91,
2014-04-27,124,
2014-04-28,242,
2014-04-29,100,
2014-04-30,123,
2014-05-01,119,
2014-05-02,1008,
2014-05-03,1368,
2014-05-04,3738,
2014-05-05,981,
2014-05-06,1182,
2014-05-07,858,
2014-05-08,162,
2014-05-09,90,
2014-05-14,2,
2014-05-20,7,
2014-05-22,55,
2014-05-23,161,
2014-05-24,124,
2014-05-25,81,
2014-05-26,151,
2014-05-27,89,
2014-05-28,94,
2014-05-29,151,
2014-05-30,171,
2014-05-31,60,
2014-06-01,131,
2014-06-02,161,
2014-06-03,275,
2014-06-04,109,
2014-06-05,84,
2014-06-06,131,
2014-06-07,86,
2014-06-08,76,
2014-06-09,361,
2014-06-10,348,
2014-06-11,858,
2014-06-12,890,
2014-06-13,577,
2014-06-14,156,
2014-06-15,911,
2014-06-16,159,
2014-06-17,32,
2014-06-18,5,
2014-09-15,85,
2014-09-16,201,
2014-09-17,573,
2014-09-18,137,
2014-09-19,176,
2014-09-20,6,
2014-09-23,101,
2014-09-24,361,
2014-09-25,79,
2014-09-26,153,
2014-09-27,160,
2014-09-28,259,
2014-09-29,143,
2014-09-30,133,
2014-10-01,55,
2014-10-07,40,
2014-10-08,91,
2014-10-09,38,
