Date,Count,Unnamed: 0.1
2013-09-24,88,9.0
2013-09-25,87,8.0
2013-09-26,97,
2013-09-27,137,
2013-09-28,380,
2013-09-29,172,
2013-09-30,96,
2013-10-01,42,
2013-10-02,95,
2013-10-03,41,
2013-10-04,98,3.0
2013-10-05,164,2.0
2013-10-06,234,1.0
2013-10-07,213,0.0
2013-10-08,352,7.0
2013-10-09,372,6.0
2013-10-10,127,4.0
2013-10-11,536,5.0
2013-10-12,200,
2013-10-13,238,
2013-10-14,536,
2013-10-15,4,
2013-10-18,107,
2013-10-19,135,
2013-10-20,121,
2013-10-21,924,
2013-10-22,503,
2013-10-23,238,
2013-10-24,89,
2013-10-25,547,
2013-10-26,255,
2013-10-27,302,
2013-10-28,278,
2013-10-29,374,
2013-10-30,352,
2013-10-31,162,
2013-11-01,158,
2013-11-02,136,
2013-11-03,113,
2013-11-04,93,
2013-11-05,40,
2013-11-06,119,
2013-11-07,550,
2013-11-08,115,
2013-11-09,82,
2013-11-10,53,
2013-11-11,72,
2013-11-12,128,
2013-11-13,170,
2013-11-14,185,
2013-11-15,3048,
2013-11-16,1018,
2013-11-17,186,
2013-11-18,14,
2013-11-19,5003,
2013-11-20,2603,
2013-11-22,138,
2013-11-23,348,
2013-11-24,208,
2013-11-25,146,
2013-11-26,122,
2013-11-27,90,
2013-11-28,115,
2013-11-29,119,
2013-11-30,132,
2013-12-01,50,
2013-12-02,121,
2013-12-03,78,
2013-12-04,62,
2013-12-05,161,
2013-12-06,963,
2013-12-07,284,
2013-12-08,251,
2013-12-09,108,
2013-12-10,139,
2013-12-11,109,
2013-12-12,139,
2013-12-13,82,
2013-12-14,139,
2013-12-15,1345,
2013-12-16,525,
2013-12-17,424,
2013-12-18,146,
2013-12-19,106,
2013-12-20,6,
2013-12-22,9,
2013-12-23,116,
2013-12-24,86,
2013-12-25,43,
2013-12-26,118,
2013-12-27,100,
2014-01-03,53,
2014-01-04,58,
2014-01-05,946,
2014-01-06,218,
2014-01-07,155,
2014-01-08,64,
2014-01-09,103,
2014-01-10,91,
2014-01-11,52,
2014-01-12,151,
2014-01-13,818,
2014-01-14,169,
2014-01-15,80,
2014-01-16,90,
2014-01-20,113,
2014-01-21,104,
2014-01-22,65,
2014-01-23,54,
2014-01-24,71,
2014-01-25,6,
2014-01-27,46,
2014-01-28,54,
2014-01-29,66,
2014-01-30,66,
2014-01-31,57,
2014-02-01,156,
2014-02-02,67,
2014-02-03,74,
2014-02-04,78,
2014-02-05,115,
2014-02-06,135,
2014-02-07,118,
2014-02-08,201,
2014-02-10,96,
2014-02-11,95,
2014-02-12,56,
2014-02-13,64,
2014-02-14,99,
2014-02-15,97,
2014-02-16,79,
2014-02-17,10,
2014-02-19,15,
2014-02-20,41,
2014-02-21,377,
2014-02-22,120,
2014-02-23,90,
2014-02-24,149,
2014-02-25,116,
2014-02-26,60,
2014-02-27,10,
2014-02-28,59,
2014-03-01,194,
2014-03-02,201,
2014-03-03,154,
2014-03-04,511,
2014-03-05,692,
2014-03-06,706,
2014-03-07,312,
2014-03-09,16,
2014-03-10,256,
2014-03-11,396,
2014-03-12,198,
2014-03-13,218,
2014-03-14,144,
2014-03-15,344,
2014-03-16,236,
2014-03-17,260,
2014-03-18,40,
2014-03-21,46,
2014-03-22,110,
2014-03-23,63,
2014-03-24,58,
2014-03-25,97,
2014-03-26,71,
2014-03-27,289,
2014-03-28,118,
2014-03-29,91,
2014-03-30,175,
2014-03-31,694,
2014-04-01,448,
2014-04-02,246,
2014-04-03,309,
2014-04-04,203,
2014-04-05,462,
2014-04-06,644,
2014-04-08,350,
2014-04-09,267,
2014-04-10,203,
2014-04-11,109,
2014-04-14,110,
2014-04-16,249,
2014-04-17,669,
2014-04-18,420,
2014-04-19,26,
2014-04-23,491,
2014-04-24,574,
2014-04-25,872,
2014-04-26,627,
2014-04-27,677,
2014-04-28,317,
2014-04-29,359,
2014-04-30,421,
2014-05-01,514,
2014-05-02,1329,
2014-05-03,677,
2014-05-04,544,
2014-05-05,319,
2014-05-06,707,
2014-05-07,765,
2014-05-08,1400,
2014-05-09,274,
2014-05-11,7,
2014-05-12,6,
2014-05-13,42,
2014-05-14,24,
2014-05-16,4,
2014-05-20,56,
2014-05-22,892,
2014-05-23,1402,
2014-05-24,1198,
2014-05-25,1425,
2014-05-26,674,
2014-05-27,672,
2014-05-28,528,
2014-05-29,621,
2014-05-30,1273,
2014-05-31,1311,
2014-06-01,900,
2014-06-02,4590,
2014-06-03,4264,
2014-06-04,1771,
2014-06-05,360,
2014-06-06,1510,
2014-06-07,6768,
2014-06-08,1359,
2014-06-09,1941,
2014-06-10,5896,
2014-06-11,6842,
2014-06-12,10794,
2014-06-13,3818,
2014-06-14,1235,
2014-06-15,9931,
2014-06-16,6326,
2014-06-17,372,
2014-06-18,37,
2014-09-15,435,
2014-09-16,339,
2014-09-17,331,
2014-09-18,478,
2014-09-19,313,
2014-09-20,32,
2014-09-23,530,
2014-09-24,363,
2014-09-25,390,
2014-09-26,639,
2014-09-27,447,
2014-09-28,557,
2014-09-29,662,
2014-09-30,400,
2014-10-01,161,
2014-10-07,349,
2014-10-08,549,
2014-10-09,759,
2014-10-10,1135,
2014-10-11,1960,
2014-10-14,952,
2014-10-15,9522,
2014-10-16,1034,
2014-10-17,554,
2014-10-18,599,
2014-10-19,816,
2014-10-21,461,
2014-10-22,275,
2014-10-23,735,
2014-10-24,192,
2014-10-25,327,
2014-10-26,477,
2014-10-27,312,
2014-10-28,400,
2014-10-29,220,
