Date,Count,Unnamed: 0.1
2013-09-24,24,8.0
2013-09-25,19,7.0
2013-09-26,17,
2013-09-27,1,
2013-09-28,13,
2013-09-29,7,
2013-09-30,10,
2013-10-01,2,
2013-10-02,8,
2013-10-03,7,
2013-10-04,1,2.0
2013-10-06,6,1.0
2013-10-07,1,0.0
2013-10-08,8,6.0
2013-10-09,3,5.0
2013-10-10,1,3.0
2013-10-11,13,4.0
2013-10-12,6,
2013-10-13,7,
2013-10-14,3,
2013-10-18,3,
2013-10-19,5,
2013-10-20,3,
2013-10-21,8,
2013-10-23,6,
2013-10-25,5,
2013-10-26,7,
2013-10-27,8,
2013-10-28,7,
2013-10-29,12,
2013-10-30,10,
2013-10-31,6,
2013-11-01,2,
2013-11-02,7,
2013-11-03,3,
2013-11-04,3,
2013-11-06,8,
2013-11-07,4,
2013-11-08,12,
2013-11-09,2,
2013-11-10,4,
2013-11-11,10,
2013-11-12,8,
2013-11-13,5,
2013-11-14,4,
2013-11-15,4,
2013-11-16,6,
2013-11-17,3,
2013-11-20,6,
2013-11-22,6,
2013-11-23,4,
2013-11-24,4,
2013-11-25,2,
2013-11-26,11,
2013-11-27,6,
2013-11-28,2,
2013-11-29,13,
2013-11-30,12,
2013-12-01,7,
2013-12-02,11,
2013-12-03,7,
2013-12-04,2,
2013-12-05,5,
2013-12-06,13,
2013-12-07,10,
2013-12-08,2,
2013-12-09,8,
2013-12-10,4,
2013-12-11,3,
2013-12-12,2,
2013-12-13,4,
2013-12-14,36,
2013-12-15,6,
2013-12-16,11,
2013-12-17,10,
2013-12-18,10,
2013-12-19,5,
2013-12-23,12,
2013-12-24,10,
2013-12-26,2,
2013-12-27,1,
2014-01-03,7,
2014-01-04,4,
2014-01-05,5,
2014-01-06,12,
2014-01-07,9,
2014-01-08,6,
2014-01-09,2,
2014-01-10,7,
2014-01-11,7,
2014-01-12,12,
2014-01-13,14,
2014-01-14,6,
2014-01-15,5,
2014-01-16,3,
2014-01-20,10,
2014-01-21,9,
2014-01-22,19,
2014-01-23,11,
2014-01-24,6,
2014-01-25,1,
2014-01-27,5,
2014-01-28,10,
2014-01-29,9,
2014-01-30,6,
2014-01-31,6,
2014-02-01,12,
2014-02-02,2,
2014-02-03,14,
2014-02-04,3,
2014-02-05,9,
2014-02-06,7,
2014-02-07,4,
2014-02-08,1,
2014-02-10,8,
2014-02-11,1,
2014-02-12,11,
2014-02-13,2,
2014-02-14,17,
2014-02-15,8,
2014-02-16,11,
2014-02-19,1,
2014-02-20,6,
2014-02-21,12,
2014-02-22,18,
2014-02-23,4,
2014-02-24,4,
2014-02-25,14,
2014-02-26,2,
2014-02-28,1,
2014-03-01,5,
2014-03-02,5,
2014-03-03,9,
2014-03-04,7,
2014-03-05,2,
2014-03-06,8,
2014-03-07,4,
2014-03-09,2,
2014-03-10,14,
2014-03-11,2,
2014-03-12,18,
2014-03-13,10,
2014-03-14,32,
2014-03-15,6,
2014-03-16,10,
2014-03-17,18,
2014-03-18,1,
2014-03-21,2,
2014-03-22,8,
2014-03-23,24,
2014-03-24,16,
2014-03-25,8,
2014-03-26,7,
2014-03-27,6,
2014-03-28,2,
2014-03-29,3,
2014-03-30,12,
2014-03-31,5,
2014-04-01,12,
2014-04-02,13,
2014-04-03,29,
2014-04-04,5,
2014-04-05,11,
2014-04-06,5,
2014-04-09,20,
2014-04-10,15,
2014-04-11,1,
2014-04-14,2,
2014-04-16,11,
2014-04-17,393,
2014-04-18,102,
2014-04-19,1,
2014-04-23,10,
2014-04-24,35,
2014-04-25,43,
2014-04-26,33,
2014-04-27,50,
2014-04-28,27,
2014-04-29,95,
2014-04-30,28,
2014-05-01,69,
2014-05-02,44,
2014-05-03,61,
2014-05-04,27,
2014-05-05,32,
2014-05-06,22,
2014-05-07,15,
2014-05-08,36,
2014-05-09,15,
2014-05-14,2,
2014-05-22,9,
2014-05-23,50,
2014-05-24,27,
2014-05-25,37,
2014-05-26,13,
2014-05-27,144,
2014-05-28,25,
2014-05-29,31,
2014-05-30,35,
2014-05-31,18,
2014-06-01,59,
2014-06-02,48,
2014-06-03,34,
2014-06-04,12,
2014-06-05,19,
2014-06-06,21,
2014-06-07,32,
2014-06-08,71,
2014-06-09,43,
2014-06-10,52,
2014-06-11,48,
2014-06-12,46,
2014-06-13,35,
2014-06-14,32,
2014-06-15,12,
2014-06-16,6,
2014-06-17,3,
2014-09-15,24,
2014-09-16,11,
2014-09-17,17,
2014-09-18,43,
2014-09-19,16,
2014-09-20,2,
2014-09-23,18,
2014-09-24,14,
2014-09-25,23,
2014-09-26,14,
2014-09-27,26,
2014-09-28,14,
2014-09-29,30,
2014-09-30,31,
2014-10-01,12,
2014-10-07,4,
2014-10-08,7,
2014-10-09,23,
2014-10-10,35,
2014-10-11,76,
2014-10-14,11,
2014-10-15,29,
2014-10-16,36,
2014-10-17,89,
2014-10-18,15,
2014-10-19,6,
2014-10-21,16,
2014-10-22,24,
2014-10-23,8,
2014-10-24,4,
2014-10-25,10,
2014-10-26,17,
2014-10-27,19,
2014-10-28,26,
2014-10-29,18,
