Date,Count,Unnamed: 0.1
2013-09-24,4,9.0
2013-09-25,5,8.0
2013-09-26,12,
2013-09-27,8,
2013-09-28,22,
2013-09-29,10,
2013-09-30,31,
2013-10-01,10,
2013-10-02,22,
2013-10-03,3,
2013-10-04,9,3.0
2013-10-05,15,2.0
2013-10-06,29,1.0
2013-10-07,14,0.0
2013-10-08,50,7.0
2013-10-09,6,6.0
2013-10-10,9,4.0
2013-10-11,17,5.0
2013-10-12,11,
2013-10-13,13,
2013-10-14,19,
2013-10-18,7,
2013-10-19,3,
2013-10-20,6,
2013-10-21,15,
2013-10-22,6,
2013-10-23,14,
2013-10-25,12,
2013-10-26,39,
2013-10-27,13,
2013-10-28,22,
2013-10-29,14,
2013-10-30,26,
2013-10-31,12,
2013-11-01,7,
2013-11-02,5,
2013-11-03,60,
2013-11-04,39,
2013-11-05,7,
2013-11-06,3,
2013-11-07,15,
2013-11-08,15,
2013-11-09,14,
2013-11-10,12,
2013-11-11,17,
2013-11-12,20,
2013-11-13,16,
2013-11-14,5,
2013-11-15,12,
2013-11-16,17,
2013-11-17,6,
2013-11-19,7,
2013-11-20,4,
2013-11-22,4,
2013-11-23,7,
2013-11-24,9,
2013-11-25,4,
2013-11-26,5,
2013-11-27,3,
2013-11-28,10,
2013-11-29,47,
2013-11-30,8,
2013-12-01,21,
2013-12-02,7,
2013-12-03,18,
2013-12-04,6,
2013-12-05,7,
2013-12-06,10,
2013-12-07,28,
2013-12-08,17,
2013-12-09,12,
2013-12-10,10,
2013-12-11,17,
2013-12-12,12,
2013-12-13,8,
2013-12-14,15,
2013-12-15,4,
2013-12-16,1,
2013-12-17,6,
2013-12-18,5,
2013-12-19,18,
2013-12-22,1,
2013-12-23,19,
2013-12-24,13,
2013-12-25,6,
2013-12-26,5,
2013-12-27,2,
2014-01-03,5,
2014-01-04,6,
2014-01-05,8,
2014-01-06,50,
2014-01-07,196,
2014-01-08,28,
2014-01-09,12,
2014-01-10,6,
2014-01-11,9,
2014-01-12,11,
2014-01-13,7,
2014-01-14,11,
2014-01-15,6,
2014-01-16,7,
2014-01-20,8,
2014-01-21,4,
2014-01-22,3,
2014-01-23,4,
2014-01-24,1,
2014-01-25,1,
2014-01-27,2,
2014-01-28,9,
2014-01-29,8,
2014-01-30,3,
2014-01-31,11,
2014-02-01,7,
2014-02-02,11,
2014-02-03,17,
2014-02-04,14,
2014-02-05,1,
2014-02-06,10,
2014-02-07,9,
2014-02-08,5,
2014-02-10,2,
2014-02-11,67,
2014-02-12,12,
2014-02-13,15,
2014-02-14,13,
2014-02-15,5,
2014-02-16,8,
2014-02-17,1,
2014-02-20,7,
2014-02-21,11,
2014-02-22,21,
2014-02-23,10,
2014-02-24,10,
2014-02-25,6,
2014-02-26,5,
2014-02-28,6,
2014-03-01,12,
2014-03-02,8,
2014-03-03,6,
2014-03-04,6,
2014-03-05,30,
2014-03-06,14,
2014-03-07,7,
2014-03-09,6,
2014-03-10,48,
2014-03-11,36,
2014-03-12,16,
2014-03-13,46,
2014-03-14,16,
2014-03-15,14,
2014-03-16,10,
2014-03-17,32,
2014-03-18,6,
2014-03-21,9,
2014-03-22,18,
2014-03-23,14,
2014-03-24,8,
2014-03-25,14,
2014-03-26,3,
2014-03-27,24,
2014-03-28,17,
2014-03-29,20,
2014-03-30,12,
2014-03-31,1,
2014-04-01,12,
2014-04-02,4,
2014-04-03,22,
2014-04-04,9,
2014-04-05,8,
2014-04-06,8,
2014-04-08,10,
2014-04-09,4,
2014-04-10,8,
2014-04-11,18,
2014-04-14,4,
2014-04-16,19,
2014-04-17,38,
2014-04-18,71,
2014-04-23,15,
2014-04-24,39,
2014-04-25,106,
2014-04-26,510,
2014-04-27,102,
2014-04-28,77,
2014-04-29,41,
2014-04-30,29,
2014-05-01,29,
2014-05-02,46,
2014-05-03,41,
2014-05-04,34,
2014-05-05,56,
2014-05-06,37,
2014-05-07,34,
2014-05-08,38,
2014-05-09,11,
2014-05-20,16,
2014-05-22,15,
2014-05-23,25,
2014-05-24,30,
2014-05-25,40,
2014-05-26,21,
2014-05-27,17,
2014-05-28,24,
2014-05-29,32,
2014-05-30,44,
2014-05-31,46,
2014-06-01,36,
2014-06-02,24,
2014-06-03,36,
2014-06-04,12,
2014-06-05,10,
2014-06-06,45,
2014-06-07,44,
2014-06-08,24,
2014-06-09,94,
2014-06-10,105,
2014-06-11,132,
2014-06-12,141,
2014-06-13,157,
2014-06-14,35,
2014-06-15,54,
2014-06-16,7,
2014-09-15,13,
2014-09-16,21,
2014-09-17,31,
2014-09-18,48,
2014-09-19,14,
2014-09-20,1,
2014-09-23,19,
2014-09-24,22,
2014-09-25,45,
2014-09-26,70,
2014-09-27,42,
2014-09-28,7,
2014-09-29,32,
2014-09-30,57,
2014-10-01,15,
2014-10-07,12,
2014-10-08,21,
2014-10-09,29,
2014-10-10,45,
2014-10-11,48,
2014-10-14,18,
2014-10-15,79,
2014-10-16,82,
2014-10-17,64,
2014-10-18,19,
2014-10-19,22,
2014-10-21,16,
2014-10-22,17,
2014-10-23,186,
2014-10-24,17,
2014-10-25,16,
2014-10-26,24,
2014-10-27,33,
2014-10-28,16,
2014-10-29,4,
