Date,Count,Unnamed: 0.1
2013-09-24,6,4.0
2013-09-28,1,
2013-09-29,2,
2013-10-01,4,
2013-10-02,5,
2013-10-03,2,
2013-10-04,2,2.0
2013-10-07,2,0.0
2013-10-08,3,1.0
2013-10-10,1,3.0
2013-10-13,1,
2013-10-14,1,
2013-10-18,4,
2013-10-19,2,
2013-10-20,1,
2013-10-22,3,
2013-10-23,9,
2013-10-28,1,
2013-10-29,2,
2013-10-30,1,
2013-11-01,2,
2013-11-02,3,
2013-11-03,1,
2013-11-04,2,
2013-11-07,4,
2013-11-08,2,
2013-11-10,3,
2013-11-11,1,
2013-11-12,2,
2013-11-13,1,
2013-11-14,6,
2013-11-15,1,
2013-11-16,9,
2013-11-19,1,
2013-11-20,4,
2013-11-22,1,
2013-11-23,7,
2013-11-24,7,
2013-11-25,1,
2013-11-26,1,
2013-11-28,2,
2013-11-29,4,
2013-11-30,2,
2013-12-01,1,
2013-12-05,5,
2013-12-06,1,
2013-12-07,5,
2013-12-08,1,
2013-12-10,1,
2013-12-11,1,
2013-12-12,3,
2013-12-13,3,
2013-12-14,2,
2013-12-15,3,
2013-12-16,1,
2013-12-17,1,
2013-12-22,4,
2013-12-23,411,
2013-12-24,62,
2013-12-25,47,
2013-12-26,8,
2013-12-27,2,
2014-01-03,4,
2014-01-04,3,
2014-01-05,2,
2014-01-07,1,
2014-01-09,1,
2014-01-10,1,
2014-01-12,1,
2014-01-13,3,
2014-01-14,1,
2014-01-16,3,
2014-01-21,1,
2014-01-22,2,
2014-01-24,3,
2014-01-25,1,
2014-01-28,4,
2014-01-30,1,
2014-01-31,1,
2014-02-01,1,
2014-02-04,3,
2014-02-07,2,
2014-02-10,1,
2014-02-11,2,
2014-02-14,1,
2014-02-16,1,
2014-02-17,1,
2014-02-19,1,
2014-02-20,2,
2014-02-22,4,
2014-02-23,2,
2014-02-24,3,
2014-02-25,33,
2014-02-26,1,
2014-02-28,1,
2014-03-01,2,
2014-03-03,4,
2014-03-04,2,
2014-03-05,14,
2014-03-06,4,
2014-03-10,12,
2014-03-11,8,
2014-03-12,6,
2014-03-13,8,
2014-03-14,4,
2014-03-15,2,
2014-03-16,2,
2014-03-17,6,
2014-03-21,2,
2014-03-22,3,
2014-03-23,1,
2014-03-24,2,
2014-03-25,3,
2014-03-26,1,
2014-03-27,18,
2014-03-28,10,
2014-03-29,2,
2014-03-30,10,
2014-03-31,32,
2014-04-01,6,
2014-04-02,3,
2014-04-03,10,
2014-04-04,50,
2014-04-05,15,
2014-04-06,42,
2014-04-08,23,
2014-04-09,6,
2014-04-10,1,
2014-04-11,1,
2014-04-17,9,
2014-04-18,7,
2014-04-19,3,
2014-04-23,8,
2014-04-24,10,
2014-04-25,16,
2014-04-26,10,
2014-04-27,10,
2014-04-28,7,
2014-04-29,30,
2014-04-30,6,
2014-05-01,5,
2014-05-02,9,
2014-05-03,13,
2014-05-04,20,
2014-05-05,8,
2014-05-06,9,
2014-05-07,30,
2014-05-08,17,
2014-05-09,4,
2014-05-20,1,
2014-05-22,7,
2014-05-23,16,
2014-05-24,4,
2014-05-25,4,
2014-05-26,11,
2014-05-27,12,
2014-05-28,19,
2014-05-29,6,
2014-05-30,5,
2014-05-31,8,
2014-06-01,10,
2014-06-02,11,
2014-06-05,7,
2014-06-06,19,
2014-06-07,14,
2014-06-08,4,
2014-06-09,9,
2014-06-10,6,
2014-06-11,18,
2014-06-12,3,
2014-06-13,11,
2014-06-14,2,
2014-06-15,6,
2014-09-15,8,
2014-09-16,10,
2014-09-17,4,
2014-09-18,3,
2014-09-19,7,
2014-09-23,2,
2014-09-24,3,
2014-09-25,4,
2014-09-26,1,
2014-09-27,2,
2014-09-28,4,
2014-09-29,6,
2014-09-30,9,
2014-10-08,1,
2014-10-09,5,
2014-10-10,8,
2014-10-14,3,
2014-10-15,3,
2014-10-16,4,
2014-10-17,3,
2014-10-18,14,
2014-10-19,4,
2014-10-22,2,
2014-10-23,4,
2014-10-24,3,
2014-10-26,9,
2014-10-27,1,
2014-10-28,9,
2014-10-29,1,
