Date,Count
2013-09-24 00:00:00,84
2013-09-25 00:00:00,284
2013-09-26 00:00:00,637
2013-09-27 00:00:00,358
2013-09-28 00:00:00,728
2013-09-29 00:00:00,849
2013-09-30 00:00:00,754
2013-10-01 00:00:00,237
2013-10-02 00:00:00,400
2013-10-03 00:00:00,302
2013-10-04 00:00:00,204
2013-10-05 00:00:00,253
2013-10-06 00:00:00,346
2013-10-07 00:00:00,1101
2013-10-08 00:00:00,130
2013-10-09 00:00:00,180
2013-10-10 00:00:00,141
2013-10-11 00:00:00,179
2013-10-12 00:00:00,117
2013-10-13 00:00:00,109
2013-10-14 00:00:00,326
2013-10-15 00:00:00,266
2013-10-16 00:00:00,207
2013-10-17 00:00:00,147
2013-10-18 00:00:00,88
2013-10-19 00:00:00,99
2013-10-20 00:00:00,88
2013-10-21 00:00:00,1039
2013-10-22 00:00:00,530
2013-10-23 00:00:00,180
2013-10-24 00:00:00,56
2013-10-25 00:00:00,265
2013-10-26 00:00:00,239
2013-10-27 00:00:00,158
2013-10-28 00:00:00,379
2013-10-29 00:00:00,233
2013-10-30 00:00:00,191
2013-10-31 00:00:00,171
2013-11-01 00:00:00,751
2013-11-02 00:00:00,345
2013-11-03 00:00:00,233
2013-11-04 00:00:00,297
2013-11-05 00:00:00,172
2013-11-06 00:00:00,350
2013-11-07 00:00:00,250
2013-11-08 00:00:00,186
2013-11-09 00:00:00,115
2013-11-10 00:00:00,88
2013-11-11 00:00:00,675
2013-11-12 00:00:00,921
2013-11-13 00:00:00,321
2013-11-14 00:00:00,3376
2013-11-15 00:00:00,3028
2013-11-16 00:00:00,432
2013-11-17 00:00:00,180
2013-11-18 00:00:00,330
2013-11-19 00:00:00,2723
2013-11-20 00:00:00,1390
2013-11-21 00:00:00,1000
2013-11-22 00:00:00,611
2013-11-23 00:00:00,222
2013-11-24 00:00:00,626
2013-11-25 00:00:00,178
2013-11-26 00:00:00,178
2013-11-27 00:00:00,303
2013-11-28 00:00:00,683
2013-11-29 00:00:00,460
2013-11-30 00:00:00,155
2013-12-01 00:00:00,105
2013-12-02 00:00:00,157
2013-12-03 00:00:00,81
2013-12-04 00:00:00,119
2013-12-05 00:00:00,132
2013-12-06 00:00:00,164
2013-12-07 00:00:00,106
2013-12-08 00:00:00,147
2013-12-09 00:00:00,114
2013-12-10 00:00:00,97
2013-12-11 00:00:00,471
2013-12-12 00:00:00,191
2013-12-13 00:00:00,173
2013-12-14 00:00:00,142
2013-12-15 00:00:00,262
2013-12-16 00:00:00,200
2013-12-17 00:00:00,289
2013-12-18 00:00:00,196
2013-12-19 00:00:00,1604
2013-12-20 00:00:00,1240
2013-12-21 00:00:00,876
2013-12-22 00:00:00,512
2013-12-23 00:00:00,149
2013-12-24 00:00:00,96
2013-12-25 00:00:00,99
2013-12-26 00:00:00,115
2013-12-27 00:00:00,107
2013-12-28 00:00:00,100
2013-12-29 00:00:00,93
2013-12-30 00:00:00,86
2013-12-31 00:00:00,79
2014-01-01 00:00:00,72
2014-01-02 00:00:00,65
2014-01-03 00:00:00,58
2014-01-04 00:00:00,107
2014-01-05 00:00:00,274
2014-01-06 00:00:00,197
2014-01-07 00:00:00,197
2014-01-08 00:00:00,850
2014-01-09 00:00:00,352
2014-01-10 00:00:00,552
2014-01-11 00:00:00,410
2014-01-12 00:00:00,438
2014-01-13 00:00:00,746
2014-01-14 00:00:00,566
2014-01-15 00:00:00,1230
2014-01-16 00:00:00,540
2014-01-17 00:00:00,444
2014-01-18 00:00:00,348
2014-01-19 00:00:00,252
2014-01-20 00:00:00,156
2014-01-21 00:00:00,496
2014-01-22 00:00:00,2056
2014-01-23 00:00:00,1180
2014-01-24 00:00:00,336
2014-01-25 00:00:00,367
2014-01-26 00:00:00,398
2014-01-27 00:00:00,430
2014-01-28 00:00:00,510
2014-01-29 00:00:00,378
2014-01-30 00:00:00,266
2014-01-31 00:00:00,524
2014-02-01 00:00:00,302
2014-02-02 00:00:00,352
2014-02-03 00:00:00,351
2014-02-04 00:00:00,339
2014-02-05 00:00:00,696
2014-02-06 00:00:00,708
2014-02-07 00:00:00,2364
2014-02-08 00:00:00,1299
2014-02-09 00:00:00,979
2014-02-10 00:00:00,660
2014-02-11 00:00:00,318
2014-02-12 00:00:00,548
2014-02-13 00:00:00,490
2014-02-14 00:00:00,688
2014-02-15 00:00:00,596
2014-02-16 00:00:00,368
2014-02-17 00:00:00,84
2014-02-18 00:00:00,283
2014-02-19 00:00:00,482
2014-02-20 00:00:00,682
2014-02-21 00:00:00,4908
2014-02-22 00:00:00,1156
2014-02-23 00:00:00,7894
2014-02-24 00:00:00,734
2014-02-25 00:00:00,674
2014-02-26 00:00:00,614
2014-02-27 00:00:00,554
2014-02-28 00:00:00,495
2014-03-01 00:00:00,435
2014-03-02 00:00:00,375
2014-03-03 00:00:00,316
2014-03-04 00:00:00,220
