Date,Count,Unnamed: 0.1
2013-09-24,12,9.0
2013-09-25,73,8.0
2013-09-26,30,
2013-09-27,11,
2013-09-28,51,
2013-09-29,34,
2013-09-30,47,
2013-10-01,2,
2013-10-02,48,
2013-10-03,4,
2013-10-04,9,3.0
2013-10-05,26,2.0
2013-10-06,49,1.0
2013-10-07,20,0.0
2013-10-08,39,7.0
2013-10-09,23,6.0
2013-10-10,22,4.0
2013-10-11,191,5.0
2013-10-12,302,
2013-10-13,472,
2013-10-14,144,
2013-10-15,6,
2013-10-18,7,
2013-10-19,30,
2013-10-20,110,
2013-10-21,43,
2013-10-22,46,
2013-10-23,39,
2013-10-24,6,
2013-10-25,14,
2013-10-26,29,
2013-10-27,20,
2013-10-28,19,
2013-10-29,20,
2013-10-30,20,
2013-10-31,38,
2013-11-01,72,
2013-11-02,14,
2013-11-03,165,
2013-11-04,127,
2013-11-05,3,
2013-11-06,15,
2013-11-07,12,
2013-11-08,24,
2013-11-09,31,
2013-11-10,25,
2013-11-11,12,
2013-11-12,29,
2013-11-13,20,
2013-11-14,19,
2013-11-15,2,
2013-11-16,13,
2013-11-17,6,
2013-11-18,4,
2013-11-19,5,
2013-11-20,56,
2013-11-22,7,
2013-11-23,18,
2013-11-24,31,
2013-11-25,40,
2013-11-26,16,
2013-11-27,10,
2013-11-28,9,
2013-11-29,13,
2013-11-30,16,
2013-12-01,19,
2013-12-02,17,
2013-12-03,6,
2013-12-04,19,
2013-12-05,38,
2013-12-06,26,
2013-12-07,10,
2013-12-08,14,
2013-12-09,67,
2013-12-10,9,
2013-12-11,7,
2013-12-12,45,
2013-12-13,20,
2013-12-14,16,
2013-12-15,13,
2013-12-16,64,
2013-12-17,25,
2013-12-18,20,
2013-12-19,11,
2013-12-22,1,
2013-12-23,10,
2013-12-24,9,
2013-12-25,8,
2013-12-26,17,
2013-12-27,8,
2014-01-03,8,
2014-01-04,20,
2014-01-05,1033,
2014-01-06,158,
2014-01-07,16,
2014-01-08,31,
2014-01-09,11,
2014-01-10,15,
2014-01-11,202,
2014-01-12,34,
2014-01-13,27,
2014-01-14,33,
2014-01-15,32,
2014-01-16,47,
2014-01-20,9,
2014-01-21,15,
2014-01-22,35,
2014-01-23,23,
2014-01-24,6,
2014-01-25,7,
2014-01-27,16,
2014-01-28,9,
2014-01-29,9,
2014-01-30,6,
2014-01-31,10,
2014-02-01,13,
2014-02-02,12,
2014-02-03,2,
2014-02-04,11,
2014-02-05,3,
2014-02-06,12,
2014-02-07,5,
2014-02-08,8,
2014-02-10,14,
2014-02-11,27,
2014-02-12,1,
2014-02-13,33,
2014-02-14,7,
2014-02-15,10,
2014-02-16,8,
2014-02-17,15,
2014-02-20,1,
2014-02-21,14,
2014-02-22,10,
2014-02-23,15,
2014-02-24,17,
2014-02-25,12,
2014-02-26,5,
2014-02-27,2,
2014-02-28,36,
2014-03-01,26,
2014-03-02,13,
2014-03-03,21,
2014-03-04,24,
2014-03-05,48,
2014-03-06,56,
2014-03-07,23,
2014-03-09,4,
2014-03-10,76,
2014-03-11,86,
2014-03-12,22,
2014-03-13,28,
2014-03-14,20,
2014-03-15,30,
2014-03-16,58,
2014-03-17,142,
2014-03-18,5,
2014-03-21,6,
2014-03-22,5,
2014-03-23,30,
2014-03-24,40,
2014-03-25,12,
2014-03-26,16,
2014-03-27,10,
2014-03-28,36,
2014-03-29,9,
2014-03-30,65,
2014-03-31,21,
2014-04-01,13,
2014-04-02,15,
2014-04-03,11,
2014-04-04,16,
2014-04-05,12,
2014-04-06,9,
2014-04-08,7,
2014-04-09,9,
2014-04-10,94,
2014-04-11,11,
2014-04-16,15,
2014-04-17,27,
2014-04-18,28,
2014-04-19,9,
2014-04-23,72,
2014-04-24,73,
2014-04-25,35,
2014-04-26,504,
2014-04-27,396,
2014-04-28,359,
2014-04-29,56,
2014-04-30,66,
2014-05-01,142,
2014-05-02,42,
2014-05-03,95,
2014-05-04,173,
2014-05-05,48,
2014-05-06,178,
2014-05-07,213,
2014-05-08,156,
2014-05-09,118,
2014-05-11,1,
2014-05-13,8,
2014-05-14,38,
2014-05-20,85,
2014-05-22,251,
2014-05-23,212,
2014-05-24,670,
2014-05-25,429,
2014-05-26,277,
2014-05-27,96,
2014-05-28,131,
2014-05-29,89,
2014-05-30,98,
2014-05-31,152,
2014-06-01,180,
2014-06-02,200,
2014-06-03,194,
2014-06-04,101,
2014-06-05,29,
2014-06-06,214,
2014-06-07,112,
2014-06-08,73,
2014-06-09,275,
2014-06-10,734,
2014-06-11,498,
2014-06-12,242,
2014-06-13,378,
2014-06-14,70,
2014-06-15,92,
2014-06-16,8,
2014-06-17,2,
2014-06-18,2,
2014-09-15,91,
2014-09-16,139,
2014-09-17,54,
2014-09-18,77,
2014-09-19,312,
2014-09-20,10,
2014-09-23,47,
2014-09-24,91,
2014-09-25,140,
2014-09-26,40,
2014-09-27,470,
2014-09-28,110,
2014-09-29,389,
2014-09-30,57,
2014-10-01,98,
2014-10-07,29,
2014-10-08,35,
2014-10-09,60,
