Date,Count,Unnamed: 0.1
2013-09-25,1,6.0
2013-09-26,1,
2013-09-27,1,
2013-09-28,1,
2013-09-30,3,
2013-10-04,3,3.0
2013-10-05,1,2.0
2013-10-06,1,1.0
2013-10-07,1,0.0
2013-10-08,2,5.0
2013-10-09,8,4.0
2013-10-23,10,
2013-10-25,2,
2013-10-28,2,
2013-10-29,1,
2013-10-30,15,
2013-10-31,2,
2013-11-04,8,
2013-11-06,3,
2013-11-08,2,
2013-11-09,2,
2013-11-10,1,
2013-11-11,1,
2013-11-13,1,
2013-11-16,2,
2013-11-19,1,
2013-11-20,10,
2013-11-22,1,
2013-11-23,4,
2013-11-24,1,
2013-11-26,2,
2013-11-27,3,
2013-11-28,1,
2013-11-29,1,
2013-11-30,1,
2013-12-05,2,
2013-12-09,5,
2013-12-10,2,
2013-12-11,31,
2013-12-12,4,
2013-12-13,3,
2013-12-14,2,
2013-12-16,1,
2013-12-19,1,
2013-12-23,1,
2013-12-24,2,
2013-12-27,1,
2014-01-07,20,
2014-01-08,3,
2014-01-10,1,
2014-01-11,6,
2014-01-13,2,
2014-01-15,1,
2014-01-16,1,
2014-01-21,2,
2014-01-22,2,
2014-01-24,1,
2014-01-27,1,
2014-01-31,2,
2014-02-01,2,
2014-02-02,1,
2014-02-05,2,
2014-02-06,1,
2014-02-08,1,
2014-02-13,1,
2014-02-15,5,
2014-02-20,4,
2014-02-23,1,
2014-02-24,1,
2014-03-02,1,
2014-03-05,1,
2014-03-06,1,
2014-03-11,3,
2014-03-13,3,
2014-03-21,3,
2014-03-22,1,
2014-03-26,14,
2014-03-27,3,
2014-03-28,3,
2014-03-30,3,
2014-03-31,4,
2014-04-01,2,
2014-04-02,3,
2014-04-04,2,
2014-04-05,3,
2014-04-06,6,
2014-04-09,1,
2014-04-17,1,
2014-04-24,9,
2014-04-25,6,
2014-04-28,1,
2014-04-29,3,
2014-04-30,7,
2014-05-01,30,
2014-05-02,3,
2014-05-03,2,
2014-05-04,9,
2014-05-05,1,
2014-05-06,6,
2014-05-07,2,
2014-05-08,3,
2014-05-09,1,
2014-05-22,4,
2014-05-23,6,
2014-05-24,3,
2014-05-25,2,
2014-05-26,3,
2014-05-27,5,
2014-05-28,5,
2014-05-29,5,
2014-05-30,7,
2014-05-31,13,
2014-06-01,6,
2014-06-02,13,
2014-06-03,3,
2014-06-04,3,
2014-06-05,2,
2014-06-06,1,
2014-06-07,7,
2014-06-09,56,
2014-06-10,30,
2014-06-11,34,
2014-06-12,10,
2014-06-13,17,
2014-06-14,8,
2014-06-15,1,
2014-06-16,3,
2014-06-17,2,
2014-09-15,4,
2014-09-16,9,
2014-09-17,9,
2014-09-18,4,
2014-09-19,2,
2014-09-23,1,
2014-09-24,9,
2014-09-25,4,
2014-09-26,22,
2014-09-27,7,
2014-09-28,1,
2014-09-29,13,
2014-09-30,4,
2014-10-01,17,
2014-10-08,2,
2014-10-09,1,
