Date,Count,Unnamed: 0.1
2013-09-24,12,9.0
2013-09-25,17,8.0
2013-09-26,28,
2013-09-27,26,
2013-09-28,40,
2013-09-29,30,
2013-09-30,25,
2013-10-01,13,
2013-10-02,35,
2013-10-03,9,
2013-10-04,29,3.0
2013-10-05,43,2.0
2013-10-06,35,1.0
2013-10-07,29,0.0
2013-10-08,33,7.0
2013-10-09,24,6.0
2013-10-10,30,4.0
2013-10-11,37,5.0
2013-10-12,26,
2013-10-13,34,
2013-10-14,34,
2013-10-15,1,
2013-10-18,22,
2013-10-19,17,
2013-10-20,21,
2013-10-21,16,
2013-10-22,25,
2013-10-23,13,
2013-10-24,13,
2013-10-25,16,
2013-10-26,47,
2013-10-27,27,
2013-10-28,19,
2013-10-29,33,
2013-10-30,19,
2013-10-31,29,
2013-11-01,39,
2013-11-02,32,
2013-11-03,20,
2013-11-04,13,
2013-11-05,19,
2013-11-06,28,
2013-11-07,28,
2013-11-08,37,
2013-11-09,22,
2013-11-10,20,
2013-11-11,167,
2013-11-12,29,
2013-11-13,50,
2013-11-14,94,
2013-11-15,30,
2013-11-16,31,
2013-11-17,22,
2013-11-18,8,
2013-11-19,2,
2013-11-20,17,
2013-11-22,26,
2013-11-23,33,
2013-11-24,149,
2013-11-25,39,
2013-11-26,26,
2013-11-27,24,
2013-11-28,18,
2013-11-29,18,
2013-11-30,35,
2013-12-01,16,
2013-12-02,26,
2013-12-03,22,
2013-12-04,74,
2013-12-05,60,
2013-12-06,41,
2013-12-07,18,
2013-12-08,15,
2013-12-09,25,
2013-12-10,18,
2013-12-11,15,
2013-12-12,18,
2013-12-13,17,
2013-12-14,21,
2013-12-15,15,
2013-12-16,28,
2013-12-17,17,
2013-12-18,12,
2013-12-19,29,
2013-12-20,1,
2013-12-22,1,
2013-12-23,23,
2013-12-24,15,
2013-12-25,50,
2013-12-26,21,
2013-12-27,5,
2014-01-03,18,
2014-01-04,18,
2014-01-05,35,
2014-01-06,24,
2014-01-07,11,
2014-01-08,31,
2014-01-09,251,
2014-01-10,29,
2014-01-11,22,
2014-01-12,19,
2014-01-13,25,
2014-01-14,16,
2014-01-15,25,
2014-01-16,29,
2014-01-20,27,
2014-01-21,19,
2014-01-22,15,
2014-01-23,15,
2014-01-24,23,
2014-01-25,10,
2014-01-27,16,
2014-01-28,21,
2014-01-29,8,
2014-01-30,18,
2014-01-31,18,
2014-02-01,26,
2014-02-02,30,
2014-02-03,12,
2014-02-04,34,
2014-02-05,25,
2014-02-06,27,
2014-02-07,17,
2014-02-08,31,
2014-02-10,18,
2014-02-11,23,
2014-02-12,18,
2014-02-13,42,
2014-02-14,37,
2014-02-15,70,
2014-02-16,29,
2014-02-17,21,
2014-02-20,25,
2014-02-21,22,
2014-02-22,19,
2014-02-23,395,
2014-02-24,46,
2014-02-25,53,
2014-02-26,21,
2014-02-27,17,
2014-02-28,24,
2014-03-01,34,
2014-03-02,57,
2014-03-03,27,
2014-03-04,32,
2014-03-05,22,
2014-03-06,37,
2014-03-07,11,
2014-03-09,4,
2014-03-10,114,
2014-03-11,104,
2014-03-12,72,
2014-03-13,80,
2014-03-14,178,
2014-03-15,366,
2014-03-16,86,
2014-03-17,48,
2014-03-18,4,
2014-03-21,35,
2014-03-22,76,
2014-03-23,28,
2014-03-24,28,
2014-03-25,21,
2014-03-26,23,
2014-03-27,28,
2014-03-28,20,
2014-03-29,28,
2014-03-30,34,
2014-03-31,32,
2014-04-01,41,
2014-04-02,18,
2014-04-03,35,
2014-04-04,27,
2014-04-05,20,
2014-04-06,17,
2014-04-08,25,
2014-04-09,32,
2014-04-10,29,
2014-04-11,16,
2014-04-14,32,
2014-04-16,72,
2014-04-17,291,
2014-04-18,164,
2014-04-19,36,
2014-04-23,68,
2014-04-24,177,
2014-04-25,127,
2014-04-26,83,
2014-04-27,151,
2014-04-28,116,
2014-04-29,90,
2014-04-30,76,
2014-05-01,109,
2014-05-02,136,
2014-05-03,104,
2014-05-04,79,
2014-05-05,406,
2014-05-06,93,
2014-05-07,141,
2014-05-08,111,
2014-05-09,47,
2014-05-13,2,
2014-05-14,28,
2014-05-15,2,
2014-05-16,2,
2014-05-20,3,
2014-05-22,71,
2014-05-23,75,
2014-05-24,102,
2014-05-25,65,
2014-05-26,94,
2014-05-27,87,
2014-05-28,75,
2014-05-29,89,
2014-05-30,93,
2014-05-31,352,
2014-06-01,332,
2014-06-02,269,
2014-06-03,170,
2014-06-04,87,
2014-06-05,50,
2014-06-06,174,
2014-06-07,190,
2014-06-08,138,
2014-06-09,102,
2014-06-10,208,
2014-06-11,110,
2014-06-12,194,
2014-06-13,91,
2014-06-14,99,
2014-06-15,71,
2014-06-16,18,
2014-06-17,7,
2014-09-15,68,
2014-09-16,97,
2014-09-17,158,
2014-09-18,82,
2014-09-19,91,
2014-09-20,24,
2014-09-23,493,
2014-09-24,53643,
2014-09-25,6982,
2014-09-26,3242,
2014-09-27,2745,
2014-09-28,1972,
2014-09-29,1722,
2014-09-30,562,
2014-10-01,254,
2014-10-07,250,
2014-10-08,263,
2014-10-09,272,
2014-10-10,446,
2014-10-11,422,
2014-10-14,150,
2014-10-15,675,
2014-10-16,330,
2014-10-17,220,
2014-10-18,327,
2014-10-19,161,
2014-10-21,82,
2014-10-22,107,
2014-10-23,117,
2014-10-24,69,
2014-10-25,121,
2014-10-26,58,
2014-10-27,120,
2014-10-28,78,
2014-10-29,33,
