Date,Count,Unnamed: 0.1
2013-09-24,1866,9.0
2013-09-25,575,8.0
2013-09-26,581,
2013-09-27,301,
2013-09-28,347,
2013-09-29,315,
2013-09-30,383,
2013-10-01,211,
2013-10-02,364,
2013-10-03,122,
2013-10-04,475,3.0
2013-10-05,640,2.0
2013-10-06,420,1.0
2013-10-07,867,0.0
2013-10-08,639,7.0
2013-10-09,517,6.0
2013-10-10,412,4.0
2013-10-11,1108,5.0
2013-10-12,867,
2013-10-13,958,
2013-10-14,1117,
2013-10-15,64,
2013-10-18,344,
2013-10-19,444,
2013-10-20,413,
2013-10-21,365,
2013-10-22,470,
2013-10-23,341,
2013-10-24,124,
2013-10-25,402,
2013-10-26,572,
2013-10-27,583,
2013-10-28,453,
2013-10-29,14818,
2013-10-30,582,
2013-10-31,340,
2013-11-01,395,
2013-11-02,351,
2013-11-03,333,
2013-11-04,507,
2013-11-05,345,
2013-11-06,685,
2013-11-07,836,
2013-11-08,719,
2013-11-09,570,
2013-11-10,383,
2013-11-11,437,
2013-11-12,539,
2013-11-13,696,
2013-11-14,876,
2013-11-15,593,
2013-11-16,604,
2013-11-17,630,
2013-11-18,94,
2013-11-19,274,
2013-11-20,1106,
2013-11-22,688,
2013-11-23,1369,
2013-11-24,1377,
2013-11-25,1483,
2013-11-26,2439,
2013-11-27,2760,
2013-11-28,22929,
2013-11-29,9975,
2013-11-30,2063,
2013-12-01,1069,
2013-12-02,925,
2013-12-03,556,
2013-12-04,840,
2013-12-05,755,
2013-12-06,720,
2013-12-07,604,
2013-12-08,820,
2013-12-09,617,
2013-12-10,914,
2013-12-11,1286,
2013-12-12,629,
2013-12-13,614,
2013-12-14,696,
2013-12-15,398,
2013-12-16,550,
2013-12-17,480,
2013-12-18,633,
2013-12-19,836,
2013-12-20,20,
2013-12-22,45,
2013-12-23,1047,
2013-12-24,1143,
2013-12-25,2387,
2013-12-26,1225,
2013-12-27,268,
2014-01-03,279,
2014-01-04,465,
2014-01-05,836,
2014-01-06,875,
2014-01-07,444,
2014-01-08,395,
2014-01-09,461,
2014-01-10,416,
2014-01-11,340,
2014-01-12,501,
2014-01-13,848,
2014-01-14,688,
2014-01-15,445,
2014-01-16,630,
2014-01-20,334,
2014-01-21,473,
2014-01-22,432,
2014-01-23,295,
2014-01-24,502,
2014-01-25,215,
2014-01-27,462,
2014-01-28,579,
2014-01-29,395,
2014-01-30,236,
2014-01-31,369,
2014-02-01,619,
2014-02-02,320,
2014-02-03,296,
2014-02-04,589,
2014-02-05,447,
2014-02-06,463,
2014-02-07,683,
2014-02-08,298,
2014-02-10,319,
2014-02-11,425,
2014-02-12,470,
2014-02-13,567,
2014-02-14,621,
2014-02-15,358,
2014-02-16,322,
2014-02-17,73,
2014-02-19,33,
2014-02-20,256,
2014-02-21,489,
2014-02-22,386,
2014-02-23,445,
2014-02-24,404,
2014-02-25,499,
2014-02-26,290,
2014-02-27,58,
2014-02-28,152,
2014-03-01,466,
2014-03-02,383,
2014-03-03,278,
2014-03-04,535,
2014-03-05,601,
2014-03-06,597,
2014-03-07,581,
2014-03-09,52,
2014-03-10,2064,
2014-03-11,4850,
2014-03-12,2580,
2014-03-13,1370,
2014-03-14,2270,
2014-03-15,984,
2014-03-16,1050,
2014-03-17,668,
2014-03-18,200,
2014-03-21,13489,
2014-03-22,9028,
2014-03-23,3652,
2014-03-24,3008,
2014-03-25,1525,
2014-03-26,2196,
2014-03-27,3175,
2014-03-28,2597,
2014-03-29,1117,
2014-03-30,997,
2014-03-31,1054,
2014-04-01,774,
2014-04-02,671,
2014-04-03,4053,
2014-04-04,1437,
2014-04-05,507,
2014-04-06,549,
2014-04-08,392,
2014-04-09,528,
2014-04-10,700,
2014-04-11,283,
2014-04-14,710,
2014-04-16,1695,
2014-04-17,2628,
2014-04-18,2247,
2014-04-19,190,
2014-04-23,1153,
2014-04-24,5331,
2014-04-25,3295,
2014-04-26,1676,
2014-04-27,1539,
2014-04-28,1722,
2014-04-29,1677,
2014-04-30,1821,
2014-05-01,5393,
2014-05-02,2547,
2014-05-03,2004,
2014-05-04,1480,
2014-05-05,1916,
2014-05-06,1809,
2014-05-07,2920,
2014-05-08,1893,
2014-05-09,998,
2014-05-10,1,
2014-05-11,8,
2014-05-12,4,
2014-05-13,200,
2014-05-14,344,
2014-05-15,14,
2014-05-16,28,
2014-05-17,2,
2014-05-19,2,
2014-05-20,135,
2014-05-22,1108,
2014-05-23,1454,
2014-05-24,1661,
2014-05-25,1498,
2014-05-26,11499,
2014-05-27,2752,
2014-05-28,2474,
2014-05-29,1971,
2014-05-30,1983,
2014-05-31,5793,
2014-06-01,9804,
2014-06-02,2255,
2014-06-03,1650,
2014-06-04,909,
2014-06-05,576,
2014-06-06,1424,
2014-06-07,1820,
2014-06-08,1722,
2014-06-09,2526,
2014-06-10,2626,
2014-06-11,4658,
2014-06-12,6226,
2014-06-13,4227,
2014-06-14,2312,
2014-06-15,1954,
2014-06-16,684,
2014-06-17,222,
2014-06-18,28,
2014-09-15,1415,
2014-09-16,1711,
2014-09-17,3258,
2014-09-18,2262,
2014-09-19,2745,
2014-09-20,297,
2014-09-22,1,
2014-09-23,2025,
2014-09-24,2783,
2014-09-25,2271,
2014-09-26,3025,
2014-09-27,3245,
2014-09-28,3069,
2014-09-29,2441,
2014-09-30,1708,
2014-10-01,1336,
2014-10-07,4698,
2014-10-08,5438,
2014-10-09,6153,
2014-10-10,8368,
2014-10-11,8430,
2014-10-12,2,
2014-10-13,4,
2014-10-14,5141,
2014-10-15,4808,
2014-10-16,9254,
2014-10-17,3006,
2014-10-18,2462,
2014-10-19,1806,
2014-10-20,1,
2014-10-21,2104,
2014-10-22,1807,
2014-10-23,2954,
2014-10-24,566,
2014-10-25,1185,
2014-10-26,1055,
