Date,Count,Unnamed: 0.1
2013-09-25,1,7.0
2013-09-26,1,
2013-09-27,3,
2013-09-30,2,
2013-10-01,2,
2013-10-02,4,
2013-10-03,1,
2013-10-04,1,3.0
2013-10-05,8,2.0
2013-10-06,1,1.0
2013-10-07,1,0.0
2013-10-08,1,6.0
2013-10-10,3,4.0
2013-10-11,1,5.0
2013-10-12,5,
2013-10-13,1,
2013-10-19,1,
2013-10-20,2,
2013-10-22,4,
2013-10-24,2,
2013-10-25,1,
2013-10-26,78,
2013-10-27,7,
2013-10-28,21,
2013-11-01,5,
2013-11-02,2,
2013-11-06,2,
2013-11-07,1,
2013-11-10,7,
2013-11-11,4,
2013-11-12,1,
2013-11-13,2,
2013-11-16,2,
2013-11-17,2,
2013-11-20,6,
2013-11-24,2,
2013-11-25,2,
2013-11-26,1,
2013-11-27,4,
2013-11-28,5,
2013-11-29,2,
2013-12-01,3,
2013-12-02,2,
2013-12-08,1,
2013-12-09,1,
2013-12-12,2,
2013-12-13,9,
2013-12-14,3,
2013-12-16,4,
2013-12-17,1,
2013-12-18,2,
2013-12-19,1,
2013-12-23,10,
2013-12-24,3,
2013-12-25,1,
2013-12-27,1,
2014-01-04,3,
2014-01-09,1,
2014-01-11,1,
2014-01-12,1,
2014-01-13,3,
2014-01-20,5,
2014-01-21,1,
2014-01-24,7,
2014-01-25,2,
2014-01-27,2,
2014-01-29,3,
2014-01-30,7,
2014-01-31,44,
2014-02-01,12,
2014-02-02,7,
2014-02-03,7,
2014-02-04,1,
2014-02-06,2,
2014-02-07,1,
2014-02-08,1,
2014-02-11,1,
2014-02-13,2,
2014-02-14,3,
2014-02-15,1,
2014-02-16,13,
2014-02-17,5,
2014-02-19,1,
2014-02-22,2,
2014-02-23,11,
2014-02-24,5,
2014-02-25,3,
2014-02-27,1,
2014-03-01,1,
2014-03-02,1,
2014-03-03,2,
2014-03-04,1,
2014-03-05,5,
2014-03-10,2,
2014-03-11,4,
2014-03-12,8,
2014-03-13,6,
2014-03-14,2,
2014-03-17,2,
2014-03-18,2,
2014-03-22,3,
2014-03-23,1,
2014-03-24,1,
2014-03-25,4,
2014-03-26,2,
2014-03-27,4,
2014-03-28,10,
2014-03-29,6,
2014-03-31,2,
2014-04-01,1,
2014-04-02,3,
2014-04-03,2,
2014-04-04,2,
2014-04-06,6,
2014-04-08,1,
2014-04-10,15,
2014-04-17,6,
2014-04-18,7,
2014-04-23,4,
2014-04-24,4,
2014-04-25,14,
2014-04-26,2,
2014-04-27,12,
2014-04-28,4,
2014-04-29,5,
2014-04-30,2,
2014-05-01,2,
2014-05-02,18,
2014-05-03,8,
2014-05-04,2,
2014-05-05,5,
2014-05-06,6,
2014-05-07,6,
2014-05-08,4,
2014-05-09,5,
2014-05-22,1,
2014-05-23,8,
2014-05-24,10,
2014-05-25,8,
2014-05-26,7,
2014-05-27,25,
2014-05-28,9,
2014-05-29,6,
2014-05-30,6,
2014-05-31,13,
2014-06-01,26,
2014-06-02,6,
2014-06-03,1,
2014-06-04,3,
2014-06-06,10,
2014-06-07,9,
2014-06-08,2,
2014-06-09,19,
2014-06-10,3,
2014-06-13,163,
2014-06-14,21,
2014-06-15,6,
2014-09-15,1,
2014-09-16,18,
2014-09-17,1,
2014-09-18,1,
2014-09-19,9,
2014-09-23,6,
2014-09-24,4,
2014-09-25,6,
2014-09-27,4,
2014-09-28,96,
2014-09-29,14,
2014-09-30,5,
2014-10-01,8,
2014-10-07,21,
2014-10-08,2,
2014-10-09,3,
