Date,Count
2013-09-24,14
2013-09-25,33
2013-09-26,44
2013-09-27,43
2013-09-28,41
2013-09-29,28
2013-09-30,36
2013-10-01,20
2013-10-02,43
2013-10-03,26
2013-10-04,106
2013-10-05,49
2013-10-06,18
2013-10-07,58
2013-10-08,52
2013-10-09,24
2013-10-10,36
2013-10-11,99
2013-10-12,60
2013-10-13,22
2013-10-14,23
2013-10-15,1
2013-10-18,45
2013-10-19,57
2013-10-20,90
2013-10-21,37
2013-10-22,33
2013-10-23,29
2013-10-24,11
2013-10-25,159
2013-10-26,52
2013-10-27,131
2013-10-28,50
2013-10-29,25
2013-10-30,309
2013-10-31,78
2013-11-01,47
2013-11-02,37
2013-11-03,63
2013-11-04,123
2013-11-05,32
2013-11-06,84
2013-11-07,63
2013-11-08,57
2013-11-09,204
2013-11-10,178
2013-11-11,54
2013-11-12,44
2013-11-13,60
2013-11-14,55
2013-11-15,24
2013-11-16,35
2013-11-17,24
2013-11-18,19
2013-11-19,236
2013-11-20,116
2013-11-22,18
2013-11-23,49
2013-11-24,41
2013-11-25,40
2013-11-26,20
2013-11-27,52
2013-11-28,45
2013-11-29,15
2013-11-30,33
2013-12-01,45
2013-12-02,29
2013-12-03,15
2013-12-04,11
2013-12-05,147
2013-12-06,38
2013-12-07,107
2013-12-08,60
2013-12-09,35
2013-12-10,16
2013-12-11,27
2013-12-12,24
2013-12-13,25
2013-12-14,13
2013-12-15,21
2013-12-16,61
2013-12-17,20
2013-12-18,17
2013-12-19,17
2013-12-22,3
2013-12-23,24
2013-12-24,33
2013-12-25,10
2013-12-26,15
2013-12-27,9
2014-01-03,5
2014-01-04,44
2014-01-05,10
2014-01-06,15
2014-01-07,444
2014-01-08,268
2014-01-09,182
2014-01-10,104
2014-01-11,122
2014-01-12,132
2014-01-13,68
2014-01-14,66
2014-01-15,112
2014-01-16,96
2014-01-20,44
2014-01-21,38
2014-01-22,74
2014-01-23,118
2014-01-24,68
2014-01-25,18
2014-01-27,18
2014-01-28,80
2014-01-29,626
2014-01-30,46
2014-01-31,130
2014-02-01,176
2014-02-02,62
2014-02-03,473
2014-02-04,123
2014-02-05,35
2014-02-06,137
2014-02-07,109
2014-02-08,98
2014-02-10,18
2014-02-11,34
