Date,Count,Unnamed: 0.1
2013-09-24,6,6.0
2013-09-25,2,5.0
2013-09-26,4,
2013-09-28,4,
2013-09-29,4,
2013-09-30,5,
2013-10-04,1,3.0
2013-10-05,60,2.0
2013-10-06,9,1.0
2013-10-07,4,0.0
2013-10-08,1,4.0
2013-10-11,1,
2013-10-12,1,
2013-10-20,1,
2013-10-23,5,
2013-10-25,2,
2013-10-26,2,
2013-10-27,9,
2013-10-28,1,
2013-11-06,2,
2013-11-08,11,
2013-11-13,5,
2013-11-19,1,
2013-11-27,1,
2013-11-28,1,
2013-11-30,2,
2013-12-02,1,
2013-12-03,10,
2013-12-06,2,
2013-12-07,2,
2013-12-10,2,
2013-12-11,2,
2013-12-12,1,
2013-12-13,2,
2013-12-14,1,
2013-12-15,1,
2013-12-19,2,
2013-12-23,2,
2013-12-25,4,
2013-12-26,1,
2014-01-03,10,
2014-01-04,2,
2014-01-07,3,
2014-01-08,7,
2014-01-09,3,
2014-01-13,3,
2014-01-22,1,
2014-01-24,1,
2014-01-25,1,
2014-01-28,1,
2014-01-30,15,
2014-01-31,3,
2014-02-02,2,
2014-02-03,11,
2014-02-04,2,
2014-02-07,1,
2014-02-11,1,
2014-02-13,40,
2014-02-14,8,
2014-02-15,4,
2014-02-23,2,
2014-02-25,1,
2014-02-26,6,
2014-03-02,2,
2014-03-03,2,
2014-03-04,1,
2014-03-07,8,
2014-03-13,2,
2014-03-22,6,
2014-03-24,3,
2014-03-26,1,
2014-03-27,4,
2014-03-28,7,
2014-03-29,2,
2014-04-01,5,
2014-04-02,3,
2014-04-06,1,
2014-04-09,1,
2014-04-10,2,
2014-04-14,4,
2014-04-17,5,
2014-04-23,5,
2014-04-27,3,
2014-04-28,3,
2014-04-30,6,
2014-05-01,5,
2014-05-02,2,
2014-05-03,4,
2014-05-05,2,
2014-05-07,19,
2014-05-08,12,
2014-05-22,6,
2014-05-24,2,
2014-05-26,1,
2014-05-27,4,
2014-05-28,14,
2014-05-29,2,
2014-05-31,1,
2014-06-01,2,
2014-06-02,6,
2014-06-04,1,
2014-06-05,1,
2014-06-06,2,
2014-06-07,3,
2014-06-08,42,
2014-06-09,1,
2014-06-10,4,
2014-06-12,4,
2014-06-13,9,
2014-09-15,10,
2014-09-16,9,
2014-09-17,4,
2014-09-18,14,
2014-09-19,15,
2014-09-20,2,
2014-09-23,2,
2014-09-24,5,
2014-09-25,2,
2014-09-26,6,
2014-09-27,8,
2014-09-28,15,
2014-09-29,1,
2014-09-30,6,
2014-10-01,6,
2014-10-07,1,
2014-10-09,2,
