,Word,Weight
0,todays,-0.0
1,go,0.058699178398759225
2,follow,-0.0273588830023412
3,liam,0.0
4,auckland,0.0
5,paris,0.0
6,tweet,0.0
7,show,0.0
8,young,-0.0
9,finally,0.0
10,peopleschoice,0.0
11,mandela,0.005156011491982068
12,outside,-0.0
13,fav,0.0
14,every,0.0
15,bryant,-0.0
16,look,0.04009647963671773
17,tickets,-0.0
18,school,-0.0
19,louis,0.0
20,philippines,-0.02728488100119763
21,michael,0.015875895724430336
22,leave,-0.0
23,harry,-0.0
24,guy,-0.0
25,work,-0.0
26,says,-0.0
27,sign,-0.0
28,past,0.0
29,street,0.46277242685923875
30,video,-0.0
31,even,0.0
32,chicago,0.21411664493869242
33,giving,-0.0
34,waiting,0.0
35,international,-0.0027169579285043323
36,ever,0.0
37,full,-0.0
38,never,0.0
39,water,-0.0
40,❤️,0.0
41,leeds,-0.0
42,making,-0.0
43,november,-0.12972977469841623
44,wait,-0.0
45,arena,-0.003478111400407232
46,boy,-0.0
47,great,0.0
48,china,0.0033155526723098088
49,leaving,0.0
50,airport,0.0
51,derby,-0.0
52,makes,0.0
53,thats,0.0
54,via,-0.0
55,love,-0.014866557831461508
56,family,0.0
57,egypt,0.05277724818290019
58,win,-0.15917012047603257
59,1st,-0.0
60,use,-0.0
61,takes,0.0
62,would,-0.0
63,visit,0.0
64,two,0.0
65,next,-0.0019700779242996158
66,live,0.0
67,call,0.0
68,6,-0.05126204358278023
69,taken,-0.0
70,preview,0.0
71,today,-0.0
72,Count,0.12488653574718349
73,israel,0.0
74,club,-0.0
75,share,-0.0
76,flag,0.0
77,baby,0.0
78,must,-0.0
79,fly,0.0
80,join,0.0
81,tokyo,-0.0
82,car,0.0
83,getting,-0.0
84,vs,-0.012926690629669281
85,v,0.0
86,meet,0.06431872918820451
87,male,0.0
88,didnt,-0.0
89,beautiful,-0.002402271293665888
90,beijing,-0.01689059248982423
91,give,-0.0
92,awesome,0.0
93,india,-0.0
94,fuck,0.0
95,high,0.0
96,want,-0.0
97,neonlightstour,-0.0
98,times,-0.0
99,angeles,0.0
100,united,0.0
101,end,0.0
102,goal,0.13468543025918256
103,thing,-0.0
104,travel,0.0
105,breaking,0.0
106,1,-0.0
107,hot,-0.0
108,beach,-0.0
109,seoul,-0.0162282763222108
110,may,0.0
111,watch,-0.0
112,plane,0.0007688184793763599
113,ff,-0.0
114,coming,0.0604172550181245
115,president,-0.0
116,guys,0.0
117,man,0.02911672228677341
118,remember,0.0
119,road,0.0
120,african,0.006346456501907362
121,fan,-0.0
122,playing,0.0
123,cute,-0.0
124,help,-0.0
125,years,-0.0
126,london,-0.010113301473991781
127,looks,-0.0
128,japan,-0.0
129,smiling,-0.0
130,still,-0.2664300511817944
131,perfect,-0.0
132,police,-0.0
133,thank,0.024858354535665532
134,amazing,0.0
135,denver,-0.0
136,better,0.0
137,orange,0.0
138,2014,0.0
139,team,0.0
140,norway,0.0
141,2013,0.009218826528370094
142,good,0.0
143,front,0.0
144,killed,0.0
145,name,0.0
146,always,-0.0
147,university,0.0
148,detroit,-0.0
149,mufc,-0.0
150,found,0.0
151,went,-0.03249918543579019
152,en,0.018010105776177458
153,england,-0.0
154,house,-0.0
155,breakoutartist,-0.0
156,milan,-0.007922191386990234
157,year,0.0
158,girl,-0.0
159,event,-0.017563300574461198
160,special,-0.0
161,really,-0.03182614825412488
